編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKNHKGFDC08CC,26,65.98,住家用,鋼筋混凝土造,88年1月14日,十四層,,
RPRNMLNKNHKGFDC08CC,26,14.50,共用部份,鋼筋混凝土造,88年1月14日,十四層,,
RPRNMLNKNHKGFDC08CC,26,4.94,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLNKNHKGFDC08CC,26,1.62,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLNKNHKGFDC08CC,26,.79,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPSNMLNKNHKGFDC18CC,47,72.60,住家用,鋼筋混凝土造,67年5月18日,五層,,
RPPNMLQKNHKGFDC18CC,52,70.66,住家用,鋼筋混凝土加強磚造,62年1月4日,四層,,
RPRNMLQKNHKGFDC38CC,28,21.30,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLQKNHKGFDC38CC,28,2.81,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLQKNHKGFDC38CC,28,1.22,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLQKNHKGFDC38CC,28,40.31,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLQKNHKGFDC38CC,28,1.70,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPQOMLOKNHKGFDC18CC,30,40.12,住家用,鋼筋混凝土造,84年8月1日,十二層,,
RPQOMLOKNHKGFDC18CC,30,7.42,共用部份,鋼筋混凝土造,84年8月1日,十二層,,
RPQOMLOKNHKGFDC18CC,30,1.88,共用部份,鋼筋混凝土造,84年8月1日,十二層,,
RPTNMLQKNHKGFDC58CC,45,57.65,住家用,鋼筋混凝土造,69年10月15日,八層,,
RPRNMLTKNHKGFDC68CC,28,24.03,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLTKNHKGFDC68CC,28,3.89,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLTKNHKGFDC68CC,28,1.43,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLTKNHKGFDC68CC,28,1.79,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPNMLPKNHKGFDC08CC,45,52.11,住家用,鋼筋混凝土造,69年6月11日,四層,,
RPPNMLTKNHKGFDC48CC,29,70.79,住家用,鋼筋混凝土造,85年2月17日,十層,,
RPPNMLTKNHKGFDC48CC,29,13.76,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPPNMLTKNHKGFDC48CC,29,28.71,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPQNMLPKNHKGFDC18CC,45,51.20,住家用,鋼筋混凝土造,69年10月15日,八層,,
RPSNMLQKNHKGFDC48CC,44,84.20,住家用,鋼筋混凝土造,70年1月19日,五層,,
RPVNMLPKNHKGFDC68CC,4,91.92,集合住宅,鋼筋混凝土造,110年10月14日,九層,,
RPVNMLPKNHKGFDC68CC,4,84.84,本建物共有部分之項目有行動不便者電梯、管委會使用空間、樓電梯間、梯廳、中控警衛室、大廳、樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、走廊、配電室、警衛室、消防泵浦室、汽車坡道、機車停車空間、發電機室、電信室、防空避難室、車道、垃圾儲藏室、機房等共２３項。,鋼筋混凝土造,110年10月14日,九層,,
RPRNMLPKNHKGFDC28CC,26,24.46,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLTKNHKGFDC58CC,41,77.57,住家用,鋼筋混凝土造,73年7月18日,三層,,
RPRNMLPKNHKGFDC28CC,26,4.94,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLPKNHKGFDC28CC,26,.14,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPOMLOKNHKGFDC08CC,2,59.72,集合住宅,鋼筋混凝土造,112年6月2日,十二層,,
RPRNMLPKNHKGFDC28CC,26,.73,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLPKNHKGFDC28CC,26,.63,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPOMLOKNHKGFDC08CC,2,20.01,本建物共有部分之項目有大廳、排煙室、客梯兼行動不便者使用、緊急昇降機、無障礙戶外安全梯、安全梯、健身房、梯廳、無障礙安全梯、管委會使用空間、交誼廳、兒童遊戲區、圖書（會議）室、台電電錶間、台電配電室、受電箱、機車停車位、機房、排風機房、發電機房、垃圾暫存間、臨停車位（編號８９）、進氣機房、蓄水池、汙水機房、消防泵浦室等２６項。,鋼筋混凝土造,112年6月2日,十二層,,
RPRNMLPKNHKGFDC28CC,26,.32,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
