編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKQHKGFCE08DA,坡道平面,2100000,22.90,地下三樓
RPQNMLLKQHKGFCE08DA,坡道平面,2100000,22.90,地下三樓
RPPNMLLKQHKGFLE88DA,坡道平面,0,,地下一樓
RPPNMLLKQHKGFLE88DA,坡道平面,0,,地下一樓
RPUNMLPKQHKGFCE88DA,一樓平面,2500000,32.82,一樓
RPSNMLPKQHKGFDE78DA,坡道平面,350000,36.83,地下二樓
RPXNMLQJQHKGFDE66DA,其他,1450000,10.82,一樓
RPPNMLOKQHKGFDE38DA,坡道平面,2500000,22.74,地下一樓
RPSOMLQJQHKGFGE56DA,坡道平面,0,,地下一樓
RPTNMLPKQHKGFCE78DA,坡道平面,0,14.77,地下三樓
RPQOMLLLQHKGFFE58DA,坡道機械,0,,地下三樓
RPXNMLLKQHKGFIE76DA,坡道平面,0,,地下一樓
RPSPMLPLQHKGFEE56DA,坡道機械,0,15.07,地下二樓
RPPOMLMLQHKGFLE56DA,坡道平面,0,24.50,地下一樓
RPTNMLTKQHKGFAE98DA,坡道平面,0,20.81,地下二樓
RPTNMLTKQHKGFAE98DA,坡道平面,0,20.81,地下二樓
RPVNMLTKQHKGFAE56DA,坡道平面,0,20.81,地下一樓
RPVNMLTKQHKGFAE56DA,坡道平面,0,20.81,地下一樓
RPUNMLTKQHKGFAE09DA,坡道平面,0,20.81,地下一樓
RPUNMLTKQHKGFAE09DA,坡道平面,0,20.81,地下一樓
RPQNMLPKQHKGFDE58DA,坡道平面,2400000,22.74,地下二樓
RPRNMLTKQHKGFAE78DA,坡道平面,0,20.81,地下二樓
RPRNMLTKQHKGFAE78DA,坡道平面,0,20.81,地下二樓
RPPNMLPLQHKGFDE68EA,升降機械,0,,地下二樓
RPXPMLOKQHKGFEE86DA,坡道平面,0,17.44,地下三樓
RPSNMLKLQHKGFGE68DA,坡道平面,0,17.51,地下一樓
RPWNMLRLQHKGFDE86DA,坡道機械,0,15.92,地下三樓
RPTOMLRLQHKGFEE76DA,坡道平面,1600000,27.17,地下二樓
RPPNMLRLQHKGFAE58EA,坡道平面,1700000,15.95,地下三樓
RPQNMLLLQHKGFLE09DA,坡道平面,0,,地下一樓
RPPNMLSLQHKGFAE68EA,坡道平面,0,25.25,地下二樓
RPTNMLRLQHKGFAE88DA,坡道平面,0,19.84,地下一樓
RPTNMLRLQHKGFAE88DA,坡道平面,0,19.84,地下一樓
RPTNMLRLQHKGFAE88DA,坡道平面,0,19.84,地下一樓
RPUNMLRLQHKGFAE98DA,坡道平面,2250000,18.33,地下二樓
RPUNMLRLQHKGFAE98DA,坡道平面,2250000,20.80,地下二樓
RPUNMLRLQHKGFAE98DA,坡道平面,2300000,20.80,地下二樓
RPVNMLSLQHKGFEE96DA,坡道平面,0,23.92,地下二樓
