編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLNHKGFEE87CB,左西段,9.93,都市：商,100000,1057,持分移轉,16030000
RPSNMLKLNHKGFEE18CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
RPRNMLKLNHKGFEE08CB,新光段,8.27,都市：住,100000,368,持分移轉,01180000
RPPNMLSKNHKGFCE38CB,港墘段,15.13,都市：住,100000,850,持分移轉,02070002
RPPNMLLLNHKGFFE08CB,成功段,33.08,都市：住,10000,164,持分移轉,07000000
RPPNMLMLNHKGFBE77CB,衛武段,5.65,都市：商,100000,288,持分移轉,06580000
RPPNMLMLNHKGFBE77CB,衛武段,16.07,都市：住,100000,288,持分移轉,06610000
RPPNMLPKNHKGFJE88DB,明宗段,18.56,都市：住,100000,12943,持分移轉,00970000
RPPNMLLLNHKGFJE48CB,大同段,264.88,都市：工,1,1,全筆移轉,03670003
RPQNMLTKNHKGFKE76CB,美中段,28.49,都市：住,100000,2180,持分移轉,00330000
RPPNMLTKNHKGFLE76CB,伍厝段,22.97,都市：住,10000,512,持分移轉,10100026
RPPNMLTKNHKGFLE76CB,伍厝段,6.34,都市：住,60,1,持分移轉,10100027
RPTNMLMLNHKGFDE38CB,新都段,10.21,都市：住,100000,341,持分移轉,03700000
RPSNMLMLNHKGFDE28CB,新都段,10.18,都市：住,100000,340,持分移轉,03700000
RPQNMLQKNHKGFDE38CB,義民段,6.56,都市：商,100000,180,持分移轉,12050000
RPQNMLQKNHKGFDE38CB,義民段,2.95,都市：住,100000,180,持分移轉,12040000
RPPNMLRKNHKGFGE68CB,牛潮埔段,23.46,都市：住,100000,1253,持分移轉,04900000
RPPNMLLLNHKGFGE18CB,文英段,21.39,都市：住,100000,1171,持分移轉,11520000
RPPNMLPKNHKGFGE48CB,保成段,33.42,都市：住,10000,445,持分移轉,00190000
RPPNMLNLNHKGFDE08CB,建工段,14.58,都市：住,100000,1442,持分移轉,04690000
RPPNMLLLNHKGFIE38CB,興農段,13.14,都市：住,100000,771,持分移轉,08460000
RPPNMLNLNHKGFGE38CB,大庄段,26.36,都市：住,100000,722,持分移轉,07780000
RPPNMLQLNHKGFIE88CB,保甲段,23.39,都市：住,10000,312,持分移轉,05000000
RPPNMLQLNHKGFLE56CB,內厝段,30.72,都市：住,100000,3889,持分移轉,00910000
RPPNMLRLNHKGFEE58CB,新光段,13.39,都市：住,100000,596,持分移轉,01180000
RPPNMLRLNHKGFFE68CB,後壁田段,11.82,都市：商,100000,198,持分移轉,01350000
RPQNMLRLNHKGFFE78CB,後壁田段,11.82,都市：商,100000,198,持分移轉,01350000
RPPNMLSLNHKGFBE38CB,林興段,7.07,都市：商,100000,914,持分移轉,00190000
RPPNMLSLNHKGFBE38CB,林興段,3.35,都市：住,100000,914,持分移轉,00370000
RPPNMLSLNHKGFDE58CB,獅頭段,8.65,都市：商,100000,343,持分移轉,23310000
RPQNMLSLNHKGFDE68CB,義民段,4.77,都市：商,100000,131,持分移轉,12050000
RPQNMLSLNHKGFDE68CB,義民段,2.15,都市：住,100000,131,持分移轉,12040000
RPSNMLSLNHKGFDE88CB,新都段,13.17,都市：住,100000,440,持分移轉,03700000
RPRNMLSLNHKGFIE66CB,澄德段,20.06,都市：商,1000000,1635,持分移轉,00260000
RPQNMLQLNHKGFIE98CB,保甲段,23.62,都市：住,10000,315,持分移轉,05000000
RPPNMLSLNHKGFLE76CB,內厝段,26.68,都市：住,100000,3377,持分移轉,00910000
RPROMLNLNHKGFAE08CB,龍華段八小段,7.55,都市：商,100000,743,持分移轉,22570000
RPPNMLNLNHKGFAE77CB,內惟段八小段,22.01,都市：住,10000,97,持分移轉,03480000
RPUOMLNLNHKGFAE38CB,龍華段八小段,4.05,都市：商,100000,399,持分移轉,22570000
RPWNMLNLNHKGFAE48CB,龍華段八小段,5.08,都市：商,100000,500,持分移轉,22570000
RPUNMLNLNHKGFAE28CB,龍華段八小段,5.73,都市：商,100000,564,持分移轉,22570000
RPVOMLNLNHKGFAE48CB,龍華段八小段,4.61,都市：商,100000,454,持分移轉,22570000
RPTNMLNLNHKGFAE18CB,龍華段八小段,6.02,都市：商,100000,593,持分移轉,22570000
RPRNMLNLNHKGFAE97CB,內惟段八小段,15.20,都市：住,10000,67,持分移轉,03480000
RPTOMLNLNHKGFAE28CB,龍華段八小段,4.61,都市：商,100000,454,持分移轉,22570000
RPVNMLNLNHKGFAE38CB,龍華段八小段,5.73,都市：商,100000,564,持分移轉,22570000
RPQNMLNLNHKGFAE87CB,內惟段八小段,15.20,都市：住,10000,67,持分移轉,03480000
RPPOMLLLNHKGFAE67CB,博孝段,.06,都市：商,100000,141,持分移轉,12320002
RPPOMLLLNHKGFAE67CB,博孝段,.03,都市：商,100000,141,持分移轉,12370001
RPPOMLLLNHKGFAE67CB,博孝段,2.42,都市：商,100000,141,持分移轉,12370002
RPPOMLLLNHKGFAE67CB,博孝段,.11,都市：商,100000,141,持分移轉,12370003
RPPOMLLLNHKGFAE67CB,博孝段,.34,都市：商,100000,141,持分移轉,12370005
RPPOMLLLNHKGFAE67CB,博孝段,.11,都市：商,100000,141,持分移轉,12370008
RPPOMLLLNHKGFAE67CB,博孝段,.03,都市：商,100000,141,持分移轉,12370009
RPPOMLLLNHKGFAE67CB,博孝段,.04,都市：商,100000,141,持分移轉,12370010
RPPOMLLLNHKGFAE67CB,博孝段,.11,都市：商,100000,141,持分移轉,12370011
RPPOMLLLNHKGFAE67CB,博孝段,.03,都市：商,100000,141,持分移轉,12370012
RPPOMLLLNHKGFAE67CB,博孝段,.04,都市：商,100000,141,持分移轉,12370013
RPPOMLLLNHKGFAE67CB,博孝段,.70,都市：商,100000,141,持分移轉,12370014
RPPOMLLLNHKGFAE67CB,博孝段,.01,都市：商,100000,141,持分移轉,12370015
RPPOMLNLNHKGFAE87CB,龍華段八小段,5.08,都市：商,100000,500,持分移轉,22570000
RPPNMLPLNHKGFAE97CB,博孝段,.06,都市：商,100000,144,持分移轉,12320002
RPPNMLPLNHKGFAE97CB,博孝段,.03,都市：商,100000,144,持分移轉,12370001
RPPNMLPLNHKGFAE97CB,博孝段,2.47,都市：商,100000,144,持分移轉,12370002
RPPNMLPLNHKGFAE97CB,博孝段,.12,都市：商,100000,144,持分移轉,12370003
RPPNMLPLNHKGFAE97CB,博孝段,.34,都市：商,100000,144,持分移轉,12370005
RPPNMLPLNHKGFAE97CB,博孝段,.11,都市：商,100000,144,持分移轉,12370008
