編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLQJQHKGFIF17DA,12,24.94,本建物記載共有部份包含（電樓梯間、梯廳、通廊、汽機車車道、機械房、水箱、雨遮、電信機房、配電箱空間、台電配電場所、管理員室、男廁、女廁、進風管道、排風管道、卸貨空間、排風機房、垃圾存放室、垃圾車暫停空間、消防泵浦室、自行車機車停車區、防空避難室兼停車空間、機房、緊急發電機室、緊急發電機排煙及進風管道、蓄水池）等２６項。,鋼筋混凝土造,102年8月12日,四層,,持分移轉
RPPNMLPJRHKGFHF09EA,48,68.20,住家用,鋼筋混凝土造,66年11月5日,四層,四層 陽台,全筆移轉
RPSNMLTJRHKGFGF96DA,29,26.49,共有部分,鋼筋混凝土造,85年6月12日,六層,,持分移轉
RPRNMLNJQHKGFBF28DA,6,36.70,集合住宅,鋼筋混凝土造,108年2月15日,十四層,十層 陽台 雨遮,持分移轉
RPRNMLNJQHKGFBF28DA,6,33.78,本共有部分項目有門廳、供管委會使用空間、過廊、安全梯、梯廳、排煙室、梯間、水箱、機房、停車空間、垃圾儲藏室、發電機房、台電配電室、裝卸空間、垃圾車暫停車位、電信室、消防設備機房等１７項。,鋼筋混凝土造,108年2月15日,十四層,,持分移轉
RPVRMLNKQHKGFGF07DA,10,.26,辦公室,鋼筋混凝土造,104年10月26日,十四層,三層,持分移轉
RPVRMLNKQHKGFGF07DA,10,46.89,本共有部分項目有：防空避難室兼停車空間、陽台、車道、停車空間等４項。,鋼筋混凝土造,104年10月26日,十四層,,持分移轉
RPROMLLKQHKGFHF98EA,29,81.61,住家用,鋼筋混凝土造,85年10月18日,十五層,十四層 陽台 花台,全筆移轉
RPROMLLKQHKGFHF98EA,29,3.47,共有部分,鋼筋混凝土造,85年10月18日,十五層,,持分移轉
RPROMLLKQHKGFHF98EA,29,2.90,共有部分,鋼筋混凝土造,85年10月18日,十五層,,持分移轉
RPROMLLKQHKGFHF98EA,29,76.17,共有部分,鋼筋混凝土造,85年10月18日,十五層,,持分移轉
RPROMLLKQHKGFHF98EA,29,.65,共有部分,鋼筋混凝土造,85年10月18日,十五層,,持分移轉
RPQNMLNKQHKGFCF48EA,1,71.61,集合住宅,鋼筋混凝土構造,113年7月23日,七層,四層 陽台,全筆移轉
RPQNMLNKQHKGFCF48EA,1,60.91,本共有部分項目計有：停車空間、無障礙電梯、梯廳、無障礙樓梯、安全梯、防空避難室、水箱、電信機房、樓電梯間、機房、電梯機房，等共計１１項。,鋼筋混凝土構造,113年7月23日,七層,,持分移轉
RPPNMLRJQHKGFCF68EA,1,71.61,集合住宅,鋼筋混凝土構造,113年7月23日,七層,六層 陽台,全筆移轉
RPPNMLRJQHKGFCF68EA,1,60.91,本共有部分項目計有：停車空間、無障礙電梯、梯廳、無障礙樓梯、安全梯、防空避難室、水箱、電信機房、樓電梯間、機房、電梯機房，等共計１１項。,鋼筋混凝土構造,113年7月23日,七層,,持分移轉
RPTNMLOKQHKGFBF78EA,41,84.73,住家用,鋼筋混凝土造,73年5月9日,五層,四層 陽臺,全筆移轉
RPPNMLMKQHKGFCF28EA,16,135.71,住家用,鋼筋混凝土造,98年9月22日,十五層,六層 陽台 雨遮,全筆移轉
RPPNMLMKQHKGFCF28EA,16,21.86,共有部分,鋼筋混凝土造,98年9月22日,十五層,,持分移轉
RPPNMLMKQHKGFCF28EA,16,30.53,共有部分,鋼筋混凝土造,98年9月22日,十五層,,持分移轉
RPPNMLMKQHKGFCF28EA,16,68.31,共有部分,鋼筋混凝土造,98年9月22日,十五層,,持分移轉
RPVNMLLKQHKGFEF98EA,30,24.15,住家用,鋼筋混凝土造,84年7月4日,十二層,三層 陽台,全筆移轉
RPVNMLLKQHKGFEF98EA,30,9.38,共有部分,鋼筋混凝土造,84年7月4日,十二層,,持分移轉
RPROMLRJQHKGFAF68DA,,72.26,住家用,加強磚造,,四層,四層,全筆移轉
RPQNMLNKQHKGFBF38EA,46,34.20,住家用,鋼筋混凝土造,68年4月9日,三層,一層 二層 三層 陽台 平台 騎樓,持分移轉
RPRNMLNKQHKGFIF09DA,33,82.63,廠房,鋼筋混凝土造,81年9月16日,五層,三層 陽臺,全筆移轉
RPRNMLNKQHKGFIF09DA,33,3.08,共有部分,鋼筋混凝土造,81年9月16日,五層,,持分移轉
RPRNMLNKQHKGFIF09DA,33,.88,配電室、防空避難室、水箱,鋼筋混凝土造,81年9月16日,五層,,持分移轉
RPPNMLNKQHKGFHF88EA,31,64.92,住家用,鋼筋混凝土造,83年2月15日,八層,六層 陽台 花台,全筆移轉
RPPNMLNKQHKGFHF88EA,31,16.56,共有部分,鋼筋混凝土造,83年2月15日,八層,,持分移轉
RPUNMLOKQHKGFIF86DA,12,21.45,本建物記載共有部份包含（電樓梯間、梯廳、通廊、汽機車車道、機械房、水箱、雨遮、電信機房、配電箱空間、台電配電場所、管理員室、男廁、女廁、進風管道、排風管道、卸貨空間、排風機房、垃圾存放室、垃圾車暫停空間、消防泵浦室、自行車機車停車區、防空避難室兼停車空間、機房、緊急發電機室、緊急發電機排煙及進風管道、蓄水池）等２６項。,鋼筋混凝土造,102年8月12日,四層,,持分移轉
RPQOMLPKQHKGFDF78DA,44,86.59,住家用,鋼筋混凝土造,70年8月11日,四層,一層 平台,全筆移轉
RPQNMLNKQHKGFDF48DA,26,36.44,防空避難室兼停車空間,鋼筋混凝土造,88年12月2日,二十八層,地下一層 地下二層 地下三層 地下四層 地下五層,持分移轉
RPQNMLNKQHKGFDF48DA,26,.51,共有部分,鋼筋混凝土造,88年12月2日,二十八層,,持分移轉
RPPNMLSKQHKGFDF88DA,47,76.00,住家用,鋼筋混凝土造,67年12月21日,四層,三層 陽台,全筆移轉
RPUNMLPKQHKGFGF76DA,57,105.66,住宅,加強磚造,57年5月1日,二層,一層 二層 騎樓,全筆移轉
RPRNMLNKQHKGFBF48EA,46,34.20,住家用,鋼筋混凝土造,68年4月9日,三層,一層 二層 三層 陽台 平台 騎樓,持分移轉
RPTPMLTKQHKGFAF66DA,33,24.27,商業用,鋼筋混凝土造,81年9月21日,十一層,十一層,全筆移轉
RPTPMLTKQHKGFAF66DA,33,11.65,共有部分,鋼筋混凝土造,81年9月21日,十一層,,持分移轉
RPTPMLTKQHKGFAF66DA,33,3.81,共有部分,鋼筋混凝土造,81年9月21日,十一層,,持分移轉
RPWNMLPKQHKGFIF17DA,30,82.48,住家用,鋼筋混凝土造,84年10月23日,七層,一層 陽臺,全筆移轉
RPWNMLPKQHKGFIF17DA,30,16.48,共有部分,鋼筋混凝土造,84年10月23日,七層,,持分移轉
RPWNMLPKQHKGFIF17DA,30,9.10,共有部分,鋼筋混凝土造,84年10月23日,七層,,持分移轉
RPROMLSKQHKGFBF98DA,33,92.78,住家用,鋼筋混凝土造,81年11月30日,十六層,一層 平台,全筆移轉
RPRNMLMKQHKGFAF28EA,8,427.41,店舖,鋼筋混凝土造,106年5月31日,二十四層,一層 陽台 見其他登記事項,全筆移轉
RPROMLSKQHKGFBF98DA,33,.00,共有部分,鋼筋混凝土造,81年11月30日,十六層,,持分移轉
RPROMLSKQHKGFBF98DA,33,7.89,共有部分,鋼筋混凝土造,81年11月30日,十六層,,持分移轉
RPROMLSKQHKGFBF98DA,33,45.72,防空避難室兼停車場．停車場,鋼筋混凝土造,81年11月30日,十六層,地下一層 地下二層,持分移轉
RPRNMLMKQHKGFAF28EA,8,178.77,本共有部分之項目有：水箱，泵浦室，機械室，排煙室，污水機房，電樓梯間，消防泵浦室，電梯機坑，電錶室，資源回收室，訪客臨停區，垃圾車暫停區，緊急發電機室，機房，電氣室，台電配電室〈A，B，C，D〉，電信室，停車空間，水錶室，防災中心，防空避難室，男廁，女廁，儲槽專用室，消防水箱，電梯間，梯廳，梯廳兼排煙室，管委會使用空間，頂蓋型機車車道，門廊，陽台，管委會使用空間〈A，B〉，中繼水箱，樓梯間，電梯機房等３６項。,鋼筋混凝土造,106年5月31日,二十四層,,持分移轉
RPRNMLMKQHKGFAF28EA,8,125.10,本共有部分項目有：頂蓋型汽車車道，停車空間，防空避難室兼停車空間等３項。,鋼筋混凝土造,106年5月31日,二十四層,,持分移轉
RPOOMLOKQHKGFIF98DA,22,111.78,住家用,鋼筋混凝土造,92年10月21日,九層,八層 陽臺,全筆移轉
RPOOMLOKQHKGFIF98DA,22,27.75,共有部分,鋼筋混凝土造,92年10月21日,九層,,持分移轉
RPOOMLOKQHKGFIF98DA,22,.21,共有部分,鋼筋混凝土造,92年10月21日,九層,,持分移轉
RPOOMLOKQHKGFIF98DA,22,46.85,共有部分,鋼筋混凝土造,92年10月21日,九層,,持分移轉
RPWNMLSKQHKGFGF27DA,11,51.25,本共有部分項目有：防空避難室兼供公眾使用停車空間、供公眾使用停車空間、停車空間等３項。,鋼筋混凝土造,103年12月17日,二十六層,,持分移轉
RPUPMLRJQHKGFBF56DA,13,145.49,集合住宅,鋼筋混凝土造,101年11月19日,十一層,三層 陽臺 雨遮,全筆移轉
RPUPMLRJQHKGFBF56DA,13,56.00,本共有部分之項目有門廳（１至７）、警衛室、雨遮、停獎專用梯、社區活動中心（１至３）、停車空間、供公眾停車空間、垃圾車暫停空間、台電配電場所（１至２）、垃圾冷藏庫、儲藏室（１至５）、泳池休息區、景觀及游泳池機房、電信機房、消防機房、水池機房、中繼水箱、公共蓄水池、公設水池、景觀機房、發電機房、滯洪沉砂池等２２項。,鋼筋混凝土造,101年11月19日,十二層,,持分移轉
RPUPMLRJQHKGFBF56DA,13,28.36,本共有部分之項目有電梯間、蓄水池、電樓梯間、樓梯間、水箱、機械室等６項。,鋼筋混凝土造,101年11月19日,十一層,,持分移轉
RPQOMLPKQHKGFHF56DA,21,14.20,停車空間,鋼筋混凝土造,93年9月17日,十四層,地下一層,持分移轉
RPQOMLPKQHKGFHF56DA,21,.00,共有部分,鋼筋混凝土造,93年9月17日,十四層,,持分移轉
RPQOMLPKQHKGFHF56DA,21,18.46,共有部分,鋼筋混凝土造,93年9月17日,十四層,,持分移轉
RPRNMLSKQHKGFFF76EA,63,79.02,住家用,磚石造及加強磚造,51年7月31日,二層,一層 二層,全筆移轉
RPTNMLTKQHKGFIF37EA,13,23.98,集合住宅,鋼筋混凝土造,101年6月8日,十五層,十二層 陽臺,全筆移轉
RPTNMLTKQHKGFIF37EA,13,5.87,本建物記載共有部分包含（社區活動空間、汽、機車坡道、管理員室、通道、走廊、防空避難室、停車空間、梯廳、梯間、電信配線架室、台電配電室、垃圾儲存空間、受電箱、發電機室、蓄水池、消防幫浦室等１７項）。,鋼筋混凝土造,101年6月8日,十五層,,持分移轉
RPTNMLTKQHKGFIF37EA,13,6.52,本建物記載共有部分包含（梯廳、樓梯間、走道、電錶室、機房、電梯機房、水箱等７項）。,鋼筋混凝土造,101年6月8日,十五層,,持分移轉
RPROMLPKQHKGFCF78DA,40,7.66,辦公室,鋼筋混凝土造,74年8月31日,五層,地下一層,持分移轉
RPROMLPKQHKGFCF78DA,40,25.82,共有部分,鋼筋混凝土造,74年8月31日,五層,,持分移轉
RPROMLPKQHKGFCF78DA,40,2.38,本共有部分項目計有走道、Ａ梯等共計２項。,鋼筋混凝土造,74年8月31日,五層,,持分移轉
RPSNMLMKQHKGFCF48DA,41,32.31,住家用,鋼筋混凝土造,74年1月14日,九層,二層 陽台,全筆移轉
RPSNMLMKQHKGFCF48DA,41,18.88,共有部分,鋼筋混凝土造,74年1月14日,九層,,持分移轉
RPPNMLRJQHKGFFF88DA,30,94.42,住家用,鋼筋混凝土造,84年4月25日,五層,三層 陽台 花台,全筆移轉
RPPNMLRJQHKGFFF88DA,30,13.65,共有部分,鋼筋混凝土造,84年4月25日,五層,,持分移轉
RPPNMLRJQHKGFFF88DA,30,8.39,共有部分,鋼筋混凝土造,84年4月25日,五層,,持分移轉
RPRNMLSKQHKGFDF56EA,43,98.68,住家用,鋼筋混凝土造,71年2月17日,四層,三層 陽臺,全筆移轉
RPPNMLLLQHKGFCF28EA,9,131.70,集合住宅,鋼筋混凝土構造,105年10月18日,十六層,六層 陽台 雨遮,全筆移轉
RPPNMLLLQHKGFCF28EA,9,28.01,共有部分,鋼筋混凝土構造,105年10月18日,十六層,,持分移轉
RPPNMLLLQHKGFCF28EA,9,63.59,共有部分,鋼筋混凝土構造,105年10月18日,十八層,,持分移轉
RPPOMLTKQHKGFHF96EA,18,14.57,停車空間,鋼筋混凝土造,96年7月31日,十四層,地下一層 地下二層,持分移轉
RPPOMLTKQHKGFHF96EA,18,18.28,共有部分,鋼筋混凝土造,96年7月31日,十四層,,持分移轉
RPRNMLTKQHKGFDF56DA,28,34.28,商業用,鋼筋混凝土造,86年7月3日,二十六層,二層 陽台,全筆移轉
RPRNMLTKQHKGFDF56DA,28,1.70,門廊社區中心衣物寄放櫃、警衛室、櫃檯、電信機房、緊急昇降機、男更衣室、女更衣室、門廳會議室、台電管道間、台電變電室、緊急發電機室、排煙室、蓄水池、消防水池、泵浦室、電梯間,鋼筋混凝土造,86年7月3日,二十七層,,持分移轉
RPRNMLTKQHKGFDF56DA,28,.82,門廳、水箱、信箱區、緊急昇降機、機械室、瞭望台、樓梯間、排煙機房、樓梯。,鋼筋混凝土造,86年7月3日,二十六層,,持分移轉
RPUOMLLMPHKGFAF68EA,2,34.30,集合住宅,鋼骨鋼筋混凝土造,112年9月8日,十九層,十八層 陽臺 雨遮,全筆移轉
RPUOMLLMPHKGFAF68EA,2,33.24,本共有部分項目有：地下室排風機房、消防泵浦室、住宅車道、公共使用蓄水池、地下室進風機房、無障礙停車位、停車空間、車道、住宅用途車道、防空避難室兼停車空間、住宅用途汽車車道、住宅用途機車車道、商業用途車道、發電機室、防災中心、商業用途機車道、地下室進風口、地下室排風口、緩衝空間、陽台、無障礙通路、商業用途汽車車道等２２項。,鋼骨鋼筋混凝土造,112年9月8日,十九層,,持分移轉
RPUOMLLMPHKGFAF68EA,2,4.46,本共有部分項目有：住宅用途垃圾暫存空間、防空避難室兼停車空間、台電配電場所Ａ、台電配電場所Ｂ、台電配電場所Ｃ、陽台、儲藏室、住宅門廳、管理員室、機電設備空間、男廁、女廁、雨遮、管委會使用空間、梯廳、游泳池、游泳池蓄水池等１７項。,鋼骨鋼筋混凝土造,112年9月8日,十九層,,持分移轉
RPUOMLLMPHKGFAF68EA,2,9.93,本共有部分項目有：消防水池、緊急昇降機、機電設備空間、Ｅ棟排煙室、無障礙昇降機、Ｆ棟排煙室、住宅安全梯、無障礙樓梯、ＥＦ棟蓄水池、Ｅ棟梯廳、住宅特安梯、住宅無障礙特安梯、Ｆ棟梯廳、無障礙特安梯、梯廳、特安梯、水錶室、排煙室、機電設備空間（中繼消防機房）、中繼水箱、樓梯間、男廁、女廁、機械室、樓梯間、蓄水池等２６項。,鋼骨鋼筋混凝土造,112年9月8日,十九層,,持分移轉
RPROMLSKQHKGFHF96DA,30,134.96,商業用,鋼筋混凝土造,84年7月25日,七層,一層 平台 騎樓 地下一層,全筆移轉
RPROMLSKQHKGFHF96DA,30,8.78,共有部分,鋼筋混凝土造,84年7月25日,七層,,持分移轉
RPPNMLKLQHKGFIF78EA,41,44.55,住家用,鋼筋混凝土造,73年7月10日,四層,四層,持分移轉
RPUOMLOJQHKGFBF78DA,34,58.86,防空避難室兼停車場,鋼筋混凝土造,81年1月13日,十層,地下二層,持分移轉
RPWNMLTKQHKGFBF86DA,29,16.76,辦公室,鋼筋混凝土造,85年3月11日,二十一層,地下一層,全筆移轉
RPWNMLTKQHKGFBF86DA,29,18.27,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPWNMLTKQHKGFBF86DA,29,1.20,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPWNMLTKQHKGFBF86DA,29,3.88,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPUOMLTKQHKGFHF47EA,17,95.61,住家用,鋼筋混凝土造,97年7月3日,十五層,十四層 陽台 雨遮,全筆移轉
RPUOMLTKQHKGFHF47EA,17,16.60,共有部分,鋼筋混凝土造,97年7月3日,十五層,,持分移轉
RPUOMLTKQHKGFHF47EA,17,63.80,共有部分,鋼筋混凝土造,97年7月3日,十五層,,持分移轉
RPXOMLLMPHKGFAF98EA,17,31.02,共有部分,鋼筋混凝土造,97年11月19日,二十四層,,持分移轉
RPQOMLNKQHKGFEF78EA,48,108.57,住家用,鋼筋混凝土造,66年9月26日,七層,五層 走廊,全筆移轉
RPROMLNKQHKGFEF88EA,36,50.15,住家用,鋼筋混凝土造,78年8月22日,五層,一層 平台,全筆移轉
RPROMLNKQHKGFEF88EA,36,.78,共有部分,鋼筋混凝土造,78年8月22日,五層,,持分移轉
RPROMLNKQHKGFEF88EA,36,6.90,共有部分,鋼筋混凝土造,78年8月22日,五層,,持分移轉
RPROMLNKQHKGFEF88EA,36,3.13,共有部分,鋼筋混凝土造,78年8月22日,五層,,持分移轉
RPTNMLTKQHKGFCF66DA,29,91.89,住家用,鋼筋混凝土造,85年6月27日,十八層,九層 陽臺,全筆移轉
RPTNMLTKQHKGFCF66DA,29,21.56,共有部分,鋼筋混凝土造,85年6月27日,十九層,,持分移轉
RPTNMLTKQHKGFCF66DA,29,38.36,共有部分,鋼筋混凝土造,85年6月27日,十九層,,持分移轉
RPTNMLLLQHKGFGF09EA,29,.13,住家用,鋼筋混凝土造,85年12月16日,八層,一層 陽台,持分移轉
RPTNMLLLQHKGFGF09EA,29,31.92,共有部分,鋼筋混凝土造,85年12月16日,八層,,持分移轉
RPSNMLLLQHKGFDF68EA,7,94.96,集合住宅,鋼筋混凝土構造,107年2月22日,十五層,七層 陽台 雨遮,全筆移轉
RPSNMLLLQHKGFDF68EA,7,80.09,本共有部份項目有：無障礙樓梯、梯廳、排煙室、戶外安全梯、管委會辦公空間、管委會會議空間、儲藏室、信箱／宅配區、樓梯間、機械室、電梯機房、水箱、台電配電室、排氣機房、進氣機房、停車空間、垃圾儲存空間、電信機房、緊急發電機房、污水機房、消防泵浦室、水箱１、水箱２、防空避難室兼停車空間等２４項。,鋼筋混凝土構造,107年2月22日,十五層,,持分移轉
RPXOMLLLQHKGFGF86DA,33,4.07,工廠及工廠用展示室﹐變電室,鋼筋混凝土造,81年5月21日,十層,地下一層 地下二層,持分移轉
RPXOMLLLQHKGFGF86DA,33,.01,共有部分,鋼筋混凝土造,81年5月21日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,.40,共有部分,鋼筋混凝土造,81年1月18日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,.17,共有部分,鋼筋混凝土造,81年1月18日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,.30,共有部分,鋼筋混凝土造,81年1月18日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,.30,共有部分,鋼筋混凝土造,81年1月18日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,.22,共有部分,鋼筋混凝土造,81年1月18日,十層,,持分移轉
RPXOMLLLQHKGFGF86DA,34,17.47,儲藏室、控制室、停車場、變電室、展示中心,鋼筋混凝土造,81年1月18日,十層,一層 平台 地下一層 地下二層,持分移轉
RPPNMLKLQHKGFEF38EA,28,44.39,住家用,鋼筋混凝土造,86年7月18日,八層,五層 陽台 花台,全筆移轉
RPPNMLKLQHKGFEF38EA,28,6.42,共有部分,鋼筋混凝土造,86年7月18日,八層,,持分移轉
RPPNMLKLQHKGFEF38EA,28,36.97,共有部分,鋼筋混凝土造,86年7月18日,八層,,持分移轉
RPQNMLKLQHKGFDF28DA,26,31.60,住家用,鋼筋混凝土造,88年2月3日,三十二層,三層 陽台,全筆移轉
RPQNMLKLQHKGFDF28DA,26,.73,共有部分,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPQNMLKLQHKGFDF28DA,26,.99,共有部分,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPQNMLKLQHKGFDF28DA,26,7.99,共有部分,鋼筋混凝土造,88年2月3日,三十二層,,持分移轉
RPPNMLMLQHKGFDF38DA,30,32.94,共有部分,鋼筋混凝土造,84年5月5日,十二層,,持分移轉
RPWVMLLLQHKGFEF27DA,29,.20,共有部分,鋼筋混凝土造,85年5月28日,七層,,持分移轉
RPWVMLLLQHKGFEF27DA,29,35.36,住家用,鋼筋混凝土造,85年5月29日,十六層,十層 陽台,全筆移轉
RPWVMLLLQHKGFEF27DA,29,5.58,共有部分,鋼筋混凝土造,85年5月29日,十六層,,持分移轉
RPXVMLLLQHKGFEF37DA,35,19.43,住家用,鋼筋混凝土造,79年8月28日,十四層,十四層 陽台,全筆移轉
RPXVMLLLQHKGFEF37DA,35,8.85,共有部分,鋼筋混凝土造,79年8月28日,十四層,,持分移轉
RPVNMLSJQHKGFIF37EA,43,122.49,住家用,鋼筋混凝土造,71年9月18日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPQOMLOKQHKGFGF98DA,31,42.22,共有部分,鋼筋混凝土造,83年10月8日,八層,,持分移轉
RPRNMLLKQHKGFEF48DA,31,20.93,住家用,鋼筋混凝土造,83年6月29日,十八層,六層,全筆移轉
RPRNMLLKQHKGFEF48DA,31,9.64,共有部分,鋼筋混凝土造,83年6月29日,十八層,,持分移轉
RPOPMLLLQHKGFGF68DA,40,83.21,住家用,鋼筋混凝土造,74年7月26日,五層,二層 陽台,全筆移轉
RPUNMLKLQHKGFEF78DA,53,36.01,住宅,加強磚造,61年2月28日,一層,一層,持分移轉
RPQQMLLLQHKGFEF78DA,17,34.83,共有部分,鋼筋混凝土造,97年12月23日,二十四層,,持分移轉
RPSOMLSKQHKGFAF98DA,55,17.35,住家用,加強磚造,59年8月7日,三層,一層 二層 三層 騎樓,持分移轉
RPUNMLLKQHKGFHF09DA,17,31.34,住家用,鋼筋混凝土造,97年10月9日,十五層,七層 陽台 雨遮,持分移轉
RPUNMLLKQHKGFHF09DA,17,6.79,共有部分,鋼筋混凝土造,97年10月9日,十五層,,持分移轉
RPUNMLLKQHKGFHF09DA,17,7.56,共有部分,鋼筋混凝土造,97年10月9日,十五層,,持分移轉
RPUONLLLQHKGFHF76DA,23,34.03,共有部分,鋼骨鋼筋混凝土造,92年1月15日,十四層,,持分移轉
RPOOMLOJQHKGFIF88DA,31,90.78,住家用,鋼筋混凝土造,83年12月21日,十二層,七層 陽台,全筆移轉
RPOOMLOJQHKGFIF88DA,31,14.06,共有部分,鋼筋混凝土造,83年12月21日,十二層,,持分移轉
RPOOMLOJQHKGFIF88DA,31,36.67,共有部分,鋼筋混凝土造,83年12月21日,十二層,,持分移轉
RPOQMLTKQHKGFBF98DA,45,86.90,住家用,鋼筋混凝土造,70年1月12日,五層,一層 平台,全筆移轉
RPVNMLMLQHKGFGF76EA,35,1.90,共有部分,鋼筋混凝土造,80年1月21日,五層,,持分移轉
RPWPMLMKQHKGFBF98DA,3,83.14,集合住宅,鋼筋混凝土造,111年6月30日,十四層,九層 陽台 雨遮,全筆移轉
RPVNMLMLQHKGFGF76EA,35,48.34,住家用,鋼筋混凝土造,80年1月21日,五層,三層 陽台,全筆移轉
RPWPMLMKQHKGFBF98DA,3,59.29,本共有部分之項目有防空避難室兼停車空間，台電配電場所，自行車空間，排煙室，無障礙安全梯，發電機室，供行動不便者使用，裝卸車位，垃圾車位，垃圾室，停車空間，電信室，電氣機房，蓄水池，消防泵浦室，管委會使用空間，梯廳，汽車坡道等１８項。,鋼筋混凝土造,111年6月30日,十四層,,持分移轉
RPWPMLMKQHKGFBF98DA,3,19.01,本共有部分之項目有梯廳，雨遮，梯間，無障礙戶外安全梯，機械室，水箱等６項。,鋼筋混凝土造,111年6月30日,十四層,,持分移轉
RPPNMLLLQHKGFEF48EA,25,.27,辦公室,鋼骨鋼筋混凝土造,89年4月18日,三十層,六層 陽台,持分移轉
RPPNMLLLQHKGFEF48EA,25,.02,共有部分,鋼骨鋼筋混凝土造,89年4月18日,三十一層,,持分移轉
