鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三重區,房地(土地+建物)+車位,新北市三重區元信一街與元富二街,12.29,住,,,1140511,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.15,2,2,1,有,無,18770000,225652,坡道平面,36.94,2250000,,RPPNMLMKNHKGFGF28CB,宏道仁?,A1棟2號,
土城區,房地(土地+建物)+車位,新北市土城區福田路與金埔街路口,16.19,住,,,1140511,土地3建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.37,3,2,2,有,無,23700000,215684,坡道平面,21.76,2000000,,RPSOMLNKNHKGFAF18CB,朗沐,B棟6號,
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路,32.23,商,,,1140513,土地5建物1車位2,八層,28,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,,356.23,0,0,0,無,無,46750000,142321,坡道平面,57.96,4300000,雨遮計坪不計價,RPQNMLOKNHKGFAF97CB,天禧,A1棟08號,
永和區,房地(土地+建物)+車位,新北市永和區中正路388號旁,16.34,商,,,1140511,土地36建物1車位1,二十層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,210.58,4,2,2,有,無,51760000,278843,坡道平面,34.28,2600000,,RPTNMLOKNHKGFHF98CB,新碩永傳,A棟A3-20F號,
永和區,房地(土地+建物)+車位,新北市永和區中正路388號旁,17.12,商,,,1140511,土地36建物1車位1,十一層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,218.88,4,2,2,有,無,50500000,256771,坡道平面,34.28,3100000,,RPVNMLOKNHKGFHF56CB,新碩永傳,B棟B3-11F號,
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路四段,6.58,住,,,1140511,土地39建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.61,1,1,1,有,無,17330000,285495,坡道平面,25.49,2450000,,RPSNMLPKNHKGFAF28CB,濱河帝景,A棟11號,
新店區,房地(土地+建物)+車位,新北市新店區寶橋路235巷167號旁,14.62,其他,,,1140511,土地24建物1車位1,二十四層,31,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,169.0,3,2,2,有,無,37970000,266936,坡道平面,35.56,2350000,雨遮計坪不計價,RPPNMLPKNHKGFCF18CB,國揚光河,A棟A3-24F號,
三重區,房地(土地+建物)+車位,新北市三重區頂文二街,10.38,住,,,1140511,土地10建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.12,2,2,1,有,無,18150000,259631,坡道平面,31.42,2650000,,RPOOMLPKNHKGFGF58CB,新濠漾4-英倫公園,A3棟18號,
三峽區,房地(土地+建物)+車位,新北市三峽區大同路286巷,20.57,住,,,1140512,土地4建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.21,2,2,1,有,無,12300000,110100,坡道平面,29.75,1900000,,RPPNMLPKNHKGFIF78CB,青松安家,B5棟3樓號,
