編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKNHKGFIF78CB,中園段,.00,都市：住,100000,662,持分移轉,06220000
RPPNMLPKNHKGFIF78CB,中園段,.67,都市：住,100000,662,持分移轉,06490000
RPPNMLPKNHKGFIF78CB,中園段,5.69,都市：住,100000,662,持分移轉,06500000
RPPNMLPKNHKGFIF78CB,中園段,14.22,都市：住,100000,662,持分移轉,06540000
RPOOMLPKNHKGFGF58CB,五谷王段,2.01,都市：住,1000000,1944,持分移轉,00610000
RPOOMLPKNHKGFGF58CB,五谷王段,3.05,都市：住,1000000,1944,持分移轉,00670000
RPOOMLPKNHKGFGF58CB,五谷王段,.74,都市：住,1000000,1944,持分移轉,00680000
RPOOMLPKNHKGFGF58CB,五谷王段,.42,都市：住,1000000,1944,持分移轉,00690000
RPOOMLPKNHKGFGF58CB,五谷王段,.25,都市：住,1000000,1944,持分移轉,00700000
RPOOMLPKNHKGFGF58CB,五谷王段,.89,都市：住,1000000,1944,持分移轉,00710000
RPOOMLPKNHKGFGF58CB,五谷王段,.24,都市：住,1000000,1944,持分移轉,00720000
RPOOMLPKNHKGFGF58CB,五谷王段,.24,都市：住,1000000,1944,持分移轉,00730000
RPOOMLPKNHKGFGF58CB,五谷王段,2.05,都市：住,1000000,1944,持分移轉,00740000
RPOOMLPKNHKGFGF58CB,五谷王段,.49,都市：住,1000000,1944,持分移轉,00750000
RPSNMLTKNHKGFAF68CB,港子嘴段,.54,都市：住,100000,270,持分移轉,00010018
RPSNMLTKNHKGFAF68CB,港子嘴段,.02,都市：住,100000,270,持分移轉,00010020
RPSNMLTKNHKGFAF68CB,港子嘴段,.05,都市：住,100000,270,持分移轉,00010021
RPSNMLTKNHKGFAF68CB,港子嘴段,.07,都市：住,100000,270,持分移轉,00010022
RPSNMLTKNHKGFAF68CB,港子嘴段,.11,都市：住,100000,270,持分移轉,00580002
RPSNMLTKNHKGFAF68CB,港子嘴段,.04,都市：住,100000,270,持分移轉,00580004
RPSNMLTKNHKGFAF68CB,港子嘴段,.05,都市：住,100000,270,持分移轉,00580006
RPSNMLTKNHKGFAF68CB,港子嘴段,.06,都市：住,100000,270,持分移轉,00580007
RPSNMLTKNHKGFAF68CB,港子嘴段,.01,都市：住,100000,270,持分移轉,00580009
RPSNMLTKNHKGFAF68CB,港子嘴段,.03,都市：住,100000,270,持分移轉,00580010
RPSNMLTKNHKGFAF68CB,港子嘴段,.70,都市：住,100000,270,持分移轉,00590000
RPSNMLTKNHKGFAF68CB,港子嘴段,.08,都市：住,100000,270,持分移轉,00590001
RPSNMLTKNHKGFAF68CB,港子嘴段,.24,都市：住,100000,270,持分移轉,00590002
RPSNMLTKNHKGFAF68CB,港子嘴段,.70,都市：住,100000,270,持分移轉,00590005
RPSNMLTKNHKGFAF68CB,港子嘴段,.39,都市：住,100000,270,持分移轉,00590006
RPSNMLTKNHKGFAF68CB,港子嘴段,.62,都市：住,100000,270,持分移轉,00590007
RPSNMLTKNHKGFAF68CB,港子嘴段,.94,都市：住,100000,270,持分移轉,00590008
RPSNMLTKNHKGFAF68CB,港子嘴段,.32,都市：住,100000,270,持分移轉,00590009
RPSNMLTKNHKGFAF68CB,港子嘴段,.42,都市：住,100000,270,持分移轉,00590010
RPSNMLTKNHKGFAF68CB,港子嘴段,.19,都市：住,100000,270,持分移轉,00590011
RPSNMLTKNHKGFAF68CB,港子嘴段,.38,都市：住,100000,270,持分移轉,00590012
RPSNMLTKNHKGFAF68CB,港子嘴段,.07,都市：住,100000,270,持分移轉,00590013
RPSNMLTKNHKGFAF68CB,港子嘴段,.11,都市：住,100000,270,持分移轉,00590014
RPSNMLTKNHKGFAF68CB,港子嘴段,.38,都市：住,100000,270,持分移轉,00590015
RPSNMLTKNHKGFAF68CB,港子嘴段,.32,都市：住,100000,270,持分移轉,00590016
RPSNMLTKNHKGFAF68CB,港子嘴段,.23,都市：住,100000,270,持分移轉,00590017
RPSNMLTKNHKGFAF68CB,港子嘴段,.15,都市：住,100000,270,持分移轉,00590018
RPSNMLTKNHKGFAF68CB,港子嘴段,.16,都市：住,100000,270,持分移轉,00590019
RPSNMLTKNHKGFAF68CB,港子嘴段,.04,都市：住,100000,270,持分移轉,00590021
RPSNMLTKNHKGFAF68CB,港子嘴段,.03,都市：住,100000,270,持分移轉,00590022
RPSNMLTKNHKGFAF68CB,港子嘴段,.01,都市：住,100000,270,持分移轉,00590023
RPSNMLTKNHKGFAF68CB,港子嘴段,.00,都市：住,100000,270,持分移轉,00590024
RPSNMLTKNHKGFAF68CB,港子嘴段,.02,都市：住,100000,270,持分移轉,00590029
RPSNMLTKNHKGFAF68CB,港子嘴段,.01,都市：住,100000,270,持分移轉,00590030
RPSNMLTKNHKGFAF68CB,港子嘴段,3.89,都市：住,100000,270,持分移轉,00600000
RPSNMLTKNHKGFAF68CB,港子嘴段,.19,都市：住,100000,270,持分移轉,00600001
RPSNMLTKNHKGFAF68CB,港子嘴段,.01,都市：住,100000,270,持分移轉,00600006
RPSNMLTKNHKGFAF68CB,港子嘴段,.10,都市：住,100000,270,持分移轉,00600007
RPSNMLTKNHKGFAF68CB,港子嘴段,.00,都市：住,100000,270,持分移轉,00600009
RPTNMLTKNHKGFAF78CB,港子嘴段,.54,都市：住,100000,270,持分移轉,00010018
RPTNMLTKNHKGFAF78CB,港子嘴段,.02,都市：住,100000,270,持分移轉,00010020
RPTNMLTKNHKGFAF78CB,港子嘴段,.05,都市：住,100000,270,持分移轉,00010021
RPTNMLTKNHKGFAF78CB,港子嘴段,.07,都市：住,100000,270,持分移轉,00010022
RPTNMLTKNHKGFAF78CB,港子嘴段,.11,都市：住,100000,270,持分移轉,00580002
RPTNMLTKNHKGFAF78CB,港子嘴段,.04,都市：住,100000,270,持分移轉,00580004
RPTNMLTKNHKGFAF78CB,港子嘴段,.05,都市：住,100000,270,持分移轉,00580006
RPTNMLTKNHKGFAF78CB,港子嘴段,.06,都市：住,100000,270,持分移轉,00580007
RPTNMLTKNHKGFAF78CB,港子嘴段,.01,都市：住,100000,270,持分移轉,00580009
RPTNMLTKNHKGFAF78CB,港子嘴段,.03,都市：住,100000,270,持分移轉,00580010
RPTNMLTKNHKGFAF78CB,港子嘴段,.70,都市：住,100000,270,持分移轉,00590000
