鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
汐止區,租賃房屋,新北市汐止區大同路二段２８３號７樓之４,0.0,,,,1140511,土地0建物1車位0,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,56.67,1,1,1,有,有,有,7000,124,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為7800元，因選擇 代管 方案需打9折且簽約租金無條件捨去至百分位，實際租賃契約金額7000元。,RPUOMLMKNHKGFDF68CC,獨立套房,有,1140511~1150510,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
淡水區,租賃房屋,新北市淡水區鄧公路２巷１３號４樓,0.0,,,,1140511,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890728,93.86,3,2,1,有,有,無,22000,234,,0.0,0,,RPRNMLMKNHKGFEF38CC,整棟(戶)出租,有,1140515~1150514,有,冷氣、熱水器、瓦斯或天然氣,
淡水區,租賃房屋+車位,新北市淡水區中山北路三段６１之１號１１樓,0.0,,,,1140511,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020909,152.76,3,2,2,有,有,無,28000,183,坡道平面,35.76,0,禁止養寵物，室內吸菸及燒香設神明祖先牌位多人共同承租2；,RPWNMLMKNHKGFEF88CC,整棟(戶)出租,有,1140601~1160531,有,冷氣、熱水器、瓦斯或天然氣,
中和區,租賃房屋,新北市中和區景新街４６７巷３２弄１７號四樓,0.0,,,,1140511,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770625,120.65,4,2,2,有,有,無,23000,191,,0.0,0,房屋交付日為民國114年5月24日至民國114年5月31日租金為8日承租人需額外交付5935元整,RPVNMLMKNHKGFHF09CC,整棟(戶)出租,無,1140601~1160531,無,熱水器、瓦斯或天然氣,
板橋區,租賃房屋,新北市板橋區中山路二段４４３巷７６號３樓,0.0,,,,1140512,土地0建物2車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771117,304.47999999999996,8,4,4,有,無,無,92000,302,,0.0,0,含有多個門牌且未個別計算租金1.新北市板橋區中山路443巷76號3樓2.新北市板橋區中山路443巷78號3樓；,RPQNMLNKNHKGFAF97CC,整棟(戶)出租,無,1140601~1170531,有,冷氣,
土城區,租賃房屋,新北市土城區莊園街１０２號十六樓,0.0,,,,1140513,土地0建物1車位0,十六層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120802,127.65,2,1,1,有,有,有,26824,210,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為32300元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額29000元。每個月管理費2176元由出租人負擔。實際租賃契約書金額29000元，內含每月管理費2176元。未租賃車位，建物登記含有車位面積；續租案件；,RPXNMLNKNHKGFAF68CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
五股區,租賃房屋,新北市五股區中興路四段４８巷３號,0.0,,,,1140512,土地0建物1車位0,一層,4,店面(店鋪),商業用,加強磚造,0660115,65.04,0,1,1,有,無,無,29000,446,,0.0,0,,RPPNMLNKNHKGFBF97CC,,無,1140520~1160519,無,,
五股區,租賃房屋+車位,新北市五股區新五路三段２４６號十一樓,0.0,,,,1140512,土地0建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060104,164.41,3,2,2,有,有,有,33000,201,坡道平面,0.0,3000,此為 新北市 社會住宅包租代管計畫之物件，評定市價租金為33334元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額30000元。另有管理費2000元，由承租人負擔。,RPPOMLNKNHKGFBF08CC,整棟(戶)出租,有,1140520~1150519,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新莊區,租賃房屋,新北市新莊區萬安街６７巷８號,0.0,,,,1140511,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710513,82.93,3,1,1,有,無,無,23000,277,,0.0,0,,RPTOMLNKNHKGFBF48CC,整棟(戶)出租,無,1140520~1150519,無,冷氣、熱水器,
