編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLPKNHKGFBF38CC,建林段,23.10,都市：住,,,,03360000
RPTNMLOKNHKGFEF78CC,公司田段,13.43,都市：住,,,,02050000
RPTOMLNKNHKGFEF78CC,淡海段,12.03,都市：住,,,,01490000
RPOOMLPKNHKGFEF48CC,滬尾段,10.56,都市：商,,,,03380000
RPWNMLPKNHKGFEF56CC,淡海段,12.03,都市：住,,,,01490000
RPWNMLQKNHKGFBF98CC,副都心段一小段,32.76,都市：商,,,,00090000
RPWNMLRKNHKGFAF98CC,頂福段,25.04,都市：住,,,,05600000
RPQNMLTKNHKGFEF98CC,新市段,14.82,都市：住,,,,01240000
RPSNMLTKNHKGFBF88CC,國宅段,8.05,都市：住,,,,00010001
RPVNMLKLNHKGFBF38CC,力行段,15.15,都市：住,,,,11960000
RPVNMLKLNHKGFBF38CC,力行段,16.73,都市：住,,,,11960000
RPTNMLTKNHKGFBF98CC,副都心段一小段,33.14,都市：商,,,,04210000
RPVNMLKLNHKGFIF09CC,永安段,141.94,都市：住,,,,16430000
RPQNMLLLNHKGFEF28CC,中山段,17.44,都市：住,,,,04010000
RPUNMLMLNHKGFEF78CC,龍米段,5.89,都市：住,,,,24250000
RPOPMLNLNHKGFEF48CC,新市段,17.24,都市：其他:第三之一種中心商業區,,,,01450000
RPQOMLNLNHKGFIF98CC,慈恩段,810.19,都市：住,,,,05270000
RPQOMLNLNHKGFIF98CC,慈恩段,647.35,都市：住,,,,04950000
RPPNMLOLNHKGFBF18CC,副都心段七小段,12.69,都市：住,,,,00010000
RPQNMLPLNHKGFBF38CC,力行段,16.52,都市：住,,,,10190000
RPPNMLPLNHKGFBF28CC,力行段,26.15,都市：商,,,,01490000
RPQNMLQLNHKGFBF48CC,力行段,21.32,都市：住,,,,00230000
RPVOMLRLNHKGFAF09CC,土城段,6.25,都市：商,,,,06610000
RPXOMLRLNHKGFGF27CC,集賢段,26.05,都市：住,,,,03560000
RPTNMLRLNHKGFIF96CC,中華段,1327.65,都市：工,,,,06210003
RPQOMLSLNHKGFEF09CC,新市段,8.71,都市：其他:第三之一種中心商業區,,,,01410000
RPROMLSLNHKGFEF56CC,新市段,8.25,都市：其他:第三之一種中心商業區,,,,01450000
RPXPMLRLNHKGFEF17CC,新市段,20.28,都市：住,,,,01830000
RPSNMLTLNHKGFBF98CC,中湖段,5694.15,都市：農,,,,00970000
RPOOMLTLNHKGFBF68CC,力行段,27.40,都市：商,,,,08050000
RPXNMLTLNHKGFBF86CC,麗林段,13.79,都市：商,,,,04070001
RPVOMLTLNHKGFBF76CC,國宅段,24.20,都市：住,,,,00170002
RPPNMLTLNHKGFIF76CC,鳳鳴段,54.04,都市：住,,,,02030000
RPSNMLLMNHKGFBF28CC,國宅段,330.50,都市：住,,,,00310000
RPXNMLMJOHKGFGF56CC,仁信段,28.97,都市：住,,,,00760000
RPWNMLNJOHKGFBF68CC,國宅段,23.28,都市：住,,,,00120003
RPPPMLNJOHKGFBF18CC,副都心段一小段,9.57,都市：商,,,,03170000
RPXNMLNJOHKGFEF09CC,水仙段,41.22,都市：住,,,,02210000
RPROMLOJOHKGFEF68CC,望高樓段,26.59,都市：住,,,,03790000
RPQNMLOJOHKGFIF88CC,鳳鳴段,15.99,都市：住,,,,00020000
RPVOMLPJOHKGFBF88CC,四維段,29.77,都市：住,,,,00530000
RPOPMLQJOHKGFBF38CC,麗林段,36.63,都市：住,,,,03160000
RPWNMLQJOHKGFDF56CC,智興段,10.04,都市：住,,,,02460000
RPXNMLTJOHKGFAF66CC,明德段,23.69,都市：住,,,,01750000
RPTNMLTJOHKGFBF98CC,五工段,1951.03,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04740000
RPROMLTJOHKGFEF56CC,鄧公段,7.70,都市：住,,,,05990000
RPTNMLKKOHKGFDF38CC,工建段,56.40,都市：工,,,,03300000
RPOOMLKKOHKGFEF08CC,新市段,8.47,都市：商,,,,01450001
RPXNMLKKOHKGFGF09CC,正民段,13.57,都市：住,,,,09510000
RPQPMLLKOHKGFBF18CC,和平段,21.62,都市：住,,,,02500000
RPWOMLLKOHKGFBF68CC,和平段,11.90,都市：住,,,,06730000
RPVPMLLKOHKGFBF68CC,和平段,46.89,都市：住,,,,02520000
RPTPMLLKOHKGFBF48CC,明志段,.36,都市：住,,,,04750000
RPTPMLLKOHKGFBF48CC,明志段,12.00,都市：商,,,,04520000
RPOQMLLKOHKGFBF08CC,建林段,29.48,都市：住,,,,04220000
RPUNMLLKOHKGFIF09CC,大埔一段,1001.15,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02710000
RPUNMLLKOHKGFIF09CC,大埔一段,247.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,02720000
RPUNMLLKOHKGFIF09CC,大埔一段,116.16,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,02730000
RPUNMLLKOHKGFIF09CC,大埔一段,54.21,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,09420000
RPUOMLMKOHKGFBF58CC,力行段,50.07,都市：住,,,,09240000
RPSPMLMKOHKGFBF48CC,力行段,95.11,都市：住,,,,00100000
RPQNMLMKOHKGFEF38CC,新市段,8.31,都市：商,,,,01450001
RPUOMLNKOHKGFAF58CC,學林段,20.28,都市：住,,,,03480000
RPOOMLNKOHKGFDF28CC,智興段,7.48,都市：其他:市場用地,,,,10610000
RPWNMLQKOHKGFBF09CC,工二段,1597.00,都市：工,,,,00880000
RPVOMLQKOHKGFEF76CC,海天段,8.04,都市：住,,,,05480000
RPQOMLQKOHKGFGF09CC,富貴段,25.69,都市：住,,,,05300000
RPRQMLRKOHKGFBF98CC,建林段,8.51,都市：住,,,,03190000
RPROMLRKOHKGFDF98CC,北山段,37.38,都市：住,,,,10260000
RPVOMLRKOHKGFEF86CC,海天段,15.18,都市：住,,,,02150000
RPPPMLRKOHKGFEF98CC,天生段,47.89,都市：商,,,,09880000
RPPPMLRKOHKGFIF76CC,民生段,19.48,都市：住,,,,05220000
RPTNMLRKOHKGFEF56CC,新市段,141.91,都市：住,,,,00860000
RPUOMLSKOHKGFBF56CC,榮富段,135.89,都市：住,,,,03440000
RPUOMLSKOHKGFBF56CC,榮富段,121.74,都市：其他:人行步道,,,,03470000
RPUOMLSKOHKGFBF56CC,榮富段,78.09,都市：住,,,,03490000
RPXNMLRKOHKGFBF66CC,力行段,40.54,都市：商,,,,02590000
RPVPMLTKOHKGFBF86CC,麗林段,142.20,都市：住,,,,06610002
RPQNMLKLOHKGFCF08CC,民權段,122.10,都市：住,,,,04700000
RPWOMLKLOHKGFBF68CC,更寮段更寮小段,486.75,非都市：一般農業區 ; 非都市編定：交通用地,,,,03710011
RPWOMLKLOHKGFBF68CC,更寮段更寮小段,637.22,非都市：一般農業區 ; 非都市編定：交通用地,,,,03970000
RPWOMLKLOHKGFEF98CC,新市段,7.99,都市：商,,,,01450001
RPVOMLNLOHKGFBF88CC,行政段,114.04,都市：住,,,,06540000
RPRQMLNLOHKGFEF98CC,正德段,6.47,都市：住,,,,07440000
RPQRMLNLOHKGFEF98CC,新市段,15.21,都市：住,,,,01990000
RPOOMLPLOHKGFAF28CC,明德段,8.41,都市：住,,,,02110000
RPVNMLPLOHKGFDF56CC,水源段,3.12,都市：住,,,,09920000
RPVNMLPLOHKGFDF56CC,水源段,.00,都市：其他:保護區,,,,09920001
RPXNMLPLOHKGFDF76CC,水源段,3.12,都市：住,,,,09920000
RPXNMLPLOHKGFDF76CC,水源段,.00,都市：其他:保護區,,,,09920001
