編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLNKNHKGFBF08CC,坡道平面,3000,,地下二樓
RPPPMLOKNHKGFGF78CC,坡道平面,0,23.36,地下二樓
RPQOMLPKNHKGFBF38CC,坡道平面,0,34.99,地下二樓
RPTNMLOKNHKGFEF78CC,坡道平面,0,30.10,地下三樓
RPRPMLNKNHKGFEF68CC,坡道平面,0,32.82,地下三樓
RPTNMLNKNHKGFEF68CC,坡道平面,0,32.82,地下三樓
RPWNMLNKNHKGFEF98CC,坡道平面,3000,35.85,地下三樓
RPWNMLMKNHKGFEF88CC,坡道平面,0,35.76,地下一樓
RPQOMLOKNHKGFEF58CC,坡道平面,3000,34.31,地下二樓
RPTOMLNKNHKGFEF78CC,坡道平面,0,25.02,地下二樓
RPQNMLPKNHKGFCF38CC,升降機械,4000,15.68,無固定樓層
RPWPMLPKNHKGFBF09CC,坡道平面,3500,32.10,地下二樓
RPPNMLPKNHKGFDF38CC,坡道平面,0,39.19,地下二樓
RPWNMLPKNHKGFEF56CC,坡道平面,0,23.80,地下二樓
RPUPMLPKNHKGFEF56CC,坡道機械,500,15.42,地下五樓含以下
RPVPMLPKNHKGFEF66CC,坡道平面,0,29.64,地下二樓
RPTPMLPKNHKGFEF09CC,坡道平面,3000,14.25,地下二樓
RPQNMLQKNHKGFBF38CC,坡道平面,0,,地下一樓
RPSOMLQKNHKGFAF58CC,其他,0,44.15,地下三樓
RPVNMLPKNHKGFIF86CC,坡道平面,0,29.73,地下二樓
RPVNMLQKNHKGFBF88CC,坡道平面,3000,37.17,地下三樓
RPUNMLQKNHKGFBF78CC,坡道平面,3000,29.30,地下四樓
RPWNMLQKNHKGFBF98CC,坡道平面,0,37.08,地下四樓
RPWNMLQKNHKGFBF98CC,坡道平面,0,37.08,地下四樓
RPXPMLQKNHKGFBF66CC,坡道平面,3000,29.30,地下四樓
RPSOMLQKNHKGFBF68CC,坡道平面,0,,地下一樓
RPSOMLQKNHKGFBF68CC,坡道平面,0,,地下一樓
RPUPMLQKNHKGFBF98CC,坡道平面,0,43.47,地下二樓
RPXNMLQKNHKGFBF09CC,坡道平面,3000,26.80,地下三樓
RPWOMLQKNHKGFEF76CC,坡道平面,3000,29.99,地下三樓
RPSNMLQKNHKGFIF66CC,坡道平面,2500,31.85,地下一樓
RPPPMLRKNHKGFAF48CC,坡道平面,3500,30.05,地下三樓
RPSNMLRKNHKGFEF98CC,坡道平面,0,22.83,地下二樓
RPQNMLRKNHKGFEF78CC,坡道平面,0,40.37,地下一樓
RPVNMLRKNHKGFEF66CC,坡道平面,0,33.63,地下三樓
RPOPMLRKNHKGFEF78CC,坡道平面,0,37.77,地下一樓
RPPNMLSKNHKGFEF78CC,坡道平面,0,28.50,地下二樓
RPQNMLTKNHKGFCF78CC,坡道平面,0,37.46,地下二樓
RPPNMLTKNHKGFDF78CC,坡道平面,0,28.14,地下一樓
RPQNMLTKNHKGFEF98CC,坡道平面,0,33.04,地下三樓
RPOOMLTKNHKGFEF88CC,坡道平面,3000,31.71,地下三樓
RPPOMLTKNHKGFEF98CC,坡道平面,0,33.42,地下三樓
RPTOMLTKNHKGFEF76CC,坡道平面,0,,地下一樓
RPQOMLTKNHKGFEF09CC,坡道平面,1500,,地下一樓
RPUOMLTKNHKGFEF86CC,坡道平面,0,33.30,地下三樓
RPWNMLTKNHKGFGF17CC,坡道平面,0,31.00,地下五樓含以下
RPSOMLRKNHKGFBF78CC,坡道平面,3000,29.30,地下二樓
RPVOMLTKNHKGFIF37CC,坡道平面,0,21.74,地下三樓
RPUOMLTKNHKGFBF56CC,坡道平面,3000,24.65,地下二樓
RPVNMLKLNHKGFBF38CC,坡道平面,0,18.14,地下二樓
RPVNMLKLNHKGFBF38CC,坡道平面,0,18.14,地下二樓
RPROMLKLNHKGFBF08CC,坡道平面,3000,28.60,地下三樓
RPQNMLKLNHKGFBF87CC,坡道平面,3500,29.64,地下二樓
RPVOMLKLNHKGFBF48CC,坡道平面,3000,26.01,地下五樓含以下
RPRNMLKLNHKGFDF18CC,坡道平面,0,37.13,地下二樓
RPRPMLKLNHKGFEF48CC,坡道平面,0,40.16,地下三樓
RPRPMLKLNHKGFEF48CC,坡道平面,0,40.16,地下三樓
RPWNMLLLNHKGFBF58CC,坡道平面,3000,35.08,地下三樓
RPQNMLLLNHKGFEF28CC,坡道平面,0,30.80,地下三樓
RPPNMLLLNHKGFEF18CC,坡道平面,0,32.97,地下二樓
RPWNMLLLNHKGFEF88CC,坡道平面,0,30.84,地下三樓
RPQOMLLLNHKGFEF38CC,坡道平面,0,35.44,地下三樓
RPWNMLMLNHKGFBF68CC,坡道平面,3000,,地下一樓
RPVNMLMLNHKGFBF58CC,坡道平面,3000,21.73,地下二樓
RPQPMLMLNHKGFBF28CC,坡道平面,3500,23.61,地下五樓含以下
RPOPMLMLNHKGFBF08CC,坡道平面,3000,24.18,地下三樓
RPTPMLMLNHKGFBF58CC,坡道平面,3000,28.27,地下四樓
RPVNMLMLNHKGFCF68CC,升降機械,0,21.28,二樓含以上
RPVNMLMLNHKGFCF68CC,升降機械,0,21.28,二樓含以上
RPRNMLMLNHKGFDF38CC,坡道平面,0,35.55,地下二樓
RPQNMLMLNHKGFGF58CC,坡道平面,0,29.18,地下五樓含以下
RPQNMLMLNHKGFEF38CC,坡道平面,600,30.84,地下四樓
RPOOMLMLNHKGFEF28CC,坡道機械,2000,,地下一樓
RPRNMLMLNHKGFEF48CC,坡道平面,0,31.22,地下一樓
RPXNMLMLNHKGFEF09CC,坡道平面,4000,30.80,地下二樓
RPTNMLMLNHKGFGF88CC,坡道平面,4500,35.53,地下三樓
RPSNMLMLNHKGFEF58CC,坡道平面,0,29.64,地下三樓
RPQNMLMLNHKGFIF78CC,坡道平面,0,33.28,地下四樓
RPWNMLMLNHKGFIF76CC,坡道平面,0,41.48,地下五樓含以下
RPPNMLNLNHKGFBF08CC,坡道平面,3000,22.14,地下三樓
RPXOMLNLNHKGFBF98CC,坡道平面,3000,26.79,地下二樓
RPSNMLNLNHKGFBF38CC,坡道平面,3000,25.81,地下三樓
RPUPMLNLNHKGFBF78CC,坡道平面,3000,37.17,地下三樓
