鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
宜蘭市,土地,農權段147地號,30.9,住,,,1140803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,48544,,0.0,0,,RPRNMLPJQHKGFBG58DA,0.0,0.0,0.0,無,0001
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉和平路１１２號十三樓之二,10.34,住,,,1140801,土地1建物1車位0,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,65.62,1,1,1,有,有,3800000,57909,,0.0,0,,RPOPMLSJQHKGFBG78DA,45.07,0.93,7.65,有,
壯圍鄉,土地,大福一段403地號,44.92,,鄉村區,乙種建築用地,1140803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,679371,15124,,0.0,0,,RPRNMLMKQHKGFBG38DA,0.0,0.0,0.0,無,0002
壯圍鄉,土地,大福一段668地號,480.4,,一般農業區,農牧用地,1140803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1017246,2117,,0.0,0,,RPTNMLMKQHKGFBG58DA,0.0,0.0,0.0,無,0003
宜蘭市,土地,新生段767地號,505.74,住,,,1140805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11880000,23490,,0.0,0,,RPPOMLMKQHKGFBG28DA,0.0,0.0,0.0,無,0004
五結鄉,房地(土地+建物),宜蘭縣五結鄉利澤西路３之４１號四樓之三,13.85,,一般農業區,甲種建築用地,1140803,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841005,50.62,1,1,1,有,有,1680000,33188,,0.0,0,陽台外推；,RPTNMLSJQHKGFAG98DA,31.3,1.14,5.21,有,
蘇澳鎮,土地,中原段488-2地號,15.24,,,,1140802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,460000,30184,,0.0,0,,RPPNMLNKQHKGFAG18DA,0.0,0.0,0.0,無,
蘇澳鎮,土地,中原段488-5地號,20.04,,,,1140806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,696900,34775,,0.0,0,,RPVNMLNKQHKGFAG78DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段１７３號,374.0,商,,,1140801,土地4建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0950529,565.86,8,2,7,有,無,46000000,81292,,0.0,0,,RPSOMLMKQHKGFAG48DA,512.91,16.95,36.0,無,0005
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段１７１號,665.0,住,,,1140804,土地9建物3車位0,全,一層,透天厝,住家用,木造,,130.05,0,0,1,有,無,55880000,429681,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUOMLMKQHKGFAG68DA,130.05,0.0,0.0,無,0006
三星鄉,土地,大隱一段757地號,327.43,,特定農業區,甲種建築用地,1140802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,12216,,0.0,0,,RPOOMLNKQHKGFAG18DA,0.0,0.0,0.0,無,0007
員山鄉,土地,永結段427地號,718.32,,一般農業區,農牧用地,1140810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,2784,,0.0,0,土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKQHKGFBG97DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉集義路３３５號,96.14,住,,,1140803,土地1建物1車位0,全,二層,透天厝,住家用,鐵筋加強磚造,0651231,95.46,4,2,2,有,無,5500000,57616,,0.0,0,一樓空地增建約10坪其他增建；,RPVNMLOJQHKGFAG78DA,95.46,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮學府街３９號四樓之５,17.61,商,,,1140806,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土（ＲＣ）,1100911,59.16,2,1,1,有,有,6580000,111224,,0.0,0,,RPUNMLOKQHKGFAG78DA,37.42,0.0,4.99,有,0008
冬山鄉,土地,山明段397-1地號,37.36,農,,,1140805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,870000,23287,,0.0,0,,RPTOMLPKQHKGFAG88DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光華街３６號四樓之３,7.01,商,,,1140803,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830603,37.64,0,0,1,有,無,2500000,66419,,0.0,0,含傢俱設備費150000元；含仲介費130000元；含地政士服務費10000元；其他 家電:250000元；,RPUNMLPJQHKGFAG78DA,23.29,0.0,5.83,有,0009
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段２５８巷５號,119.0,住,,,1140801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,,192.93,4,3,3,有,無,5393300,27955,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLPKQHKGFAG88DA,192.93,0.0,0.0,無,
