鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路一段148巷,220.68,,特定農業區,農牧用地,1140511,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,148.53,4,2,5,有,無,10380000,69885,,0.0,0,交易總價包含壯東段552、549地號2筆農地持分交易價款42萬元整,RPTNMLOKNHKGFBG48CB,艾利永美,A棟A2號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路一段148巷,230.85,,特定農業區,農牧用地,1140511,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.29,4,2,5,有,無,10780000,64056,,0.0,0,交易總價包含壯東段552、549地號2筆農地持分交易價款42萬元整,RPUNMLOKNHKGFBG58CB,艾利永美,A棟A9號,
五結鄉,房地(土地+建物),宜蘭縣五結鄉三吉一路230巷,655.93,,特定農業區,農牧用地,1140511,土地5建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,270.91,6,1,7,有,無,28800000,106308,,0.0,0,交易總價包含大吉三段445、501、568、568-1地號等四筆農地持分，交易價款共新台幣350萬元。,RPPNMLPKNHKGFAG08CB,光隱13,I棟0號,
壯圍鄉,房地(土地+建物)+車位,宜蘭縣壯圍鄉美福路三段,59.23,,特定農業區,甲種建築用地,1140514,土地2建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.94,3,2,2,有,無,11250000,80970,一樓平面,21.84,0,交易總價包含新福段789地號農地持分交易總價2萬元整,RPQNMLQKNHKGFBG38CB,吉心立合,D棟D3號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉長堤路32巷,41.07,,特定農業區,甲種建築用地,1140515,土地2建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.33,2,2,2,有,無,7390000,70833,,0.0,0,,RPXNMLQKNHKGFBG09CB,香榭麗舍NO.9,A棟5號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路一段148巷,153.32,,特定農業區,甲種建築用地,1140516,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.89,4,2,5,有,無,11380000,75922,,0.0,0,交易總價包含壯東段552、549地號2筆農地持分交易價款26萬元整,RPPNMLRKNHKGFBG38CB,艾利永美,A棟B2號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市公園東路103巷,38.11,住,,,1140513,土地1建物1車位1,三層,3,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.94,2,2,2,有,無,11430000,114697,坡道平面,24.98,1800000,,RPPNMLTKNHKGFBG58CB,浦田森陽,3F棟A11號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市公園東路103巷,49.54,住,,,1140518,土地1建物1車位1,二層,3,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.12,2,2,2,有,無,14250000,114074,坡道平面,24.98,1800000,,RPQNMLTKNHKGFBG68CB,浦田森陽,2F棟A3號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉長堤路32巷,43.19,,特定農業區,甲種建築用地,1140519,土地2建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.41,3,2,2,有,無,7500000,67929,,0.0,0,,RPQNMLKLNHKGFBG87CB,香榭麗舍NO.9,B棟6號,
