編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKLNHKGFBG87CB,新洲子段,40.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1896,持分移轉,01130000
RPQNMLKLNHKGFBG87CB,新洲子段,2.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,56,1,持分移轉,01130001
RPXNMLQKNHKGFBG09CB,新洲子段,38.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1797,持分移轉,01130000
RPPNMLQLNHKGFBG38CB,新洲子段,43.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2025,持分移轉,01130000
RPXNMLQKNHKGFBG09CB,新洲子段,2.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,56,1,持分移轉,01130001
RPPNMLQLNHKGFBG38CB,新洲子段,2.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,56,1,持分移轉,01130001
RPQNMLTKNHKGFBG68CB,新公園段,49.54,都市：住,100000,2651,持分移轉,00500000
RPQPMLRLNHKGFBG78CB,拔雅林一段,.51,都市：住,127940,7842,持分移轉,01560000
RPQPMLRLNHKGFBG78CB,拔雅林一段,41.36,都市：住,127940,7842,持分移轉,01570000
RPPNMLRKNHKGFBG38CB,壯東段,76.96,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4375,持分移轉,05510000
RPPNMLTKNHKGFBG58CB,新公園段,38.11,都市：住,100000,2039,持分移轉,00500000
RPPNMLRKNHKGFBG38CB,壯東段,8.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4545,持分移轉,05510002
RPPNMLRKNHKGFBG38CB,壯東段,3.49,非都市：特定農業區 ; 非都市編定：農牧用地,100000,179,持分移轉,05520000
RPPNMLRKNHKGFBG38CB,壯東段,64.28,非都市：特定農業區 ; 非都市編定：農牧用地,100000,9982,持分移轉,05490000
RPUNMLOKNHKGFBG58CB,壯東段,85.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4886,持分移轉,05510000
RPUNMLOKNHKGFBG58CB,壯東段,8.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4545,持分移轉,05510002
RPUNMLOKNHKGFBG58CB,壯東段,131.61,非都市：特定農業區 ; 非都市編定：農牧用地,100000,6749,持分移轉,05520000
RPUNMLOKNHKGFBG58CB,壯東段,4.71,非都市：特定農業區 ; 非都市編定：農牧用地,100000,731,持分移轉,05490000
RPTNMLOKNHKGFBG48CB,壯東段,75.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4308,持分移轉,05510000
RPTNMLOKNHKGFBG48CB,壯東段,8.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4545,持分移轉,05510002
RPTNMLOKNHKGFBG48CB,壯東段,131.61,非都市：特定農業區 ; 非都市編定：農牧用地,100000,6749,持分移轉,05520000
RPTNMLOKNHKGFBG48CB,壯東段,4.71,非都市：特定農業區 ; 非都市編定：農牧用地,100000,731,持分移轉,05490000
RPPNMLKLNHKGFAG77DB,新日興段,94.55,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120007
RPPNMLKLNHKGFAG77DB,新日興段,10.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120015
RPPNMLKLNHKGFAG77DB,新日興段,13.26,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120014
RPPNMLKLNHKGFAG77DB,新日興段,5.57,非都市：一般農業區 ; 非都市編定：甲種建築用地,23,1,持分移轉,04120049
RPVNMLTLNHKGFBG66CB,拔雅林一段,.38,都市：住,127940,5823,持分移轉,01560000
RPVNMLTLNHKGFBG66CB,拔雅林一段,30.71,都市：住,127940,5823,持分移轉,01570000
RPWNMLTLNHKGFBG76CB,中興段,24.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,124,持分移轉,08600000
RPWNMLTLNHKGFBG76CB,中興段,31.15,非都市：特定農業區 ; 非都市編定：農牧用地,10000,145,持分移轉,08620000
RPPNMLSLNHKGFAG48CB,補城一段,82.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04140017
RPPNMLOLNHKGFAG08CB,義成八段,42.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2923,持分移轉,08520000
RPPNMLOLNHKGFAG08CB,義成八段,6.60,都市：農,41,1,持分移轉,07620002
RPPNMLOLNHKGFAG08CB,義成八段,2.37,都市：農,41,1,持分移轉,08380000
RPPNMLMLNHKGFAG87CB,學新段,32.11,都市：農,10000,1158,持分移轉,03670000
RPPNMLMLNHKGFAG87CB,學新段,2.98,都市：農,150,1,持分移轉,03600000
RPPNMLRLNHKGFAG38CB,季寶段,65.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620065
RPPNMLRLNHKGFAG38CB,季寶段,13.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620064
RPPNMLRLNHKGFAG38CB,季寶段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06710002
