編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLSJQHKGFBH88DA,29,48.66,住家用,鋼筋混凝土造,85年4月16日,五層,四層 陽台,全筆移轉
RPPOMLSJQHKGFBH88DA,29,27.50,共有部份,鋼筋混凝土造,85年4月16日,五層,,持分移轉
RPPOMLSJQHKGFBH88DA,29,15.22,共有部份,鋼筋混凝土造,85年4月16日,五層,,持分移轉
RPQNMLPJRHKGFFH56EA,20,177.16,住宅、停車空間、梯間,鋼筋混凝土造,94年8月1日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPSPMLLKQHKGFAH58DA,,43.74,住家用,鋼筋混凝土造,114年5月28日,十層,五層 陽台,全筆移轉
RPSPMLLKQHKGFAH58DA,,71.39,本共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬管委會使用空間）、梯間、機房（水表室）、機械室、水箱等項。,鋼筋混凝土造,114年5月28日,十層,,持分移轉
RPPNMLSJRHKGFHH96EA,31,3.53,共有部份,鋼筋混凝土造,83年4月22日,五層,,持分移轉
RPPNMLSJRHKGFHH96EA,31,5.81,共有部份,鋼筋混凝土造,83年4月22日,五層,,持分移轉
RPPNMLSJRHKGFHH96EA,31,94.52,住家用,鋼筋混凝土造,83年4月22日,五層,一層 平台 花台,全筆移轉
RPQNMLRJQHKGFHH76DA,20,17.07,住家用,鋼筋混凝土造,94年12月24日,六層,二層 陽台 雨遮,全筆移轉
RPQNMLRJQHKGFHH76DA,20,11.83,共有部份,鋼筋混凝土造,94年12月24日,六層,,持分移轉
RPRQMLLKQHKGFBH68DA,31,3.11,共有部份,鋼筋混凝土造,83年6月20日,七層,,持分移轉
RPRQMLLKQHKGFBH68DA,31,3.48,共有部份,鋼筋混凝土造,83年6月20日,七層,,持分移轉
RPRQMLLKQHKGFBH68DA,31,16.99,住家用,鋼筋混凝土造,83年6月20日,七層,三層,全筆移轉
RPWQMLLKQHKGFBH56DA,1,48.94,集合住宅,鋼筋混凝土造,113年12月13日,十三層,三層 陽台,全筆移轉
RPWQMLLKQHKGFBH56DA,1,10.39,本共有部分之項目有：集合住宅（附屬梯間）、梯間、水箱及機房等４項,鋼筋混凝土造,113年12月13日,十三層,,持分移轉
RPWQMLLKQHKGFBH56DA,1,14.46,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、雨水機房、汙水機房、蓄水池、梯間、停車空間、台電配電場所、發電機室、電信室、垃圾處理室及集合住宅（附屬管委會使用空間、梯間）等１３項,鋼筋混凝土造,113年12月13日,十三層,,持分移轉
RPQOMLLKQHKGFCH48DA,32,120.17,住家用,鋼筋混凝土造,83年2月1日,七層,七層 陽台 花台,全筆移轉
RPQOMLLKQHKGFCH48DA,32,28.00,共有部份,鋼筋混凝土造,83年2月1日,七層,,持分移轉
RPPNMLSJQHKGFHH76DA,44,91.79,住家用,鋼筋混凝土造,70年4月20日,四層,二層,全筆移轉
RPQNMLMKQHKGFBH48EA,30,95.76,住家用,鋼筋混凝土造,84年5月18日,九層,三層 陽台 花台,全筆移轉
RPQNMLMKQHKGFBH48EA,30,1.64,共有部份,鋼筋混凝土造,84年5月18日,九層,,持分移轉
RPQNMLMKQHKGFBH48EA,30,4.18,共有部份,鋼筋混凝土造,84年5月18日,九層,,持分移轉
RPQNMLMKQHKGFBH48EA,30,19.77,共有部份,鋼筋混凝土造,84年5月18日,九層,,持分移轉
RPRNMLMKQHKGFAH48EA,31,128.49,住家用,鋼筋混凝土造,83年3月21日,七層,七層 陽台 露台,全筆移轉
RPRNMLMKQHKGFAH48EA,31,6.57,共有部份,鋼筋混凝土造,83年3月21日,七層,,持分移轉
RPXNMLQJQHKGFEH07DA,7,53.34,工業社區（社區住宅）,鋼筋混凝土造,107年7月26日,五層,一層,全筆移轉
RPXNMLQJQHKGFEH07DA,7,9.58,共有部份,鋼筋混凝土造,107年7月26日,五層,,持分移轉
RPXNMLQJQHKGFEH07DA,7,1.04,共有部份,鋼筋混凝土造,107年7月26日,五層,,持分移轉
RPPNMLMKQHKGFAH28EA,5,81.75,住家用,鋼筋混凝土造,109年12月1日,二十四層,二十三層 陽台,全筆移轉
RPPNMLMKQHKGFAH28EA,5,73.83,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、汙水機房、梯間、停車空間、防災中心、電信室、台電配電場所、發電機房、集合住宅（附屬管委會使用空間、車道、梯間）、集合住宅（附屬管委會使用空間、梯間）、機械室及水箱等項。,鋼筋混凝土造,109年12月1日,二十四層,,持分移轉
