鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中壢區,房地(土地+建物)+車位,桃園市中壢區和豐街、和美街附近豐興段312、313地號,28.01,住,,,1140511,土地2建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,186.52,1,2,2,有,無,27140000,166412,坡道平面,36.05,2100000,,RPUNMLMKNHKGFBH48CB,厚陞晴,A1棟1樓號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路、和豐街,33.6,住,,,1140511,土地7建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,220.54,3,2,2,有,無,27130000,151769,坡道平面,66.82,3800000,,RPQNMLNKNHKGFBH18CB,宜誠?左岸,B2棟10F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區忠愛段890地號,36.25,,特定農業區,甲種建築用地,1140511,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,171.35,3,2,2,有,無,11800000,79860,坡道平面,43.0,1550000,,RPUNMLNKNHKGFBH58CB,鈞HOUSE,B1棟7F號,
新屋區,房地(土地+建物)+車位,桃園市新屋區清文路436號附近,21.56,,特定農業區,甲種建築用地,1140511,土地6建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.23,2,2,2,有,無,7450000,77001,坡道平面,34.66,1400000,,RPQNMLNKNHKGFDH38CB,清華隆陞,A棟2-3F號,
八德區,房地(土地+建物)+車位,桃園市八德區中正路與興仁路交叉口附近,25.66,住,,,1140511,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.66,4,2,2,有,無,20630000,130776,坡道平面,24.82,1950000,,RPSNMLNKNHKGFFH78CB,佳昕.昕綻,D棟2-6F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,29.42,住,,,1140511,土地1建物1車位2,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.15,3,2,2,有,無,22180000,136467,坡道平面,54.0,3600000,,RPOOMLNKNHKGFHH78DB,長虹擎山,A棟6-7F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,29.42,住,,,1140511,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.9,3,2,2,有,無,21100000,141021,坡道平面,24.75,1900000,,RPPOMLNKNHKGFHH88DB,長虹擎山,A棟6-10F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,29.42,住,,,1140511,土地1建物1車位2,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.65,3,2,2,有,無,23040000,144620,坡道平面,49.5,3350000,,RPQOMLNKNHKGFHH98DB,長虹擎山,A棟6-14F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,20.25,住,,,1140511,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.49,2,2,2,有,無,16050000,149883,坡道平面,24.75,2000000,,RPROMLNKNHKGFHH09DB,長虹擎山,A棟5-13F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,20.25,住,,,1140511,土地1建物1車位2,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.24,2,2,2,有,無,17700000,152550,坡道平面,49.5,3400000,,RPSOMLNKNHKGFHH56DB,長虹擎山,A棟5-16F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區文化路25、27號,11.72,商,,,1140511,土地2建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.34,3,1,2,有,無,21870000,150357,坡道平面,36.52,2050000,,RPPNMLOKNHKGFBH18CB,柏宣天擎,A3-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區內厝十一路旁,25.33,,特定農業區,甲種建築用地,1140514,土地6建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.95,3,2,2,有,無,9650000,88080,坡道平面,28.42,1500000,,RPTNMLOKNHKGFBH58CB,中正崙美,C棟2-5F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,29.42,住,,,1140512,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.9,3,2,2,有,無,20600000,137349,坡道平面,24.75,1900000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOKNHKGFHH98DB,長虹擎山,A棟6-8F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路近慈文路口,23.82,住,,,1140511,土地1建物1車位1,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.72,3,2,2,有,無,29820000,183619,坡道平面,39.3,2200000,,RPUNMLPKNHKGFAH68CB,葛里法7,A棟1-19F號,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區梅龍三街130號旁,128.82,,山坡地保育區,丙種建築用地,1140511,土地7建物1車位2,全,4,透天厝,住家用,鋼筋混凝土造,,180.62,4,3,4,有,無,18050000,99934,一樓平面,0.0,1400000,車位編號5號為前院停車，無另外計價；車位編號43號為獨立購買車位，車位總價為140萬元整。,RPPNMLPKNHKGFCH38CB,幸福山丘2,B棟6號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國際路二段,15.37,住,,,1140512,土地1建物1車位1,三十二層,32,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,143.35,3,2,2,有,無,25160000,189566,坡道平面,23.55,2450000,,RPPOMLQKNHKGFAH38CB,?讀伊頓,A棟5-32F號,
龜山區,房地(土地+建物),桃園市龜山區牛角坡路A16-11F,7.96,商,,,1140511,土地2建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,74.43,0,0,2,有,無,10800000,145103,,0.0,0,一般事務所,RPTNMLQKNHKGFHH76CB,VILLA WOOD睦粼,A棟16號,
中壢區,房地(土地+建物)+車位,桃園市中壢區中豐北路一段與興北二路交叉口附近,21.51,住,,,1140514,土地2建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.69,3,2,2,有,無,20600000,143966,坡道平面,48.08,4100000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKNHKGFBH58CB,鴻廣川湛,B棟6-9F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金溪路與金溪路209巷交叉口附近,31.05,住,,,1140516,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.31,3,2,2,有,無,12710000,95242,坡道平面,25.98,1440000,,RPQNMLRKNHKGFDH78CB,櫻花馥,D棟2-3F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金溪路與金溪路209巷交叉口附近,25.32,住,,,1140517,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.56,2,2,2,有,無,10270000,90806,坡道平面,25.98,1500000,,RPTNMLRKNHKGFDH09CB,櫻花馥,F棟5-6F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平東路一段110號附近,31.8,,特定農業區,甲種建築用地,1140516,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.1,3,2,2,有,無,12200000,88797,坡道平面,33.29,1650000,,RPPNMLRKNHKGFGH98CB,旭晟晟鏡,A9棟3號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街94號對面,19.79,住,,,1140513,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,140.69,3,2,2,有,無,19280000,156589,坡道平面,29.06,1800000,,RPPNMLSKNHKGFAH48CB,謙里,A棟3-5F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,39.01,住,,,1140516,土地1建物1車位1,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.97,0,0,0,無,無,39990000,184194,坡道平面,34.72,2000000,內含一間標配衛浴毛胚屋；,RPRNMLTKNHKGFAH78CB,國泰GRAND PARK,B棟2-5F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街94號對面,18.38,住,,,1140519,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,133.01,2,2,2,有,無,18190000,155748,坡道平面,29.06,2000000,,RPSNMLTKNHKGFAH88CB,謙里,A棟2-3F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區福祥一街與忠孝路交叉口附近,27.24,住,,,1140511,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.41,3,2,2,有,無,12500000,86294,坡道平面,30.78,1400000,,RPQNMLTKNHKGFBH78CB,誠佳立葉,A1棟07F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南福街250號,25.78,住,,,1140517,土地9建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,162.84,3,2,2,有,無,24580000,174241,坡道平面,34.11,2150000,,RPPNMLTKNHKGFEH98CB,漫旅,A6棟9號,
大園區,房地(土地+建物),桃園市大園區華興路二段3號旁田心段815地號,23.97,,特定農業區,甲種建築用地,1140516,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.71,2,2,1,有,無,7200000,99024,,0.0,0,,RPQNMLTKNHKGFEH09CB,大立都悅航城,A3棟5號,
大園區,房地(土地+建物)+車位,桃園市大園區園航路與航科路交叉口附近,11.72,商,,,1140518,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.41,1,2,1,有,無,8880000,111937,坡道平面,28.48,1500000,,RPSNMLTKNHKGFEH66CB,逸偉A+,B棟11-03號,
大園區,房地(土地+建物),桃園市大園區客運一段122地號,19.86,住,,,1140511,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.06,2,2,1,有,無,7600000,91500,,0.0,0,,RPTNMLTKNHKGFEH76CB,協勝雙子城Ⅱ,B5棟06F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區莊敬三街上,23.78,住,,,1140513,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.9,2,2,1,有,無,7430000,88905,坡道平面,23.95,1300000,,RPRNMLKLNHKGFBH08CB,鼎騰雲耀,A4棟5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航南路四段170號旁,28.13,住,,,1140519,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,161.2,3,1,2,有,無,24760000,180831,坡道平面,35.06,1950000,,RPVNMLKLNHKGFBH48CB,宜誠泱,A3棟7F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航南路四段170號旁,28.13,住,,,1140520,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,161.2,3,1,2,有,無,25510000,185587,坡道平面,35.06,2100000,,RPWNMLKLNHKGFBH58CB,宜誠泱,A3棟9F號,
大園區,房地(土地+建物)+車位,桃園市大園區文興街與園六街口 148地號,31.44,住,,,1140511,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.12,3,2,2,有,無,12100000,95720,坡道平面,42.47,1700000,,RPPNMLKLNHKGFEH18CB,馥誠惟真,A棟1-4F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路與青溪二路交叉口,20.91,住,,,1140511,土地1建物1車位1,二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.31,3,2,2,有,無,21080000,155399,坡道平面,34.46,2300000,,RPPNMLKLNHKGFAH87DB,三本四季,A棟3-02F號,
大園區,房地(土地+建物)+車位,桃園市大園區柴梳崙路268巷,27.45,,特定農業區,甲種建築用地,1140513,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.54,3,2,2,有,無,9550000,81452,坡道平面,21.64,1250000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLNHKGFEH38DB,家綻 2,A3-1棟10樓號,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍門街與龍門街154巷4弄交叉口附近,25.58,住,,,1140521,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.33,3,2,2,有,無,14800000,106073,坡道平面,28.19,1420000,,RPPPMLLLNHKGFBH18CB,益展有福,A3棟13F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍門街與龍門街154巷4弄交叉口附近,22.96,住,,,1140521,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.28,3,2,2,有,無,13980000,111062,坡道平面,28.19,1420000,,RPQPMLLLNHKGFBH28CB,益展有福,C2棟13F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍門街與龍門街154巷4弄交叉口附近,30.9,住,,,1140521,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.01,4,2,2,有,無,16080000,87073,坡道平面,56.38,2790000,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLLLNHKGFBH38CB,益展有福,D3棟09F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍門街與龍門街154巷4弄交叉口附近,23.05,住,,,1140513,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.02,3,2,2,有,無,11770000,91364,坡道平面,28.19,1370000,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLLLNHKGFBH48CB,益展有福,C5棟15F號,
新屋區,房地(土地+建物)+車位,桃園市新屋區民族路六段與民族路六段579巷交叉口對面,24.55,住,,,1140520,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.88,3,2,2,有,無,13000000,95254,坡道平面,25.15,1500000,,RPRNMLLLNHKGFDH38CB,盛竑時代,D5棟14F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區和平路87巷3弄236號附近,28.0,,特定農業區,甲種建築用地,1140514,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.32,3,2,2,有,無,9110000,72753,坡道平面,33.72,1500000,,RPSNMLLLNHKGFDH48CB,宥騰青水漾,A3棟4號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區山鼻一路上,19.84,住,,,1140516,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.16,2,2,2,有,無,14600000,145751,坡道平面,31.31,1650000,,RPPNMLLLNHKGFEH28CB,宗佳致境,A2棟7號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區機捷路二段999巷,28.63,住,,,1140517,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.42,3,2,2,有,無,18150000,138541,坡道平面,35.57,2100000,,RPRNMLLLNHKGFEH48CB,明日幸,A2棟8F號,
大園區,房地(土地+建物),桃園市大園區柴梳崙路268巷,23.8,,特定農業區,甲種建築用地,1140516,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.65,2,2,1,有,無,5850000,78366,,0.0,0,,RPPNMLLLNHKGFEH38DB,家綻,B2棟4號,
中壢區,房地(土地+建物)+車位,桃園市中壢區大圳路一段231巷附近,14.23,住,,,1140520,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.32,2,2,1,有,無,13660000,153303,坡道平面,24.87,1940000,,RPPNMLMLNHKGFBH08CB,勤樸大道,B棟3-8號,
中壢區,房地(土地+建物)+車位,桃園市中壢區內厝十一路旁,22.08,,特定農業區,甲種建築用地,1140520,土地6建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.42,3,2,2,有,無,8370000,85875,坡道平面,28.42,1500000,,RPSNMLMLNHKGFBH38CB,中正崙美,F棟2-4F號,
中壢區,房地(土地+建物),桃園市中壢區內厝十一路旁,20.59,,特定農業區,甲種建築用地,1140513,土地6建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.28,2,2,2,有,無,6750000,90872,,0.0,0,,RPTNMLMLNHKGFBH48CB,中正崙美,A棟1-7F號,
中壢區,房地(土地+建物),桃園市中壢區內厝十一路旁,21.46,,特定農業區,甲種建築用地,1140519,土地6建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.61,2,2,2,有,無,6860000,88391,,0.0,0,,RPUNMLMLNHKGFBH58CB,中正崙美,A棟4-2F號,1140816全部解約
中壢區,房地(土地+建物)+車位,桃園市中壢區臨聖溪二路路口,20.54,,特定農業區,甲種建築用地,1140518,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.06,2,2,2,有,無,9960000,105289,坡道平面,25.76,1400000,,RPWNMLMLNHKGFBH78CB,新潤潤青,A棟3-6F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區臨聖溪二路路口,27.51,,特定農業區,甲種建築用地,1140519,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.23,3,2,2,有,無,12850000,103715,坡道平面,25.76,1600000,,RPXNMLMLNHKGFBH88CB,新潤潤青,B棟8-10F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段正光路路口,24.34,住,,,1140515,土地2建物1車位2,二十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,225.84,0,0,2,有,無,35200000,168103,坡道平面,40.24,4000000,,RPPNMLNLNHKGFAH08CB,璟都中路大苑,B棟5-27F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國二路及水岸一街交叉口,22.2,住,,,1140519,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.68,3,2,2,有,無,24000000,149274,坡道平面,26.97,2100000,,RPQNMLNLNHKGFAH18CB,京澄為和,A棟1-05F號,
桃園區,房地(土地+建物),桃園市桃園區水汴一路131號旁,8.14,商,,,1140517,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.05,1,2,1,有,無,10050000,147686,,0.0,0,,RPRNMLNLNHKGFAH28CB,竹城旭川,A7-11F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區富觀街附近,24.75,住,,,1140519,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.62,2,1,2,有,無,7560000,91527,一樓平面,14.41,1500000,,RPRNMLNLNHKGFBH38CB,璞心苑2,A2-2F號,
觀音區,房地(土地+建物),桃園市觀音區聖心一街與聖心二街交叉口,30.97,住,,,1140523,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.19,2,2,2,有,無,6800000,89251,,0.0,0,,RPSNMLNLNHKGFBH48CB,程翔賦,A棟2F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區興中街100巷10號旁,11.01,商,,,1140517,土地1建物1車位1,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.11,2,2,1,有,無,13550000,127449,坡道平面,30.25,1970000,,RPPNMLNLNHKGFEH48CB,皇普MOMA-琢慕,C棟6-9號,
龜山區,房地(土地+建物),桃園市龜山區桃園市龜山區明成街98號隔壁,30.06,住,,,1140514,土地3建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.76,2,2,2,有,無,10500000,110806,,0.0,0,,RPQNMLNLNHKGFHH88CB,連莉.富玉 2,A棟A-4F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路與牛角坡路交叉口,16.3,住,,,1140520,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.41,3,2,2,有,無,23020000,162456,坡道平面,30.56,2250000,,RPRNMLNLNHKGFHH98CB,捷市閱,A6棟06F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路與牛角坡路交叉口,16.3,住,,,1140515,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.41,3,2,2,有,無,23220000,162456,坡道平面,30.56,2450000,,RPSNMLNLNHKGFHH09CB,捷市閱,A6棟14F號,
龜山區,房地(土地+建物),桃園市龜山區樂善二路與牛角坡路交叉口,10.95,住,,,1140517,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.09,2,2,2,有,無,14800000,171913,,0.0,0,,RPTNMLNLNHKGFHH56CB,捷市閱,B5棟06F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路與牛角坡路交叉口,11.42,住,,,1140515,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.91,2,2,2,有,無,17050000,169558,坡道平面,30.56,1900000,,RPUNMLNLNHKGFHH66CB,捷市閱,B15棟10F號,
