鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中壢區,租賃房屋,桃園市中壢區中山路６３號十二樓之１５,0.0,,,,1140511,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,25.860000000000003,1,1,1,有,無,有,8000,309,,0.0,0,社會住宅  水電費由承租人負擔,RPXOMLMKNHKGFBH98CC,獨立套房,無,1140512~1150511,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區振興街１４０號二樓之１６,0.0,,,,1140512,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780520,28.730000000000004,1,1,1,有,有,有,4900,171,,0.0,0,社會住宅 水電費 管理費400元由承租人負擔,RPUQMLMKNHKGFBH88CC,獨立套房,有,1140601~1150531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
八德區,租賃房屋,桃園市八德區豐德路２０２號十三樓,0.0,,,,1140512,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030819,143.73,3,2,2,有,有,有,20600,143,,0.0,0,社會住宅  管理費1900  水電費 由承租人負擔未租賃車位，建物登記含有車位面積；續租案件；,RPUPMLMKNHKGFFH56CC,整棟(戶)出租,有,1140515~1150514,有,冷氣、熱水器,社會住宅代管
平鎮區,租賃房屋,桃園市平鎮區廣泰路２１０巷２５弄２２號,0.0,,,,1140511,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0840713,91.05000000000001,3,1,2,有,無,有,16500,181,,0.0,0,多人共同承租2；,RPQOMLMKNHKGFGH78CC,整棟(戶)出租,無,1140525~1150524,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
龜山區,租賃房屋,桃園市龜山區文化三路１之２７號,0.0,,,,1140511,土地0建物1車位0,見其他登記事項,10,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1081007,147.83,0,0,0,無,有,無,46000,311,,0.0,0,,RPOOMLMKNHKGFHH68CC,,有,1140611~1170610,有,,
桃園區,租賃房屋+車位,桃園市桃園區國強一街２０２號８樓,0.0,,,,1140512,土地0建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971020,139.61,2,1,1,有,有,有,19600,161,坡道平面,36.45,3000,機車位一個每月管理費1400由承租人負擔出租人繳納,RPUNMLNKNHKGFAH58CC,整棟(戶)出租,有,1140512~1150511,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區中正五街２６７之２號,0.0,,,,1140512,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690317,76.68,3,2,1,有,無,有,16000,209,,0.0,0,水電費 由承租人負擔續租案件；,RPSPMLNKNHKGFAH58CC,整棟(戶)出租,無,1140515~1150514,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區民光路５０巷９號,0.0,,,,1140512,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0581218,106.6,5,2,3,有,無,有,20000,188,,0.0,0,瓦斯費 水電費 由承租人負擔續租案件；,RPVPMLNKNHKGFAH88CC,整棟(戶)出租,無,1140520~1150519,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區紹興街１６號五樓之１,0.0,,,,1140512,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770708,46.55,1,1,1,有,無,有,9000,193,,0.0,0,瓦斯費 水電費 由承租人負擔,RPPQMLNKNHKGFAH38CC,獨立套房,無,1140515~1150514,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
