編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLNKNHKGFDH98CC,2,251.89,住宅、住宅（附屬停車空間）、梯間、儲藏室,鋼筋混凝土造,112年9月22日,五層,,
RPTNMLNKNHKGFDH78CC,28,68.43,住家用,鋼筋混凝土造,86年9月5日,五層,,
RPVNMLNKNHKGFDH98CC,2,.63,本共有部分之項目有：管理室等１項,鋼筋混凝土造,112年9月22日,一層,,
RPTNMLNKNHKGFDH78CC,28,6.79,樓梯間、水箱,鋼筋混凝土造,86年9月5日,五層,,
RPTNMLNKNHKGFDH78CC,28,13.00,停車空間,鋼筋混凝土造,86年9月5日,五層,,
RPUNMLNKNHKGFDH88CC,5,87.25,集合住宅,鋼筋混凝土造,109年10月15日,十五層,,
RPTNMLNKNHKGFDH78CC,28,17.84,停車空間,鋼筋混凝土造,86年9月5日,五層,,
RPUNMLNKNHKGFDH88CC,5,65.93,本共有部分之項目有防空避難室兼停車空間、發電機室、汙水機房、雨水機房、消防泵浦室、停車空間、蓄水池、機房、電信室、台電配電場所、垃圾冷藏室、集合住宅（附屬管委會使用空間）、梯間、水箱、機械室等１５項,鋼筋混凝土造,109年10月15日,十五層,,
RPPOMLNKNHKGFDH48CC,1,65.32,集合住宅,鋼筋混凝土造,113年9月3日,十四層,,
RPPOMLNKNHKGFDH48CC,1,12.42,本共有部分之項目有：集合住宅（附屬梯間）、梯間、機械室、水箱等四項,鋼筋混凝土造,113年9月3日,十四層,,
RPWNMLNKNHKGFDH09CC,20,17.98,住家用,鋼筋混凝土造,94年10月21日,四層,,
RPPOMLNKNHKGFDH48CC,1,48.06,本共有部分之項目有：防空避難室兼停車空間、停車空間、水箱、消防泵浦室、雨汙水機房、梯間、發電機房、機房、台電配電場所、電信室、垃圾儲藏室、集合住宅（附屬管委會使用空間、梯間、車道）等十二項,鋼筋混凝土造,113年9月3日,十四層,,
RPWNMLNKNHKGFDH09CC,20,5.15,集合住宅、梯間,鋼筋混凝土造,94年10月21日,四層,,
RPROMLNKNHKGFDH68CC,29,92.86,住家用,鋼筋混凝土造,84年11月17日,七層,,
RPROMLNKNHKGFDH68CC,29,13.98,停車場兼防空避難室,鋼筋混凝土造,84年11月17日,七層,,
