鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博愛路二段１７０號１１樓之５,16.05,,,,1140805,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,206.49,3,1,2,有,有,8200000,39711,坡道平面,39.5,0,,RPQNMLLKQHKGFAI28DA,103.58,0.0,16.93,有,001
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街１２巷２１號２樓１,16.59,住,,,1140804,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,91.76,2,2,1,有,有,3450000,37598,,0.0,0,,RPROMLQJQHKGFAI88DA,67.8,11.35,0.0,有,002
嘉義市,房地(土地+建物),嘉義市嘉義市博東路１５３號８樓１,14.59,住,,,1140801,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.61000000000001,3,2,2,有,有,6450000,53925,,0.0,0,,RPVNMLPKQHKGFAI56DA,74.21,0.0,12.05,有,003
嘉義市,土地,溪東段930-2地號,8.46,住,,,1140808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,120000,14184,,0.0,0,,RPQNMLPKQHKGFAI68DA,0.0,0.0,0.0,無,004
嘉義市,土地,新興段930地號,59.69,住,,,1140804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3720000,62322,,0.0,0,,RPQNMLSKQHKGFAI98DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路２０１巷７號,75.55,住,,,1140802,土地1建物1車位0,全,一層,透天厝,住家用,木造,0600606,46.44,3,2,1,有,無,3980000,85702,,0.0,0,,RPQNMLTKQHKGFAI09DA,46.44,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路３７７號五樓１,23.45,都市：其他:道路用地,,,1140804,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801002,130.06,3,2,1,有,有,6300000,48439,,0.0,0,,RPPOMLPJQHKGFAI58DA,104.44,0.0,7.76,有,
嘉義市,房地(土地+建物),嘉義市嘉義市育人路２５８巷７４弄５號,86.84,住,,,1140802,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0871121,158.39,4,2,3,有,無,10500000,66292,,0.0,0,頂樓加蓋；其他增建；,RPSNMLTKQHKGFAI66DA,140.27,1.73,16.39,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市保建街３６之５號２樓３,49.2,住,,,1140807,土地3建物2車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820623,273.25,6,2,4,有,有,10300000,37694,其他,0.0,0,嘉義市東區保建街36-5號2樓3土地價款新台幣325萬元建物價款新台幣140萬元總價款合計新台幣465萬元整嘉義市東區保建街36-5號3樓3土地價款新台幣395萬元建物價款新台幣170萬元總價款含編號:A83號平面車位合計新台幣565萬元整,RPRNMLNLQHKGFAI68DA,195.44,0.0,16.12,有,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路４２號四樓之２５,5.26,住,,,1140817,土地2建物1車位0,四層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0970303,14.02,1,1,1,有,有,1000000,71327,,0.0,0,陽台外推；,RPPNMLPLQHKGFAI68DA,8.36,0.0,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市大統路２２號,124.23,住,,,1140812,土地5建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1140429,257.87,5,3,5,有,無,26500000,102765,,0.0,0,,RPPOMLPLQHKGFAI78DA,238.17,0.0,19.7,有,
嘉義市,土地,荖藤段258-2地號,1431.0,農,,,1140819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3240000,2264,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPUNMLPLQHKGFAI56DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路１１２號,82.0,住,,,1140816,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土構造,1010706,214.76,5,4,4,有,無,15000000,69845,,0.0,0,,RPXOMLQLQHKGFAI07DA,194.59,0.0,20.17,無,005
嘉義市,房地(土地+建物),嘉義市嘉義市永福三街２５號六樓一,18.75,住,,,1140801,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800718,87.97,3,1,1,有,有,2400000,27282,,0.0,0,,RPOPMLQLQHKGFAI88DA,69.02,0.0,2.76,有,
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾路２９３之２３號,109.23,住,,,1140812,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951103,209.84,4,3,5,有,無,7800000,37171,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSLQHKGFAI56EA,196.43,0.0,13.41,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路１３０號七樓之１,31.3,住,,,1140812,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931101,188.65,3,3,2,有,有,11800000,62550,坡道平面,0.0,0,無建物產權.有固定位置使用.有車位編號B（36編號）,RPRNMLSLQHKGFAI66EA,102.54,0.0,12.86,有,006
嘉義市,房地(土地+建物),嘉義市嘉義市康樂街１２１之１號４樓８,6.4,商,,,1140801,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801227,39.43,1,1,1,有,有,2300000,58331,,0.0,0,,RPUNMLLJQHKGFAI58DA,30.24,0.0,2.32,有,
嘉義市,土地,台斗坑段312-14地號,19.0,住,,,1140809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,410000,21579,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLMLQHKGFAI09DA,0.0,0.0,0.0,無,
