編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLPLQHKGFAI56DA,荖藤段,1431.00,都市：其他:農業區,1,1,全筆移轉,02580002
RPPOMLPJQHKGFAI58DA,新興段,.39,都市：其他:道路用地,1000,63,持分移轉,02240000
RPPOMLPLQHKGFAI78DA,劉厝段,.16,都市：其他:住宅區,74,1,持分移轉,00180006
RPPOMLPLQHKGFAI78DA,劉厝段,93.00,都市：其他:住宅區,1,1,全筆移轉,00180140
RPPOMLPLQHKGFAI78DA,劉厝段,7.00,都市：其他:住宅區,1,1,全筆移轉,00180148
RPPOMLPLQHKGFAI78DA,劉厝段,8.28,都市：其他:道路用地,100,4,持分移轉,00230002
RPPOMLPLQHKGFAI78DA,劉厝段,15.79,都市：其他:道路用地,115,2,持分移轉,00230007
RPPOMLPJQHKGFAI58DA,新興段,23.05,都市：其他:住宅區,1000,63,持分移轉,02250000
RPPNMLSLQHKGFAI09EA,崇文段,24.41,都市：其他:住宅區,5,1,持分移轉,01610000
RPPNMLPLQHKGFAI68DA,短竹段,.31,都市：其他:住宅區,100000,505,持分移轉,16680000
RPPNMLPLQHKGFAI68DA,短竹段,4.94,都市：其他:住宅區,100000,505,持分移轉,16690000
RPPNMLTLQHKGFAI56EA,西門段四小段,109.00,都市：其他:商業區,1,1,全筆移轉,00940000
RPQNMLTLQHKGFAI66EA,盧厝段,57.00,都市：其他:住宅區,1,1,全筆移轉,06510017
RPQNMLSLQHKGFAI56EA,北園段,.23,都市：其他:住宅區,26,1,持分移轉,15550004
RPQNMLSLQHKGFAI56EA,北園段,109.00,都市：其他:住宅區,1,1,全筆移轉,15550006
RPRNMLSLQHKGFAI66EA,車店段,26.98,都市：其他:住宅區,100000,857,持分移轉,00880000
RPRNMLSLQHKGFAI66EA,新白川段,4.33,都市：其他:住宅區,100000,857,持分移轉,07650000
RPQNMLMJRHKGFAI48EA,中山段三小段,5.71,都市：其他:住宅區,2000,17,持分移轉,00380051
RPXNMLPLQHKGFAI86DA,竹圍子段三小段,83.00,都市：其他:住宅區,1,1,全筆移轉,02050014
RPQNMLPKQHKGFAI68DA,溪東段,8.46,都市：其他:住宅區,471485,80353,持分移轉,09300002
RPQNMLTKQHKGFAI09DA,草地尾段,75.55,都市：其他:住宅區,1,1,全筆移轉,01220000
RPQNMLLKQHKGFAI28DA,竹圍子段,16.05,都市：其他:市場用地,10000,92,持分移轉,01320036
RPPNMLMJRHKGFAI28DA,車店段車店小段,103.00,都市：其他:住宅區,1,1,全筆移轉,02420004
RPQNMLLJRHKGFAI28DA,竹圍子段,9.71,都市：其他:住宅區,7,1,持分移轉,02420015
RPQNMLLJRHKGFAI28DA,竹圍子段,39.00,都市：其他:住宅區,1,1,全筆移轉,02420017
RPPNMLLJRHKGFAI18DA,劉厝段,.16,都市：其他:住宅區,74,1,持分移轉,00180006
RPPNMLLJRHKGFAI18DA,劉厝段,15.79,都市：其他:道路用地,115,2,持分移轉,00230007
RPPNMLLJRHKGFAI18DA,劉厝段,100.00,都市：其他:住宅區,1,1,全筆移轉,00230028
RPUNMLLJQHKGFAI58DA,新富段三小段,3.10,都市：其他:住宅區,2720,31,持分移轉,00440001
RPUNMLLJQHKGFAI58DA,新富段三小段,3.30,都市：其他:商業區,3020,33,持分移轉,00690001
RPQNMLKMQHKGFAI38DA,新太平段,11.11,都市：其他:住宅區,1074,16,持分移轉,06360000
RPPNMLQLQHKGFAI78DA,短竹段,.32,都市：其他:住宅區,100000,519,持分移轉,16680000
RPQNMLKMQHKGFAI38DA,盧厝段,4.66,都市：其他:住宅區,1074,16,持分移轉,09650000
RPPNMLQLQHKGFAI78DA,短竹段,5.08,都市：其他:住宅區,100000,519,持分移轉,16690000
RPUNMLMJRHKGFAI78DA,西門段四小段,7.78,都市：其他:商業區,10000,78,持分移轉,00800000
RPWNMLTJRHKGFAI07DA,湖子內段興安小段,98.04,都市：其他:第一種住宅區,1,1,全筆移轉,00250000
RPWNMLTJRHKGFAI07DA,湖子內段興安小段,88.51,都市：其他:住宅區,1,1,全筆移轉,00250001
RPWNMLTJRHKGFAI07DA,湖子內段興安小段,98.18,都市：其他:住宅區,1,1,全筆移轉,00250002
RPPNMLPJRHKGFAI68EA,竹圍子段,76.00,都市：其他:住宅區,1,1,全筆移轉,01770020
RPQNMLSKQHKGFAI98DA,新興段,11.58,都市：其他:住宅區,1,1,全筆移轉,09290000
RPQNMLSKQHKGFAI98DA,新興段,48.11,都市：其他:住宅區,1,1,全筆移轉,09300000
RPVNMLPKQHKGFAI56DA,新太平段,14.59,都市：其他:住宅區,10000,18,持分移轉,05410000
RPPNMLLKPHKGFAI08DA,彌陀段,31.09,都市：其他:住宅區,1000000,15407,持分移轉,01430000
RPROMLQLQHKGFAI09DA,車店段車店小段,7.97,都市：其他:住宅區,18600,797,持分移轉,03890002
RPVNMLQKPHKGFAI56DA,竹圍子段三小段,12.12,都市：其他:住宅區,10000,102,持分移轉,01620000
RPOPMLQLQHKGFAI88DA,港子坪段港坪小段,18.75,都市：其他:住宅區,10000,433,持分移轉,01850000
RPXOMLQLQHKGFAI07DA,彌陀段,82.00,都市：其他:住宅區,1,1,全筆移轉,12810082
RPTNMLNJPHKGFAI58DA,車店段,25.33,都市：其他:住宅區,100000,889,持分移轉,00860013
RPTNMLNJPHKGFAI58DA,新白川段,4.27,都市：其他:住宅區,100000,889,持分移轉,07620000
RPUNMLTJRHKGFAI86DA,盧厝段,20.59,都市：其他:住宅區,100000,1011,持分移轉,02550000
RPWNMLNJRHKGFAI09DA,湖子內段湖美小段,39.52,都市：其他:第一種住宅區,10000,548,持分移轉,00340000
RPSNMLSJRHKGFAI56DA,何庄段,84.58,都市：其他:住宅區,1,1,全筆移轉,05560002
RPQNMLPJRHKGFAI68DA,頂寮段,9.38,都市：其他:住宅區,1,1,全筆移轉,12080000
RPPNMLOJRHKGFAI48DA,劉厝段,36.03,都市：其他:住宅區,20000,406,持分移轉,00370109
RPROMLQJQHKGFAI88DA,台斗坑段,16.59,都市：其他:住宅區,10000,29,持分移轉,03240003
RPOOMLQKPHKGFAI58DA,竹村段,80.20,都市：其他:住宅區,1,1,全筆移轉,04220000
RPOOMLQKPHKGFAI58DA,竹村段,18.47,都市：其他:住宅區,1,1,全筆移轉,04230000
RPOOMLQKPHKGFAI58DA,竹村段,7.10,都市：其他:住宅區,1,1,全筆移轉,04230001
RPOOMLQKPHKGFAI58DA,竹村段,51.18,都市：其他:住宅區,1,1,全筆移轉,05400000
RPOOMLQKPHKGFAI58DA,竹村段,5.14,都市：其他:住宅區,1,1,全筆移轉,05400002
RPRNMLNLQHKGFAI68DA,同興段,49.09,都市：其他:住宅區,10000,36,持分移轉,14350000
RPRNMLNLQHKGFAI68DA,同興段,.07,,10000,36,持分移轉,14350001
RPRNMLNLQHKGFAI68DA,同興段,.05,,10000,36,持分移轉,14350002
RPQNMLNLPHKGFAI48DA,竹圍子段,9.14,都市：其他:住宅區,20570,11756,持分移轉,01250112
RPQOMLMLPHKGFAI48DA,劉厝段劉厝小段,20.60,都市：其他:商業區,10000,54,持分移轉,03120001
RPRNMLSJRHKGFAI09DA,新富段三小段,2.20,都市：其他:住宅區,2720,22,持分移轉,00440001
RPRNMLSJRHKGFAI09DA,新富段三小段,2.40,都市：其他:商業區,3020,24,持分移轉,00690001
RPQOMLSLPHKGFAI09DA,劉厝段,.16,都市：其他:住宅區,740,10,持分移轉,00180006
RPQNMLQLPHKGFAI78DA,何庄段,252.73,,1,1,全筆移轉,06490010
RPQOMLSLPHKGFAI09DA,劉厝段,15.79,都市：其他:道路用地,1150,20,持分移轉,00230007
RPQOMLSLPHKGFAI09DA,劉厝段,90.00,都市：其他:住宅區,1,1,全筆移轉,00230019
RPRNMLLJQHKGFAI28DA,車店段車店小段,32.21,都市：其他:住宅區,87100,3221,持分移轉,08750000
RPQNMLLLPHKGFAI28DA,車店段,8.13,都市：其他:住宅區,1000,8,持分移轉,01440000
RPTNMLSKPHKGFAI56DA,中山段六小段,103.50,都市：其他:住宅區,4,3,持分移轉,00430002
