鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康五街,41.25,住,,,1140514,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,116.35,2,1,2,有,無,9930000,85346,一樓平面,0.0,0,交易內含約定專用車位一位,RPSNMLPKNHKGFAI58CB,藏馥,3C號,
嘉義市,房地(土地+建物),嘉義市嘉義市健康一街,114.98,其他,,,1140511,土地3建物1車位0,全部,2,店面(店鋪),住商用,鋼筋混凝土造,,175.1,5,2,5,有,無,17610000,100571,,0.0,0,,RPPNMLRKNHKGFAI48CB,天晴21,A棟3號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市自由路,43.94,住,,,1140515,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,202.69,3,2,2,有,無,23700000,124053,坡道平面,25.75,1750000,,RPQNMLTKNHKGFAI78CB,漢昇森之丘,A棟6A1號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市自由路,43.94,住,,,1140515,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,202.69,3,2,2,有,無,23980000,125636,坡道平面,25.75,1750000,,RPSNMLTKNHKGFAI98CB,漢昇森之丘,A棟7A2號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市西區自由路,22.86,住,,,1140516,土地3建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.97,2,2,2,有,無,16830000,138675,坡道平面,38.39,2050000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLNHKGFAI97CB,承億隨處樂,A1棟13號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市西區自由路,22.87,住,,,1140517,土地3建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.98,2,2,2,有,無,15100000,124320,坡道平面,38.4,1850000,原契約書土地總持分面積22.86平方公尺，因系統加總問題，故有差額0.01平方公尺。,RPQNMLLLNHKGFAI08CB,承億隨處樂,A1棟2號,
嘉義市,房地(土地+建物),嘉義市嘉義市湖子內段湖美小段531-18地號,99.78,其他,,,1140514,土地3建物1車位0,全,3,店面(店鋪),商業用,鋼筋混凝土造,,162.25,4,1,5,有,無,14850000,91525,,0.0,0,,RPRNMLLLNHKGFAI18CB,湖美鉅,C棟3號,
嘉義市,房地(土地+建物),嘉義市嘉義市湖子內段湖美小段531-19地號,91.85,其他,,,1140516,土地3建物1車位0,全,3,店面(店鋪),商業用,鋼筋混凝土造,,153.31,4,1,5,有,無,13850000,90340,,0.0,0,,RPPNMLMLNHKGFAI08CB,湖美鉅,C棟5號,
嘉義市,房地(土地+建物),嘉義市嘉義市湖子內段湖美小段531-22地號,97.68,其他,,,1140520,土地3建物1車位0,全,3,店面(店鋪),商業用,鋼筋混凝土造,,161.38,4,1,5,有,無,14580000,90346,,0.0,0,,RPQNMLMLNHKGFAI18CB,湖美鉅,C棟8號,
