編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLNKNHKGFAI88CC,白川段,124.00,都市：住,,,,00850024
RPQNMLMJOHKGFAI18CC,湖子內段湖美小段,62.86,都市：其他:第一種休閒專區,,,,05070047
RPVOMLNJOHKGFAI88CC,湖子內段湖美小段,31.43,都市：其他:第一種休閒專區,,,,05070047
RPPNMLRKOHKGFAI68CC,北園段,3502.00,都市：農,,,,06150001
RPOOMLKMOHKGFAI18CC,車店段車店小段,462.00,都市：住,,,,07170000
RPWNMLKMOHKGFAI88CC,新興段,546.01,都市：住,,,,02170000
RPWNMLKMOHKGFAI88CC,新興段,5.96,都市：住,,,,02160000
RPPNMLRKPHKGFAI78CC,彌陀段,63.00,都市：住,,,,06210000
RPVOMLMKQHKGFAI09CC,榮段六小段,131.00,都市：商,,,,00060045
RPVNMLTLPHKGFAI07CC,湖子內段湖美小段,168.00,都市：其他:(空白),,,,04610009
