編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTLNHKGFCJ09CB,坡道平面,1200000,25.62,地下一樓
RPQNMLOLNHKGFCJ68CB,坡道平面,1600000,20.97,地下二樓
RPPNMLNLNHKGFDJ58CB,一樓平面,0,,一樓
RPUNMLNLNHKGFDJ09CB,坡道平面,1700000,27.64,地下一樓
RPPNMLPLNHKGFDJ78CB,坡道平面,1700000,29.35,地下一樓
RPSNMLNLNHKGFDJ88CB,坡道平面,1600000,27.64,地下二樓
RPQNMLSLNHKGFDJ56CB,坡道平面,1500000,23.78,地下二樓
RPVNMLNLNHKGFDJ56CB,坡道平面,1650000,28.89,地下二樓
RPPNMLSLNHKGFDJ09CB,坡道平面,1650000,23.78,地下一樓
RPPNMLSLNHKGFDJ09CB,坡道平面,1500000,23.78,地下二樓
RPTNMLNLNHKGFDJ98CB,坡道平面,1600000,27.64,地下二樓
RPRNMLRLNHKGFDJ56CB,坡道機械,700000,19.83,地下二樓
RPPNMLQJOHKGFCJ68CB,坡道平面,1650000,29.28,地下三樓
RPPNMLQJOHKGFCJ68CB,坡道平面,1500000,29.28,地下三樓
RPQNMLQJOHKGFCJ78CB,坡道平面,1500000,29.28,地下三樓
RPQNMLQJOHKGFCJ78CB,坡道平面,1650000,29.28,地下三樓
RPQNMLOJOHKGFDJ68CB,坡道平面,2000000,29.80,地下一樓
RPPNMLPJOHKGFDJ68CB,坡道平面,1550000,29.80,地下二樓
RPQNMLPJOHKGFDJ78CB,坡道平面,2000000,29.80,地下一樓
RPQNMLPJOHKGFDJ78CB,坡道平面,2150000,29.80,地下一樓
RPPNMLMJOHKGFDJ48DB,坡道平面,1400000,29.49,地下二樓
RPPNMLMJOHKGFDJ48DB,坡道平面,1400000,28.01,地下二樓
RPPNMLKLNHKGFDJ28CB,坡道平面,1400000,31.45,地下二樓
RPQNMLTLNHKGFBJ09CB,坡道平面,1800000,26.46,地下一樓
RPQNMLKLNHKGFBJ18CB,坡道平面,2700000,39.67,地下二樓
RPSNMLQJOHKGFCJ98CB,坡道平面,1950000,29.28,地下一樓
RPSNMLQJOHKGFCJ98CB,坡道平面,1950000,29.28,地下一樓
RPPNMLOLNHKGFBJ48CB,坡道平面,1600000,26.19,地下一樓
RPWNMLSJOHKGFCJ96CB,坡道平面,2000000,29.76,地下四樓
RPVNMLSJOHKGFCJ86CB,坡道平面,2550000,29.76,地下二樓
RPTNMLSJOHKGFCJ66CB,坡道平面,2650000,29.76,地下二樓
RPTNMLSJOHKGFCJ66CB,坡道平面,2050000,29.76,地下二樓
RPQNMLRLNHKGFDJ09CB,坡道機械,700000,19.83,地下二樓
RPPNMLSJOHKGFCJ88CB,坡道平面,1650000,20.97,地下二樓
RPRNMLKKOHKGFDJ48CB,坡道平面,1500000,23.78,地下二樓
RPRNMLSJOHKGFCJ09CB,坡道平面,1550000,20.97,地下三樓
