鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋,新竹縣竹北市嘉豐七街１５３號３樓,0.0,,,,1140512,土地0建物0車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960712,23.14,12,0,12,有,無,有,10500,454,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPPNMLOKNHKGFBJ48CC,分租套房,無,1140520~1150519,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市復興七路１號,0.0,,,,1140512,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,26.0,8,0,7,有,無,有,13000,500,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPQOMLOKNHKGFBJ68CC,分租套房,無,1140520~1150519,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市縣政二路５３２號,42.44,住,,,1140514,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950628,244.5,0,0,0,無,有,無,100000,409,坡道平面,24.75,0,租金總額含稅；,RPVNMLPKNHKGFBJ56CC,,有,1140701~1170630,有,,
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１７８巷３號,0.0,,,,1140513,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,19.99,9,0,10,有,無,有,6000,300,,0.0,0,續租案件；,RPPNMLPKNHKGFDJ78CC,分租套房,無,1140524~1141123,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
竹東鎮,租賃房屋+車位,新竹縣竹東鎮旭光一路２０３號８樓,0.0,,,,1140514,土地0建物1車位1,八層,14,辦公商業大樓,辦公室,鋼筋混凝土造,1130729,161.92000000000002,3,2,2,有,有,無,24000,148,坡道平面,34.57,0,,RPQNMLQKNHKGFCJ88CC,分層出租,有,1140601~1150530,有,冷氣、熱水器、瓦斯或天然氣,
竹北市,租賃房屋+車位,新竹縣竹北市隘口三街２２０號七樓之一,0.0,,,,1140512,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991214,126.66,2,2,1,有,有,有,23367,184,坡道平面,29.8,0,,RPPNMLTKNHKGFBJ98CC,整棟(戶)出租,有,1140515~1160514,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、有線電視,
新豐鄉,租賃房屋,新竹縣新豐鄉坑子口４９６之２號,0.0,,,,1140512,土地0建物1車位0,見其他登記事項,2,農舍,農舍,鋼筋混凝土加強磚造,,218.55,3,2,1,有,無,有,11000,,,0.0,0,續租案件；,RPQNMLTKNHKGFDJ66CC,整棟(戶)出租,無,1140520~1150519,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市台元街３８號４F之１０,0.0,,,,1140514,土地0建物2車位0,四層,8,廠辦,工業用,鋼筋混凝土造,0960607,554.12,0,0,0,無,有,無,165000,298,,0.0,0,租金總額含稅；其他1140601至1140630止共1個月為免租期。1170701至1190630每月1租金調整為168300元；含有多個門牌且未個別計算租金台元街38號4F之11；,RPPNMLKLNHKGFBJ18CC,,有,1140601~1190630,有,,
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1140520,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,7500,325,,0.0,0,租金總額含水費；網路費；,RPWNMLKLNHKGFBJ88CC,分租套房,無,1140601~1150531,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
