編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTKNHKGFBJ98CC,坡道平面,0,29.80,地下二樓
RPPNMLNLNHKGFBJ48CC,坡道平面,0,29.81,地下四樓
RPQNMLMLNHKGFBJ48CC,坡道平面,0,,一樓
RPVNMLPKNHKGFBJ56CC,坡道平面,0,24.75,地下一樓
RPQNMLQKNHKGFCJ88CC,坡道平面,0,34.57,地下二樓
RPQNMLRLNHKGFBJ98CC,坡道平面,0,,地下一樓
RPSNMLRLNHKGFBJ56CC,坡道平面,0,33.17,地下五樓含以下
RPPNMLKMNHKGFBJ28CC,其他,0,,一樓
RPPNMLMLNHKGFDJ58CC,升降機械,0,5.08,一樓
RPUNMLNLNHKGFDJ56CC,坡道平面,0,24.82,地下二樓
RPRNMLNLNHKGFDJ88CC,坡道平面,0,24.90,地下一樓
RPSNMLNLNHKGFDJ98CC,坡道平面,0,24.90,地下一樓
RPTNMLNLNHKGFDJ09CC,坡道平面,0,26.10,地下二樓
RPQNMLMJOHKGFBJ38CC,坡道平面,0,36.61,地下二樓
RPQNMLPJOHKGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLMJOHKGFDJ58CC,坡道機械,0,9.43,地下一樓
RPQNMLTLNHKGFDJ76CC,坡道平面,0,,地下一樓
RPTNMLMKOHKGFBJ78CC,坡道平面,0,,地下一樓
RPPNMLNKOHKGFBJ48CC,坡道平面,0,,地下三樓
RPRNMLNKOHKGFDJ88CC,坡道平面,0,,地下一樓
RPPNMLQKOHKGFBJ78CC,坡道平面,0,,地下二樓
RPRNMLTKOHKGFBJ66CC,坡道平面,0,,地下二樓
RPTNMLNKOHKGFDJ09CC,升降機械,0,9.43,地下一樓
RPSNMLTKOHKGFBJ76CC,坡道平面,0,,地下二樓
RPPNMLLKOHKGFBJ28CC,坡道平面,0,,地下三樓
RPPNMLKKOHKGFCJ28CC,坡道平面,0,26.03,地下二樓
RPPNMLSKOHKGFCJ09CC,坡道平面,0,34.85,地下三樓
RPPNMLRLOHKGFCJ09CC,坡道平面,0,,地下一樓
RPSNMLQLOHKGFBJ56CC,坡道平面,0,1.00,一樓
RPPNMLSLOHKGFBJ09CC,坡道平面,0,30.46,地下一樓
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPSNMLKMOHKGFBJ68CC,坡道平面,0,36.45,地下三樓
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
RPQNMLQLOHKGFBJ98CC,坡道平面,3000,,無固定樓層
