編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKNHKGFBK09CC,29,18.42,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPUNMLQKNHKGFBK66CC,29,18.42,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPPNMLTKNHKGFBK09CC,29,8.31,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPUNMLQKNHKGFBK66CC,29,6.48,住家用,鋼筋混凝土造,85年1月30日,五層,,
RPPNMLNLNHKGFFK98CC,45,83.28,住家用,加強磚造,68年11月21日,二層,,
RPPNMLQLNHKGFFK66CC,5,73.46,住家用,鋼筋混凝土造,109年7月22日,十五層,,
RPPNMLQLNHKGFFK66CC,5,49.80,門廳、管委會、停車空間、電信機器室、防空避難室,鋼筋混凝土造,109年7月22日,十五層,,
RPPNMLQLNHKGFFK66CC,5,16.68,樓梯間、水箱、機械室,鋼筋混凝土造,109年7月22日,十五層,,
RPRNMLQKNHKGFFK76CC,11,102.89,集合住宅,鋼筋混凝土造,102年11月22日,五層,,
RPRNMLQKNHKGFFK76CC,11,11.98,集合住宅、停車空間、梯廳,鋼筋混凝土造,102年11月22日,五層,,
RPRNMLQKNHKGFFK76CC,11,13.95,梯間,鋼筋混凝土造,102年11月22日,五層,,
RPPNMLMJOHKGFBK38CC,18,24.83,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPPNMLMJOHKGFBK38CC,18,12.39,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPRNMLSLNHKGFFK07CC,28,81.86,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPRNMLSLNHKGFFK07CC,28,13.69,公共設施,鋼筋混凝土造,86年8月27日,,,
RPRNMLSLNHKGFFK07CC,28,13.30,停車位,鋼筋混凝土造,86年8月27日,,,
RPPNMLRLNHKGFFK76CC,60,66.59,住家用,磚造,54年10月1日,一層,,
RPPNMLMJOHKGFCK48CC,,93.60,住家用,加強磚造,,二層,,
RPUNMLQKNHKGFDK86CC,31,179.55,住家用,鋼筋混凝土造,83年6月7日,四層,,
RPPNMLRLNHKGFDK56CC,1,40.01,集合住宅,鋼筋混凝土造,113年1月12日,五層,,
RPSNMLRLNHKGFDK86CC,10,69.74,集合住宅,鋼筋混凝土造,104年8月14日,五層,,
RPSNMLMJOHKGFDK88CC,31,216.86,住商用,鋼筋混凝土造,83年1月20日,四層,,
RPSNMLRLNHKGFDK86CC,10,16.27,共有部分,鋼筋混凝土造,104年8月14日,五層,,
RPPOMLQKNHKGFDK09CC,4,77.52,住家用,鋼筋混凝土造,110年11月5日,十五層,,
RPPOMLQKNHKGFDK09CC,4,35.67,共有部分,鋼筋混凝土造,110年11月5日,十五層,,
RPRNMLSLNHKGFDK86CC,3,69.53,集合住宅,鋼筋混凝土造,111年5月12日,五層,,
RPRNMLSLNHKGFDK86CC,3,29.00,共有部分,鋼筋混凝土造,111年5月12日,五層,,
RPVNMLRLNHKGFDK17CC,9,55.81,住家用,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPVNMLRLNHKGFDK17CC,9,11.55,電梯機房、水箱、樓梯間,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPVNMLRLNHKGFDK17CC,9,14.46,停車空間、防空避難室、樓梯間,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPVNMLRLNHKGFDK17CC,9,9.32,停車空間,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPUNMLRLNHKGFDK07CC,2,38.31,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPQNMLSLNHKGFDK76CC,16,83.81,住家用,鋼筋混凝土造,98年9月9日,七層,,
RPQNMLSLNHKGFDK76CC,16,12.99,梯間，機械間，水箱,鋼筋混凝土造,98年9月9日,七層,,
RPQNMLSLNHKGFDK76CC,16,10.47,防空避難室兼停車空間,鋼筋混凝土造,98年9月9日,七層,,
RPVNMLMJOHKGFDK56CC,23,268.69,停車空間、住宅,鋼筋混凝土造,90年11月26日,四層,,
RPUNMLMJOHKGFDK09CC,30,53.96,住家用,鋼筋混凝土造,84年8月25日,十二層,,
RPUNMLMJOHKGFDK09CC,30,10.34,梯間，水箱，機械房,鋼筋混凝土造,84年8月25日,十二層,,
RPUNMLMJOHKGFDK09CC,30,8.30,防空避難室，停車空間，辦公室，管理室,鋼筋混凝土造,84年8月25日,十二層,,
RPTNMLQKNHKGFDK76CC,21,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,,
RPTNMLQKNHKGFDK76CC,21,4.62,樓梯間、走廊,鋼筋混凝土造,93年6月23日,三層,,
RPVNMLMJOHKGFDK56CC,23,26.05,停車空間、機械室,鋼筋混凝土造,90年11月26日,一層,,
RPWNMLQKNHKGFDK07CC,27,113.18,住家用,鋼筋混凝土造,87年8月20日,三層,,
RPTNMLTLNHKGFDK17CC,30,219.02,住家用,鋼筋混凝土造,84年2月9日,四層,,
RPQNMLNLNHKGFDK88CC,59,161.66,住家用,加強磚造,55年10月26日,二層,,
RPPNMLSLNHKGFDK66CC,40,45.27,住商用,鋼筋混凝土造,74年7月1日,四層,,
RPRNMLTLNHKGFDK96CC,10,20.00,集合住宅,鋼筋混凝土造,104年11月16日,十層,,
RPTNMLMJOHKGFDK98CC,2,74.65,住家用,鋼筋混凝土造,111年12月9日,五層,,
RPTNMLMJOHKGFDK98CC,2,27.28,共有部分,鋼筋混凝土造,111年12月9日,五層,,
RPRNMLQLNHKGFDK66CC,24,65.49,住家用,鋼筋混凝土造,90年6月4日,九層,,
RPRNMLQLNHKGFDK66CC,24,36.21,防空避難室兼停車空間、梯間、機械房、水箱,鋼筋混凝土造,90年6月4日,九層,,
RPXNMLMJOHKGFDK76CC,6,95.23,集合住宅,鋼筋混凝土造,108年10月9日,七層,,
RPXNMLMJOHKGFDK76CC,6,20.70,共有部分,鋼筋混凝土造,108年10月9日,七層,,
RPXNMLMJOHKGFDK76CC,6,23.61,共有部分,鋼筋混凝土造,108年10月9日,七層,,
RPPOMLMJOHKGFDK68CC,27,111.72,住家用,鋼筋混凝土造,87年11月11日,十八層,,
RPPOMLMJOHKGFDK68CC,27,13.56,樓梯間,鋼筋混凝土造,87年11月11日,十八層,,
RPPOMLMJOHKGFDK68CC,27,12.75,地下層，停車空間，屋突,鋼筋混凝土造,87年11月11日,十八層,,
RPRNMLNJOHKGFDK88CC,9,54.17,商業用,鋼筋混凝土造,105年4月21日,十層,,
RPRNMLNJOHKGFDK88CC,9,56.00,共有部分,鋼筋混凝土造,105年4月21日,十層,,
RPOOMLMJOHKGFDK58CC,19,169.87,住宅、停車空間,鋼筋混凝土造,95年8月9日,三層,,
RPPNMLQJOHKGFBK78CC,29,19.59,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPPNMLQJOHKGFBK78CC,29,8.69,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPSNMLOJOHKGFDK09CC,25,126.66,住家用,鋼筋混凝土造,89年6月8日,三層,,
RPUNMLNJOHKGFDK56CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPOOMLNJOHKGFDK68CC,2,51.11,住家用,鋼筋混凝土造,111年12月9日,五層,,
RPOOMLNJOHKGFDK68CC,2,18.68,共有部分,鋼筋混凝土造,111年12月9日,五層,,
RPTNMLNJOHKGFDK09CC,1,56.67,集合住宅,鋼筋混凝土造,113年9月12日,五層,,
RPXOMLNJOHKGFDK96CC,10,16.30,住宅、店舖、停車空間,鋼筋混凝土造,104年1月29日,五層,,
RPTNMLNJOHKGFDK09CC,1,19.37,共有部分,鋼筋混凝土造,113年9月12日,五層,,
RPPNMLQJOHKGFDK98CC,5,58.79,住家用,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLQJOHKGFDK98CC,5,17.88,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLQJOHKGFDK98CC,5,9.76,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPSNMLNJOHKGFDK98CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPQNMLLKOHKGFBK48CC,30,139.19,住家用,鋼筋混凝土造,84年2月15日,四層,,
RPQNMLLKOHKGFBK48CC,30,8.04,樓梯間,鋼筋混凝土造,84年2月15日,三層,,
RPPNMLLKOHKGFBK38CC,29,18.88,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPPNMLLKOHKGFBK38CC,29,8.31,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLTJOHKGFBK56CC,43,105.87,住家用,鋼筋混凝土造,71年7月19日,四層,,
RPQNMLTJOHKGFBK56CC,43,14.99,樓梯間及防空避難室,鋼筋混凝土造,71年7月19日,四層,,
RPTNMLOJOHKGFDK56CC,23,22.26,住家用,鋼筋混凝土造,91年4月17日,四層,,
RPTNMLOJOHKGFDK56CC,23,8.73,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,
RPRNMLLKOHKGFBK58CC,33,62.95,住家用,鋼筋混凝土造,81年9月29日,十七層,,
RPRNMLLKOHKGFBK58CC,33,42.83,公共設施,鋼筋混凝土造,81年9月29日,十七層,,
RPPNMLKKOHKGFDK48CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPPNMLLKOHKGFCK48CC,3,60.58,集合住宅,鋼筋混凝土造,111年10月13日,七層,,
RPPNMLLKOHKGFCK48CC,3,31.52,共有部份之項目有停車空間、電信室、台電配電室、消防機房兼發電機室、梯廳、梯間、樓梯間、水箱、機械室等９項,鋼筋混凝土造,111年10月13日,七層,,
RPPNMLLKOHKGFDK58CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPQNMLLKOHKGFDK68CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPRNMLLKOHKGFDK78CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPUNMLLKOHKGFDK09CC,24,21.12,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPUNMLLKOHKGFDK09CC,24,6.17,樓梯間，屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
RPVNMLLKOHKGFDK56CC,10,317.66,店舖、住宅,鋼筋混凝土造,104年4月23日,四層,,
RPSNMLLKOHKGFDK88CC,8,27.87,住商用、停車空間,鋼筋混凝土造,106年9月30日,五層,,
RPPNMLRKOHKGFBK98CC,24,153.90,住宅，停車位,鋼筋混凝土造,90年6月10日,三層,,
RPRNMLRKOHKGFBK56CC,1,35.53,集合住宅,鋼筋混凝土造,113年7月18日,五層,,
RPRNMLRKOHKGFBK56CC,1,4.66,本共有部分之項目有停車空間（室內１輛）等１項。,鋼筋混凝土造,113年7月18日,五層,,
RPRNMLRKOHKGFBK56CC,1,9.83,本共有部分之項目有樓梯間、機道、梯廳、及直通梯等４項。,鋼筋混凝土造,113年7月18日,五層,,
RPSNMLRKOHKGFBK66CC,10,230.69,住商用,鋼筋混凝土造,104年11月9日,四層,,
RPQNMLRKOHKGFBK09CC,18,22.72,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLRKOHKGFBK09CC,18,11.78,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPTNMLRKOHKGFBK76CC,3,23.00,住商用,鋼筋混凝土造,111年8月18日,四層,,
RPPNMLSKOHKGFBK09CC,31,25.70,住家用,鋼筋混凝土造,83年3月9日,四層,,
RPQNMLSKOHKGFBK56CC,31,22.26,住家用,鋼筋混凝土造,83年3月9日,四層,,
RPQNMLQJOHKGFFK66CC,4,83.17,集合住宅,鋼筋混凝土造,110年6月22日,十五層,,
RPQNMLQJOHKGFFK66CC,4,18.90,防空避難室兼停車空間、供管委會使用空間、車道,鋼筋混凝土造,110年6月22日,十五層,,
RPQNMLQJOHKGFFK66CC,4,19.34,樓電梯間、梯間、水錶區、消防水箱、電梯機械室、水箱,鋼筋混凝土造,110年6月22日,十五層,,
RPTNMLNJOHKGFFK66CC,8,49.77,辦公室,鋼筋混凝土造,106年8月8日,十層,,
RPTNMLNJOHKGFFK66CC,8,22.12,防空避難室兼停車空間、升降機間、樓梯間、機械房、水箱,鋼筋混凝土造,106年8月8日,十層,,
RPSNMLMJOHKGFFK09CC,9,22.70,辦公室,鋼筋混凝土造,104年12月21日,六層,,
RPSNMLMJOHKGFFK09CC,9,4.11,停車空間,鋼筋混凝土造,104年12月21日,六層,,
RPSNMLMJOHKGFFK09CC,9,14.12,防空避難室、台電配電室、消防機械室、樓梯間、電梯機房、水箱,鋼筋混凝土造,104年12月21日,六層,,
RPPNMLQJOHKGFFK56CC,12,87.79,住家用,ＲＣ造,102年7月3日,五層,,
RPWNMLNJOHKGFFK96CC,8,73.23,集合住宅,鋼筋混凝土造,106年11月15日,十四層,,
RPPNMLQJOHKGFFK56CC,12,42.42,住家用,ＲＣ造,102年7月3日,五層,,
RPQNMLOJOHKGFFK09CC,31,90.11,住家用,鋼筋混凝土造,83年3月23日,八層,,
RPWNMLNJOHKGFFK96CC,8,17.03,樓梯間、水箱、機械室,鋼筋混凝土造,106年11月15日,十四層,,
RPWNMLNJOHKGFFK96CC,8,16.53,停車空間、防空避難室兼停車空間、門廳、管委會空間,鋼筋混凝土造,106年11月15日,十四層,,
RPQNMLOJOHKGFFK09CC,31,18.22,地下室，樓梯間，機械室，水箱,鋼筋混凝土造,83年3月23日,八層,,
RPSNMLNJOHKGFFK56CC,31,65.50,住家用,鋼筋混凝土造,83年1月13日,五層,,
RPSNMLNJOHKGFFK56CC,31,4.85,樓梯間，機械房，水箱,鋼筋混凝土造,83年1月13日,五層,,
RPPNMLMJOHKGFFK78CC,28,55.01,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPPNMLMJOHKGFFK78CC,28,9.18,公共設施,鋼筋混凝土造,86年8月27日,,,
