編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLSKPHKGFCM96DA,坡道平面,0,29.52,一樓
RPSNMLTLPHKGFBM17DA,坡道平面,0,35.80,地下二樓
RPSNMLLKQHKGFCM09DA,坡道平面,0,,地下二樓
RPRNMLSKQHKGFAM86DA,一樓平面,0,,一樓
RPQNMLSLPHKGFAM76DA,坡道平面,0,,地下一樓
RPTNMLTLPHKGFBM27DA,坡道平面,0,35.80,地下三樓
RPSOMLTKQHKGFAM17DA,坡道機械,0,,地下一樓
RPQNMLOKQHKGFBM09DA,坡道平面,0,,地下三樓
RPPNMLLLQHKGFAM78EA,一樓平面,0,,一樓
RPPNMLSLQHKGFCM96DA,一樓平面,1350000,,一樓
RPQNMLLJRHKGFAM68DA,一樓平面,0,,一樓
RPPNMLRKQHKGFCM76DA,一樓平面,1300000,18.26,一樓
RPRNMLMKQHKGFDM56DA,一樓平面,1000000,21.30,一樓
RPSNMLMKQHKGFDM66DA,一樓平面,1000000,21.30,一樓
RPQNMLKLOHKGFAM48DA,坡道平面,0,23.14,一樓
RPPNMLOJOHKGFBM68DA,坡道平面,0,,地下二樓
RPTNMLSKQHKGFBM17DA,坡道平面,0,13.68,地下一樓
RPRNMLOLOHKGFAM98DA,坡道平面,0,,地下一樓
RPQNMLOJPHKGFCM98DA,坡道平面,0,21.12,地下一樓
RPQNMLOJPHKGFCM98DA,坡道平面,0,21.12,地下一樓
RPPNMLOKPHKGFAM78DA,坡道平面,0,15.34,地下一樓
RPPNMLOKPHKGFAM78DA,坡道平面,0,15.34,地下二樓
RPPNMLPLPHKGFAM98DA,坡道平面,0,29.90,地下一樓
RPQNMLLMPHKGFCM98DA,升降機械,0,6.89,地下一樓
RPPNMLRJQHKGFAM09DA,升降平面,0,,地下一樓
RPPNMLPKQHKGFBM56EA,一樓平面,0,,一樓
RPPNMLPKQHKGFBM56EA,一樓平面,0,,一樓
RPTNMLQJQHKGFBM86DA,坡道平面,0,33.40,地下一樓
RPVNMLSKQHKGFBM37DA,坡道平面,0,,地下一樓
RPQNMLPLOHKGFBM09DA,坡道平面,0,,地下一樓
RPQNMLMJPHKGFBM68DA,坡道平面,0,33.40,地下二樓
SPTNMLTLNHKGFAM07DA,坡道平面,1300000,19.17,地下一樓
RPWNMLTLNHKGFAM27DA,一樓平面,1300000,19.17,一樓
RPWNMLTLNHKGFAM27DA,一樓平面,1300000,19.17,一樓
RPTNMLTLNHKGFAM96DA,坡道平面,1300000,19.17,地下一樓
SPWNMLTLNHKGFAM37DA,一樓平面,1300000,19.17,一樓
RPPOMLSLNHKGFAM56DA,一樓平面,1300000,19.17,一樓
RPPOMLSLNHKGFAM56DA,一樓平面,1300000,19.17,一樓
RPSNMLSLNHKGFBM86DA,坡道機械,0,,地下一樓
RPPNMLOLOHKGFBM88DA,坡道機械,0,11.90,地下一樓
RPUOMLSKOHKGFBM17DA,坡道平面,1100000,45.25,地下一樓
RPSNMLLJPHKGFAM68DA,坡道平面,0,29.90,地下二樓
RPPNMLSKOHKGFBM56DA,坡道機械,0,11.90,地下一樓
RPPNMLOKOHKGFBM78DA,坡道平面,0,33.40,地下二樓
RPSNMLTJPHKGFCM07DA,坡道平面,600000,.57,地下一樓
RPPNMLQKPHKGFBM09DA,坡道平面,0,34.98,地下一樓
RPPNMLQKPHKGFBM09DA,坡道平面,0,34.98,地下一樓
RPUNMLKKPHKGFBM98DA,坡道平面,0,,地下一樓
RPQPMLNLPHKGFAM09DA,坡道平面,1300000,29.90,地下一樓
RPQPMLNLPHKGFAM09DA,坡道平面,1300000,29.90,地下一樓
RPPNMLNKOHKGFBM68DA,升降機械,0,,一樓
RPSNMLOKQHKGFAM56DA,坡道平面,1100000,19.17,地下一樓
RPRNMLPLOHKGFAM09DA,坡道機械,0,,地下二樓
RPRNMLMLNHKGFAM68DA,坡道平面,0,,地下一樓
RPUNMLQKOHKGFCM96DA,坡道平面,0,,地下一樓
RPSNMLLLNHKGFBM78DA,其他,300000,,一樓
RPUNMLOKNHKGFCM66DA,一樓平面,1300000,18.26,一樓
RPRNMLMKNHKGFBM68DA,坡道平面,1600000,35.80,地下一樓
RPOOMLLJPHKGFAM38DA,坡道平面,1300000,29.90,地下一樓
RPOOMLLJPHKGFAM38DA,坡道平面,1300000,29.90,地下一樓
RPQNMLSKPHKGFCM86DA,升降機械,0,6.03,地下一樓
RPPNMLQJQHKGFAM09EA,一樓平面,0,,一樓
RPVNMLPKNHKGFCM86DA,一樓平面,1300000,18.26,一樓
RPPNMLSJPHKGFAM56EA,坡道平面,0,,地下二樓
RPPNMLRJQHKGFBM66EA,一樓平面,0,,一樓
RPPNMLRJQHKGFBM66EA,一樓平面,0,,一樓
RPPNMLNJOHKGFAM48DA,坡道平面,0,,地下一樓
RPSNMLTKLHKGFCM76DA,一樓平面,1300000,18.26,一樓
RPRNMLSLQHKGFCM17DA,其他,900000,,一樓
RPQNMLRKPHKGFBM66DA,一樓平面,0,,一樓
RPVNMLLLMHKGFDM56DA,一樓平面,1000000,20.82,一樓
RPXNMLPJRHKGFBM27DA,一樓平面,850000,18.32,一樓
RPVNMLLJPHKGFBM09DA,一樓平面,0,,一樓
RPROMLRKMHKGFDM76DA,一樓平面,800000,20.82,一樓
RPRNMLSKOHKGFBM76DA,坡道平面,900000,45.25,地下二樓
RPQOMLRKMHKGFDM66DA,一樓平面,700000,20.82,一樓
RPQNMLLJPHKGFBM58DA,一樓平面,0,,一樓
RPQNMLSLLHKGFAM98DA,坡道機械,0,,地下一樓
RPTOMLRKMHKGFDM96DA,一樓平面,800000,20.82,一樓
RPPOMLRKMHKGFDM56DA,一樓平面,750000,20.82,一樓
RPVNMLRKMHKGFDM07DA,一樓平面,800000,20.82,一樓
RPWNMLRKMHKGFDM17DA,一樓平面,800000,20.82,一樓
RPWNMLLLMHKGFDM66DA,一樓平面,800000,20.82,一樓
RPSNMLMLMHKGFDM98DA,一樓平面,1000000,20.81,一樓
RPTNMLNLMHKGFDM56DA,一樓平面,800000,20.82,一樓
RPWOMLRKMHKGFDM27DA,一樓平面,700000,20.81,一樓
RPQNMLOKQHKGFAM98DA,坡道平面,1050000,29.66,地下一樓
RPSNMLNLMHKGFDM09DA,一樓平面,700000,19.07,一樓
RPPPMLRKMHKGFDM66DA,一樓平面,750000,19.07,一樓
RPOOMLRKMHKGFDM09DA,一樓平面,750000,20.81,一樓
RPUNMLLLMHKGFDM09DA,一樓平面,800000,20.82,一樓
RPWNMLSKMHKGFDM27DA,一樓平面,750000,19.07,一樓
RPVNMLSKMHKGFDM17DA,一樓平面,800000,20.82,一樓
RPSNMLSKOHKGFBM86DA,坡道平面,1100000,45.25,地下一樓
RPRNMLQLOHKGFBM66DA,坡道平面,1100000,45.25,地下一樓
RPWNMLPLQHKGFAM17DA,其他,850000,,一樓
RPQOMLKMPHKGFAM78DA,其他,850000,,一樓
RPQPMLNKQHKGFAM09DA,其他,850000,,一樓
RPPNMLLMPHKGFAM68DA,其他,1100000,,一樓
RPQNMLNKQHKGFAM88DA,坡道平面,900000,29.66,地下三樓
RPXNMLPLQHKGFAM27DA,坡道平面,950000,29.66,地下二樓
RPOOMLKMPHKGFAM58DA,其他,1100000,,一樓
RPPNMLOKQHKGFAM88DA,其他,1100000,,一樓
RPTNMLNKQHKGFAM56DA,坡道平面,900000,29.66,地下三樓
RPWNMLNKQHKGFAM86DA,坡道平面,900000,29.66,地下三樓
RPOOMLNKQHKGFAM78DA,坡道平面,900000,29.66,地下三樓
RPQNMLLMPHKGFAM78DA,坡道平面,900000,29.66,地下三樓
RPQNMLLMPHKGFAM78DA,其他,850000,,一樓
RPSOMLNKQHKGFAM56DA,其他,1100000,,一樓
RPQNMLLJQHKGFAM58DA,其他,1100000,,一樓
RPTOMLNKQHKGFAM66DA,坡道平面,1050000,29.66,地下一樓
RPVQMLPLQHKGFAM37DA,坡道平面,900000,29.66,地下三樓
RPWQMLPLQHKGFAM47DA,坡道平面,900000,29.66,地下三樓
RPVPMLPLQHKGFAM27DA,其他,850000,,一樓
RPWNMLKMPHKGFAM66DA,其他,1100000,,一樓
RPXNMLKMPHKGFAM76DA,其他,1100000,,一樓
RPRNMLLJQHKGFAM68DA,坡道平面,900000,29.66,地下三樓
RPVOMLNKQHKGFAM86DA,坡道平面,900000,29.66,地下三樓
RPWOMLSLPHKGFAM47DA,坡道平面,900000,29.66,地下三樓
RPWNMLSLPHKGFAM37DA,坡道平面,950000,29.66,地下二樓
RPXPMLPLQHKGFAM47DA,坡道平面,1050000,29.66,地下一樓
RPVNMLSLPHKGFAM27DA,坡道平面,1050000,29.66,地下一樓
RPPQMLPLQHKGFAM76DA,坡道平面,950000,29.66,地下二樓
RPQPMLPLQHKGFAM76DA,坡道平面,950000,29.66,地下二樓
RPQPMLPLQHKGFAM76DA,坡道平面,950000,29.66,地下二樓
RPOPMLPLQHKGFAM56DA,坡道平面,1050000,29.66,地下一樓
RPPOMLKMPHKGFAM68DA,其他,850000,,一樓
RPUOMLNKQHKGFAM76DA,坡道平面,900000,29.66,地下三樓
RPVNMLNKQHKGFAM76DA,坡道平面,900000,29.66,地下三樓
RPUNMLNKQHKGFAM66DA,坡道平面,950000,29.66,地下二樓
RPXNMLNKQHKGFAM96DA,坡道平面,900000,29.66,地下三樓
RPPOMLNKQHKGFAM88DA,坡道平面,950000,29.66,地下二樓
RPQOMLNKQHKGFAM98DA,坡道平面,950000,29.66,地下二樓
RPSOMLPLQHKGFAM86DA,坡道平面,900000,29.66,地下三樓
RPTOMLPLQHKGFAM96DA,坡道平面,900000,29.66,地下三樓
RPXOMLPLQHKGFAM37DA,坡道平面,900000,29.66,地下三樓
RPVOMLPLQHKGFAM17DA,坡道平面,1050000,29.66,地下一樓
RPUOMLPLQHKGFAM07DA,其他,850000,,一樓
RPRQMLPLQHKGFAM96DA,坡道平面,900000,29.66,地下三樓
RPRPMLPLQHKGFAM86DA,其他,850000,,一樓
RPWOMLNKQHKGFAM96DA,坡道平面,950000,29.66,地下二樓
RPTPMLPLQHKGFAM07DA,坡道平面,950000,29.66,地下二樓
RPTQMLPLQHKGFAM17DA,坡道平面,1050000,29.66,地下一樓
RPTQMLPLQHKGFAM17DA,其他,850000,,一樓
RPUNMLQLQHKGFAM07DA,坡道平面,950000,29.66,地下二樓
RPSQMLPLQHKGFAM07DA,坡道平面,1050000,29.66,地下一樓
RPRNMLNKQHKGFAM98DA,坡道平面,900000,29.66,地下三樓
RPWPMLPLQHKGFAM37DA,坡道平面,950000,29.66,地下二樓
RPROMLSLPHKGFAM96DA,坡道平面,950000,29.66,地下二樓
RPSOMLSLPHKGFAM07DA,坡道平面,950000,29.66,地下二樓
RPXNMLSLPHKGFAM47DA,坡道平面,1050000,29.66,地下一樓
RPTOMLSLPHKGFAM17DA,坡道平面,900000,29.66,地下三樓
RPTOMLSLPHKGFAM17DA,坡道平面,900000,29.66,地下三樓
RPQPMLSLPHKGFAM96DA,坡道平面,1050000,29.66,地下一樓
RPTPMLSLPHKGFAM27DA,坡道平面,1050000,29.66,地下一樓
