編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLLNHKGFBM68CC,坡道機械,0,,地下二樓
RPXNMLKLNHKGFBM66CC,坡道機械,0,,地下一樓
RPQNMLTLNHKGFBM86CC,坡道平面,2000,,地下一樓
RPRNMLLKOHKGFBM78CC,坡道平面,3000,,地下一樓
RPPNMLPLOHKGFAM98CC,坡道機械,0,23.52,地下一樓
RPTNMLTKOHKGFBM17CC,坡道平面,0,34.97,地下二樓
RPPNMLLJPHKGFBM58CC,坡道平面,0,,地下三樓
RPSNMLPKPHKGFBM76CC,坡道機械,0,,地下一樓
RPPNMLMLPHKGFAM78CC,坡道平面,0,30.67,地下一樓
RPTNMLOLPHKGFBM86CC,坡道平面,3000,,地下一樓
RPUNMLLKQHKGFBM66CC,坡道平面,2000,,地下一樓
RPQNMLTLQHKGFBM17CC,坡道平面,3000,,地下一樓
