鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
和美鎮,租賃房屋,彰化縣和美鎮東發路２０６巷１９號,0.0,,,,1140512,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0820220,149.49,3,3,2,有,無,無,21000,140,,0.0,0,,RPPNMLOKNHKGFBN88CC,整棟(戶)出租,無,1140601~1150531,無,冷氣、熱水器、洗衣機,
彰化市,租賃房屋+車位,彰化縣彰化市中山路三段９９７號五樓之２,0.0,,,,1140515,土地0建物1車位1,五層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120727,143.45,3,2,2,有,有,有,17000,115,坡道平面,22.14,3000,多人共同承租2；,RPPNMLPKNHKGFAN88CC,整棟(戶)出租,有,1140515~1150514,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市瑞陽街１５號六樓,0.0,,,,1140516,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820923,103.94,2,2,2,有,有,有,13000,125,,0.0,0,續租案件；,RPQNMLQKNHKGFAN09CC,整棟(戶)出租,有,1140517~1160516,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市中山路三段９９５號１０樓之５,0.0,,,,1140514,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120727,85.94,2,2,1,有,有,有,15500,180,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。多人共同承租2；,RPRNMLTKNHKGFAN86CC,整棟(戶)出租,有,1140516~1150515,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
鹿港鎮,租賃房屋,彰化縣鹿港鎮光明街１０２巷２號２樓,0.0,,,,1140512,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841127,111.50999999999999,3,2,2,有,有,有,12500,112,,0.0,0,多人共同承租2；未租賃車位，建物登記含有車位面積；,RPPNMLTKNHKGFCN86CC,整棟(戶)出租,有,1140516~1150515,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市金馬路三段９５巷１５號３樓,0.0,,,,1140519,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,121.53,4,1,2,有,有,有,17500,144,,0.0,0,,RPQNMLKLNHKGFAN58CC,整棟(戶)出租,有,1140519~1150518,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
福興鄉,租賃房屋,彰化縣福興鄉沿海路四段７２１巷２８之１號,0.0,,,,1140513,土地0建物1車位0,全,3,透天厝,住宅、停車空間、梯間,鋼筋混凝土造,0970508,184.36,3,2,2,有,無,有,15000,81,,0.0,0,續租案件；,RPPNMLKLNHKGFCN68CC,整棟(戶)出租,無,1140701~1150630,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市崙美路２４０巷７３弄２２號,0.0,,,,1140520,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660331,86.4,2,2,1,有,無,有,15000,174,,0.0,0,,RPQNMLLLNHKGFAN68CC,整棟(戶)出租,無,1140601~1150531,無,冷氣、熱水器、洗衣機,社會住宅代管
花壇鄉,租賃房屋,彰化縣花壇鄉彰員路三段６８０巷３號,0.0,,,,1140519,土地0建物1車位0,全,4,透天厝,住宅、停車庫,鋼筋混凝土造,0790206,209.12,4,2,3,有,無,有,14500,69,,0.0,0,,RPRNMLLLNHKGFAN78CC,整棟(戶)出租,無,1140519~1170518,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
