編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKLNHKGFAN58CC,31,101.91,住家用,鋼筋混凝土造,83年6月23日,十三層,,
RPQNMLQKNHKGFAN09CC,32,82.05,住家用,鋼筋混凝土造,82年9月23日,七層,,
RPQNMLKLNHKGFAN58CC,31,19.62,停車空間、避難室、梯間,鋼筋混凝土造,83年6月23日,十三層,,
RPQNMLQKNHKGFAN09CC,32,21.89,停車空間、避難室、通道、梯間,鋼筋混凝土造,82年9月23日,七層,,
RPSNMLLLNHKGFAN88CC,54,20.00,住家用,加強磚造,59年12月23日,一層,,
RPRNMLLLNHKGFAN78CC,35,209.12,住宅、停車庫,鋼筋混凝土造,79年2月6日,四層,,
RPRNMLTKNHKGFAN86CC,2,57.16,集合住宅,鋼筋混凝土造,112年7月27日,十二層,,
RPRNMLTKNHKGFAN86CC,2,28.78,停車空間、汙水機房、水箱、防空避難室兼停車空間、台電配電室、發電機房、電信機房、管委會使用空間、梯廳、戶外安全梯、樓梯間、電梯機房等１２項,鋼筋混凝土造,112年7月27日,十三層,,
RPQNMLLLNHKGFAN68CC,48,86.40,住家用,鋼筋混凝土加強磚造,66年3月31日,二層,,
RPPNMLOKNHKGFBN88CC,32,149.49,住家用,鋼筋混凝土造,82年2月20日,三層,,
RPPNMLKLNHKGFCN68CC,17,184.36,住宅、停車空間、梯間,鋼筋混凝土造,97年5月8日,三層,,
RPWNMLQLNHKGFAN17CC,32,99.24,住家用,鋼筋混凝土造,82年5月13日,七層,,
RPWNMLQLNHKGFAN17CC,32,37.53,防空避難室、停車空間、走道、梯間,鋼筋混凝土造,82年5月13日,七層,,
RPPNMLTKNHKGFCN86CC,29,80.77,住家用,鋼筋混凝土造,84年11月27日,八層,,
RPPNMLTKNHKGFCN86CC,29,6.93,停車空間,鋼筋混凝土造,84年11月27日,八層,,
RPPNMLTKNHKGFCN86CC,29,23.81,停車空間、避難室、梯間、水箱、機械室,鋼筋混凝土造,84年11月27日,八層,,
RPRNMLQLNHKGFCN86CC,2,45.40,集合住宅,鋼筋混凝土造,112年7月31日,十一層,,
RPRNMLQLNHKGFCN86CC,2,13.43,梯間、停車空間、台電配電室、發電機室、電信室、水箱、汙水機房、機械室、機房,鋼筋混凝土造,112年7月31日,三層,,
RPRNMLQLNHKGFCN86CC,2,8.84,梯廳、安全梯間,鋼筋混凝土造,112年7月31日,十一層,,
RPQNMLNLNHKGFBN98CC,37,148.38,住家用,鋼筋混凝土造,77年2月22日,三層,,
RPPNMLQLNHKGFAN09CC,44,112.79,住家用,鋼筋混凝土造,70年10月15日,五層,,
RPPNMLNLNHKGFBN88CC,2,54.94,集合住宅,鋼筋混凝土造,112年8月11日,九層,,
RPPNMLNLNHKGFBN88CC,2,32.04,本共有部分係依使用執照之建築概要表記載項目有：台電配電室、電信室、停車空間、管委會、消防機房、樓梯間、水錶室、水箱、機械室等９項,鋼筋混凝土造,112年8月11日,九層,,
RPRNMLRLNHKGFAN76CC,33,150.22,住家用,鋼筋混凝土造,80年12月26日,七層,,
RPRNMLRLNHKGFAN76CC,33,22.48,防空避難室,鋼筋混凝土造,80年12月26日,七層,,
RPRNMLRLNHKGFAN76CC,33,25.97,通道梯間,鋼筋混凝土造,80年12月26日,七層,,
RPQNMLRLNHKGFAN66CC,55,18.18,住家用,鋼筋混凝土加強磚造,59年3月2日,二層,,
RPPNMLTLNHKGFAN76CC,35,126.20,住家用,鋼筋混凝土造,79年1月4日,十層,,
RPPNMLTLNHKGFAN76CC,35,15.12,避難室、開放空間、私設通路、汽車車道,鋼筋混凝土造,79年1月4日,十層,,
RPPNMLTLNHKGFAN76CC,35,7.40,機坑、梯間,鋼筋混凝土造,79年1月4日,十層,,
RPQNMLMJOHKGFBN78CC,45,100.62,住家用,加強磚造,69年2月1日,二層,,
RPPNMLMJOHKGFAN58CC,46,57.05,住家用,鋼筋混凝土造,68年3月26日,四層,,
RPSNMLTLNHKGFAN07CC,46,154.68,住商用,鋼筋混凝土造,68年10月19日,三層,,
RPRNMLTLNHKGFAN96CC,38,120.32,住家用,加強磚造,76年6月6日,二層,,
RPSNMLMJOHKGFAN88CC,31,49.35,住家用,加強磚造,83年5月11日,二層,,
RPPNMLMJOHKGFCN78CC,32,169.83,農舍,鋼筋混凝土造,82年3月15日,三層,,
RPPNMLLMNHKGFAN68CC,37,15.00,住家用,鋼筋混凝土造,77年6月4日,三層,,
RPTNMLMJOHKGFAN98CC,3,43.23,集合住宅,鋼筋混凝土造,111年5月4日,十層,,
RPTNMLMJOHKGFAN98CC,3,17.94,台電配電室、機械室、停車空間兼防空避難室、緊急發電機房、梯廳、安全梯、管理委員會使用空間、電信機房、樓梯間、機房,鋼筋混凝土造,111年5月4日,十層,,
RPRNMLMJOHKGFCN98CC,1,44.41,台電配電室,鋼骨造、鋼筋混凝土造,113年4月25日,一層,,
RPRNMLMJOHKGFCN98CC,1,22.20,台電配電室,鋼骨造、鋼筋混凝土造,113年4月25日,一層,,
RPRNMLMJOHKGFCN98CC,1,4213.72,廠房,鋼骨造,113年4月25日,一層,,
RPRNMLMJOHKGFCN98CC,1,3992.70,廠房、發電機消防幫浦室,鋼骨造、鋼筋混凝土造,113年4月25日,一層,,
RPRNMLMJOHKGFCN98CC,1,3992.70,廠房、發電機消防幫浦室,鋼骨造、鋼筋混凝土造,113年4月25日,一層,,
RPPNMLNJOHKGFAN68CC,45,99.96,住商用,鋼筋混凝土加強磚造,69年5月21日,二層,,
RPQNMLNJOHKGFAN78CC,55,142.02,住商用,筋加強水泥造,59年11月10日,四層,,
RPQNMLOJOHKGFAN88CC,44,15.00,住商用,鋼筋混凝土造,70年8月12日,三層,,
RPRNMLOJOHKGFAN98CC,44,24.00,住商用,鋼筋混凝土造,70年8月12日,三層,,
RPRNMLNJOHKGFAN88CC,3,43.23,集合住宅,鋼筋混凝土造,111年5月4日,十層,,
RPRNMLNJOHKGFAN88CC,3,18.19,台電配電室、機械室、停車空間兼防空避難室、緊急發電機房、梯廳、安全梯、管理委員會使用空間、電信機房、樓梯間、機房,鋼筋混凝土造,111年5月4日,十層,,
RPSNMLOJOHKGFAN09CC,44,15.00,住商用,鋼筋混凝土造,70年8月12日,三層,,
