鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,海埔段1220-1地號,49.21,,特定農業區,水利用地,1140801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,294276,5980,,0.0,0,政府機關標讓售；,RPQNMLRJQHKGFAO86EA,0.0,0.0,0.0,無,
新竹市,土地,北門段2089地號,41.0,住,,,1140804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,109756,,0.0,0,,RPQNMLSJQHKGFAO96EA,0.0,0.0,0.0,無,0001
新竹市,房地(土地+建物),新竹市新竹市中山路５８２號,28.5,住,,,1140806,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0101000,17.25,0,0,0,無,無,5000000,289855,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLQJQHKGFAO66DA,17.25,0.0,0.0,無,
新竹市,土地,民富段950地號,18.94,都市：其他:道路用地,,,1140805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1880000,99261,,0.0,0,包含公共設施保留地用地；,RPVNMLLKQHKGFAO76DA,0.0,0.0,0.0,無,0002
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路４２號十七樓之５,17.76,商,,,1140803,土地1建物1車位2,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041030,232.8,3,2,2,有,有,37500000,161082,坡道平面,0.0,0,,RPWNMLLKQHKGFAO86DA,105.2,2.25,10.51,有,0003
新竹市,房地(土地+建物),新竹市新竹市光華二街７２巷２５弄１２號５樓之４,17.79,住,,,1140807,土地4建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,88.47,3,1,1,有,有,7480000,84548,,0.0,0,,RPPNMLNKQHKGFAO98DA,54.8,0.0,9.4,有,
新竹市,土地,鹽水段444地號,36.39,農,,,1140812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,30228,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKQHKGFAO09DA,0.0,0.0,0.0,無,0004
新竹市,土地,康朗段760地號,18.59,都市：其他:道路用地,,,1140811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1538991,82786,,0.0,0,協議價購；,RPRNMLNKQHKGFAO56DA,0.0,0.0,0.0,無,0005
新竹市,土地,復中段698地號,347.0,都市：其他:道路用地,,,1140808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19725122,56845,,0.0,0,包含公共設施保留地用地；,RPUNMLNKQHKGFAO86DA,0.0,0.0,0.0,無,0006
