編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLNKNHKGFAO86CC,18,18.23,集合住宅,鋼筋混凝土造,96年6月30日,六層,,
RPVNMLTKNHKGFAO37CC,17,24.38,辦公室,鋼筋混凝土造,97年7月1日,九層,,
RPRNMLTKNHKGFAO96CC,42,74.38,住家用,鋼筋混凝土造,72年4月21日,四層,,
RPQNMLOKNHKGFAO98CC,44,13.22,住家用,鋼筋混凝土造,70年1月20日,四層,,
RPVNMLTKNHKGFAO37CC,17,13.20,停車空間、機械室、污水機房、電信室、防空避難室兼停車空間、台電配電室、梯間、水箱,鋼筋混凝土造,97年7月1日,九層,,
RPWNMLNKNHKGFAO86CC,18,10.05,共同使用部份,鋼筋混凝土造,96年6月30日,六層,,
RPPOMLTKNHKGFAO86CC,25,90.57,集合住宅,鋼筋混凝土造,89年10月16日,十五層,,
RPVNMLTKNHKGFAO37CC,17,.03,守衛室,鋼筋混凝土造,97年7月1日,九層,,
RPPOMLTKNHKGFAO86CC,25,19.34,共有部分,鋼筋混凝土造,89年10月16日,十五層,,
RPPOMLTKNHKGFAO86CC,25,8.45,停車空間、避難室、台電受電室、車道、門廳、中央管理室,鋼筋混凝土造,89年10月16日,十五層,,
RPTNMLLLNHKGFAO09CC,28,48.02,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPTNMLLLNHKGFAO09CC,28,6.98,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPTNMLLLNHKGFAO09CC,28,.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPTNMLLLNHKGFAO09CC,28,14.16,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLLLNHKGFAO88CC,26,116.17,住家用,鋼筋混凝土造,88年1月21日,十四層,,
RPSNMLLLNHKGFAO98CC,42,86.50,住家用,鋼筋混凝土造,72年4月21日,四層,,
RPVNMLLLNHKGFAO66CC,28,25.00,住家用,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLKLNHKGFAO09CC,17,20.15,集合住宅,鋼筋混凝土造,96年12月5日,十一層,,
RPVNMLNKNHKGFAO76CC,35,30.24,住家用,鋼筋混凝土造,79年7月5日,五層,,
RPRNMLLLNHKGFAO88CC,26,16.69,共有部分,鋼筋混凝土造,88年1月21日,十四層,,
RPVNMLLLNHKGFAO66CC,28,4.57,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPVNMLNKNHKGFAO76CC,,6.22,共有部分,鋼筋混凝土造,,五層,,
RPUNMLKLNHKGFAO09CC,17,11.92,防空避難室、停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,96年12月5日,十一層,,
RPRNMLLLNHKGFAO88CC,26,2.56,共有部分,鋼筋混凝土造,88年1月21日,十四層,,
RPVNMLLLNHKGFAO66CC,28,.11,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
