編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKQHKGFEP86DA,49,98.54,住家用,鋼筋混凝土加強磚造,65年7月31日,二層,一層 二層 騎樓 浴廁,全筆移轉
RPQNMLLKQHKGFCP66EA,1,180.05,住宅,鋼筋混凝土造,113年12月23日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLTKQHKGFEP77DA,39,129.35,住家用,加強磚造,75年3月22日,二層,一層 二層 陽台 騎樓,全筆移轉
RPPNMLMLQHKGFBP56DA,59,134.69,住商用,加強磚造,55年10月27日,二層,一層 二層 騎樓,全筆移轉
RPSNMLOJQHKGFDP07DA,4,292.05,停車空間、住宅,鋼筋混凝土造,110年10月17日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSKQHKGFAP96DA,36,403.42,工業用,鐵架有壁架,78年5月6日,一層,一層,全筆移轉
RPPNMLQLQHKGFBP96DA,44,113.26,住商用,加強磚造,70年12月1日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPPNMLTKQHKGFAP17EA,41,110.04,住家用,加強磚造,73年10月9日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLTKQHKGFDP37DA,46,235.03,住商用,加強磚造,68年5月5日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPPNMLPKQHKGFBP76DA,30,24.68,住家用,鋼筋混凝土造,84年7月10日,十三層,九層 陽台,全筆移轉
RPPNMLPKQHKGFBP76DA,30,21.15,共有部份,鋼筋混凝土造,84年7月10日,十三層,,持分移轉
RPSNMLPKQHKGFAP96DA,30,42.01,辦公室,鋼筋混凝土造,84年5月13日,十三層,五層 花台,全筆移轉
RPSNMLPKQHKGFAP96DA,30,7.89,共有部份,鋼筋混凝土造,84年5月13日,十三層,,持分移轉
RPSNMLPKQHKGFAP96DA,30,7.20,共有部份,鋼筋混凝土造,84年5月13日,十三層,,持分移轉
RPPNMLMLQHKGFDP86EA,5,204.09,住宅、停車空間、梯間,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLPLQHKGFBP96DA,1,59.76,停車空間、住宅,鋼筋混凝土造,113年10月9日,四層,一層 二層 三層 四層 陽台,持分移轉
RPPNMLSKQHKGFBP07DA,32,170.19,住家用,鋼筋混凝土造,82年7月15日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLMLQHKGFAP76DA,2,74.74,集合住宅,鋼筋混凝土造,112年6月9日,九層,三層 陽台,全筆移轉
RPSNMLMLQHKGFAP76DA,2,19.77,樓梯間、管委會空間、昇降機、梯廳,鋼筋混凝土造,112年6月9日,九層,,持分移轉
RPSNMLMLQHKGFAP76DA,2,23.22,機電設備空間、停車空間兼防空避難室,鋼筋混凝土造,112年6月9日,九層,,持分移轉
RPPNMLSLQHKGFAP17EA,43,143.76,住家用,加強磚造,72年2月3日,二層,一層 二層 騎樓,全筆移轉
RPRNMLPLQHKGFFP47DA,43,179.28,住家用,加強磚造,71年5月17日,二層,一層 二層 陽台 騎樓,全筆移轉
RPVOMLQLQHKGFAP57DA,18,206.34,住宅、停車空間。,鋼筋混凝土造,96年4月24日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLRLQHKGFCP17DA,19,139.17,集合住宅,鋼筋混凝土造,96年2月9日,八層,六層 陽台,全筆移轉
RPPNMLRLQHKGFCP17DA,19,25.46,共有部份,鋼筋混凝土造,96年2月9日,地下層,,持分移轉
RPPNMLRLQHKGFCP17DA,19,22.71,共有部份,鋼筋混凝土造,96年2月9日,八層,,持分移轉
RPRNMLTLQHKGFAP47EA,50,91.29,住家用,加強磚造,64年6月19日,二層,一層 二層 騎樓,全筆移轉
RPRNMLMJRHKGFAP56DA,44,122.62,住家用,加強磚造,70年3月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLMJRHKGFDP66DA,20,74.42,住家用,加強磚造,94年6月24日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLNJRHKGFBP66EA,34,70.01,住家用,鋼造,80年3月7日,一層,一層,全筆移轉
RPPNMLNJRHKGFBP66EA,34,70.64,住家用,鋼造,80年3月7日,一層,一層,全筆移轉
RPQNMLLJRHKGFDP66DA,61,67.26,住商用,加強磚造,53年8月3日,二層,一層 二層 騎樓,全筆移轉
RPRNMLRLQHKGFCP37DA,19,129.30,店舖、住宅、停車空間,鋼筋混凝土造,95年6月23日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPPNMLOJRHKGFAP56DA,6,126.42,住家用,鋼筋混凝土造,108年4月20日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLLMQHKGFDP76DA,45,110.25,住商用,加強磚造,69年6月10日,二層,一層 二層 騎樓,全筆移轉
