鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1140512,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.12,2,2,1,有,無,7760000,73263,坡道平面,30.31,1400000,,RPPNMLNKNHKGFBP88CB,君悅II,06F-E號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1140512,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.29,3,2,2,有,無,12300000,88539,坡道平面,29.18,1400000,,RPQNMLSKNHKGFAP76CB,勝麗MVP,C1棟14F號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮長春路,21.96,住,,,1140516,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.75,2,2,2,有,無,11930000,107934,坡道平面,38.58,1550000,,RPPNMLTKNHKGFDP17DB,人文君聚,8F號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮長春路,21.89,住,,,1140516,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.43,2,2,2,有,無,11950000,107460,坡道平面,38.58,1650000,,RPQNMLTKNHKGFDP27DB,人文君聚,9E號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.84,商,,,1140521,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,1,2,有,無,11120000,109847,坡道機械,17.9,980000,,RPOOMLLLNHKGFAP68CB,品風華,15FA棟6號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,34.43,,工業區,丁種建築用地,1140517,土地2建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.69,3,2,2,有,無,7150000,54710,一樓平面,29.63,0,,RPPNMLMLNHKGFAP78CB,翡翠森林,A棟3A5號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮文昌路,22.88,商,,,1140518,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,110.87,0,1,1,有,無,11740000,105890,,0.0,0,,RPPNMLMLNHKGFBP88CB,君悅II,01F-B號,1140625全部解約
斗南鎮,房地(土地+建物),雲林縣斗南鎮文昌路,24.32,商,,,1140518,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,117.96,0,1,1,有,無,12840000,108850,,0.0,0,,RPQNMLMLNHKGFBP98CB,君悅II,01F-C號,1140625全部解約
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1140517,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.12,2,2,1,有,無,8080000,76950,坡道平面,30.31,1400000,,RPRNMLMLNHKGFBP09CB,君悅II,14F-F號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮文昌路,16.69,商,,,1140517,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.31,2,2,1,有,無,5680000,69856,,0.0,0,,RPSNMLMLNHKGFBP56CB,君悅II,07F-H號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1140519,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.12,2,2,1,有,無,7200000,64509,坡道平面,30.31,1600000,,RPTNMLMLNHKGFBP66CB,君悅II,02F-E號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮文昌路,17.93,商,,,1140519,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.6,2,2,1,有,無,8370000,79276,坡道平面,30.31,1450000,,RPUNMLMLNHKGFBP76CB,君悅II,14F-C號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,35.5,住,,,1140512,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.57,3,2,2,有,無,18190000,102061,坡道平面,16.53,1550000,,RPQNMLNLNHKGFAP98CB,聖德淳風十一期(NO.60),A7號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,27.91,住,,,1140516,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.38,3,2,2,有,無,15080000,105140,坡道平面,19.17,1600000,,RPUNMLNLNHKGFAP76CB,聖德淳風十一期(NO.60),A5號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,27.91,住,,,1140516,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.74,3,2,2,有,無,14680000,102800,坡道平面,16.53,1500000,,RPVNMLNLNHKGFAP86CB,聖德淳風十一期(NO.60),A5號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,27.91,住,,,1140516,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.74,3,2,2,有,無,14450000,101396,坡道平面,16.53,1450000,,RPWNMLNLNHKGFAP96CB,聖德淳風十一期(NO.60),A5號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲六街,100.0,住,,,1140514,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,234.84,3,1,4,有,無,26580000,113183,,0.0,0,,RPQNMLPLNHKGFDP86CB,臻悅,A棟3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,26.98,住,,,1140515,土地4建物1車位2,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,186.85,3,2,2,有,無,14730000,92764,坡道平面,60.4,3000000,該戶合約書簽約土地持分面積26.97平方公尺,RPQNMLQLNHKGFAP66CB,鄉林?雲峰,B7棟5F號,
