編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLNLNHKGFAP96CB,坡道平面,1450000,16.53,地下二樓
RPOOMLLLNHKGFAP68CB,坡道機械,980000,17.90,地下三樓
RPQNMLNLNHKGFAP98CB,坡道平面,1550000,16.53,地下一樓
RPQNMLQLNHKGFAP66CB,坡道平面,1500000,30.20,地下一樓
RPQNMLQLNHKGFAP66CB,坡道平面,1500000,30.20,地下一樓
RPPNMLMLNHKGFAP78CB,一樓平面,0,29.63,一樓
RPPNMLSLNHKGFAP76CB,坡道機械,980000,17.90,地下三樓
RPPNMLSLNHKGFAP76CB,坡道機械,980000,17.90,地下三樓
RPUNMLNLNHKGFAP76CB,坡道平面,1600000,19.17,地下二樓
RPVNMLNLNHKGFAP86CB,坡道平面,1500000,16.53,地下一樓
RPQNMLTLNHKGFAP96CB,坡道平面,1450000,16.53,地下二樓
RPRNMLTLNHKGFAP07CB,坡道平面,1400000,29.18,地下二樓
RPPNMLTLNHKGFAP86CB,坡道平面,1450000,16.53,地下二樓
RPQNMLSKNHKGFAP76CB,坡道平面,1400000,29.18,地下二樓
RPPNMLQLNHKGFAP66DB,一樓平面,1000000,13.75,一樓
RPPNMLTLNHKGFBP96CB,坡道平面,1200000,26.45,地下一樓
RPPNMLNKNHKGFBP88CB,坡道平面,1400000,30.31,地下一樓
RPTNMLMLNHKGFBP66CB,坡道平面,1600000,30.31,地下一樓
RPUNMLMLNHKGFBP76CB,坡道平面,1450000,30.31,地下一樓
RPRNMLMLNHKGFBP09CB,坡道平面,1400000,30.31,地下一樓
RPPNMLSLNHKGFDP17DB,坡道平面,1650000,38.58,地下一樓
RPPNMLRLNHKGFDP07DB,坡道平面,1650000,38.58,地下一樓
RPPNMLTKNHKGFDP17DB,坡道平面,1550000,38.58,地下二樓
RPQNMLTKNHKGFDP27DB,坡道平面,1650000,38.58,地下一樓
RPPNMLPJOHKGFBP09CB,坡道平面,1450000,27.89,地下一樓
RPPNMLOJOHKGFAP88CB,坡道平面,1200000,27.99,地下三樓
RPPNMLPJOHKGFAP09DB,一樓平面,1000000,13.75,一樓
RPPNMLPJOHKGFDP66CB,一樓平面,0,22.13,一樓
RPQNMLPJOHKGFDP76CB,一樓平面,0,22.13,一樓
RPPNMLQJOHKGFDP76CB,坡道平面,1200000,34.00,地下二樓
RPQNMLSJOHKGFDP07CB,一樓平面,0,22.13,一樓
RPRNMLSJOHKGFDP17CB,一樓平面,0,22.13,一樓
RPPNMLTJOHKGFAP76CB,坡道平面,1250000,28.10,地下二樓
RPRNMLTJOHKGFAP96CB,坡道平面,1250000,28.10,地下二樓
RPWNMLKMNHKGFDP07CB,一樓平面,0,22.13,一樓
RPQOMLTLNHKGFDP37CB,一樓平面,1100000,19.20,一樓
RPPNMLTLNHKGFDP17CB,一樓平面,900000,21.36,一樓
RPTNMLKMNHKGFDP76CB,一樓平面,0,22.13,一樓
RPOOMLKMNHKGFDP98CB,坡道平面,1700000,32.01,地下一樓
RPPNMLLKOHKGFAP68CB,一樓平面,0,13.75,一樓
RPQNMLPKOHKGFDP86CB,坡道平面,1300000,19.83,地下一樓
RPRNMLPKOHKGFDP96CB,坡道平面,1300000,19.83,地下一樓
RPPNMLRKOHKGFAP66CB,坡道平面,1250000,27.79,地下二樓
RPQNMLRKOHKGFAP76CB,坡道平面,1350000,30.20,地下二樓
RPTNMLTJOHKGFBP27CB,坡道平面,1600000,30.31,地下一樓
RPPNMLLKOHKGFBP78CB,一樓平面,1050000,13.74,一樓
RPQNMLQJOHKGFBP66CB,坡道平面,1350000,30.31,地下一樓
RPQNMLTJOHKGFBP96CB,坡道平面,1600000,30.31,地下一樓
RPPNMLQJOHKGFFP96CB,坡道平面,1050000,33.06,地下一樓
RPPNMLQJOHKGFBP56CB,坡道平面,1500000,30.31,地下一樓
