鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
朴子市,土地,下竹圍段佳禾小段790-4地號,394.0,,特定農業區,農牧用地,1140804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,1269,,0.0,0,總價金包含地上物全部含已興建未保存農舍親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLOJQHKGFBQ96DA,0.0,0.0,0.0,無,
六腳鄉,土地,後崩山段崩山小段108地號,1438.0,,特定農業區,農牧用地,1140805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1438000,1000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKQHKGFBQ86DA,0.0,0.0,0.0,無,
義竹鄉,土地,牛稠底段新富小段286地號,272.6,,鄉村區,乙種建築用地,1140811,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,1101,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLPKQHKGFBQ17DA,0.0,0.0,0.0,無,
竹崎鄉,土地,瓦厝埔段155-5地號,69.0,,一般農業區,農牧用地,1140811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,180000,2609,,0.0,0,,RPPNMLPKQHKGFEQ17DA,0.0,0.0,0.0,無,
布袋鎮,土地,九江段1204地號,86.99,商,,,1140801,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,630000,7242,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；包含公共設施保留地用地；,RPSNMLSKQHKGFBQ47DA,0.0,0.0,0.0,無,0001
民雄鄉,土地,鎮北段9地號,1485.56,,一般農業區,水利用地,1140817,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,917919,618,,0.0,0,,RPPNMLSKQHKGFCQ27DA,0.0,0.0,0.0,無,
中埔鄉,土地,隆恩段526-2地號,63.85,,特定農業區,甲種建築用地,1140804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,6265,,0.0,0,共有土地,RPWNMLOJQHKGFDQ57DA,0.0,0.0,0.0,無,0002
水上鄉,土地,粗溪新段981地號,783.62,,特定農業區,農牧用地,1140802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,860000,1097,,0.0,0,未登記建物；,RPTNMLMKQHKGFDQ17DA,0.0,0.0,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市安仁里頂港子墘３９之６號五樓之１５,8.02,,鄉村區,乙種建築用地,1140806,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930609,21.810000000000002,1,0,1,有,無,1600000,73361,,0.0,0,其他增建；,RPRNMLPKQHKGFDQ27DA,13.98,0.0,2.28,有,
