鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２０３號,0.0,,,,1140513,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0920821,57.0,0,0,0,無,無,無,18000,316,,0.0,0,,RPPNMLNKNHKGFBQ09CC,,無,1140525~1150524,無,,
新港鄉,租賃房屋,嘉義縣新港鄉三間厝２６３-１號,92.84,,工業區,丁種建築用地,1140513,土地1建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1130709,193.08,5,2,3,有,無,無,26000,135,,0.0,0,,RPPNMLNKNHKGFCQ56CC,整棟(戶)出租,無,1140601~1150531,無,熱水器,
布袋鎮,租賃房屋,嘉義縣布袋鎮新南路６５號,0.0,,,,1140512,土地0建物1車位0,全,4,透天厝,住商用,鋼骨鋼筋混凝土造,0831030,163.48,4,1,3,有,無,無,5000,31,,0.0,0,此為嘉義縣政府包租代管計畫。,RPQNMLQKNHKGFBQ86CC,整棟(戶)出租,無,1140515~1150514,無,冷氣、熱水器、洗衣機,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉豐收村７鄰大學路二段３５１０號５樓之２,0.0,,,,1140512,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851203,36.67,1,0,1,有,無,有,4200,115,,0.0,0,此為嘉義縣政府包租代管計畫。續租案件；,RPRNMLQKNHKGFCQ07CC,獨立套房,無,1140515~1150514,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
中埔鄉,租賃房屋,嘉義縣中埔鄉和睦村中華路３１８巷１號,0.0,,,,1140513,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0880611,123.88,4,2,3,有,無,有,9000,73,,0.0,0,此為嘉義縣政府包租代管計畫。續租案件；,RPQNMLQKNHKGFDQ07CC,整棟(戶)出租,無,1140531~1150530,無,熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
水上鄉,租賃房屋,嘉義縣水上鄉粗溪村粗溪２０之２０３號,0.0,,,,1140514,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),店舖、集合住宅、起居室,鋼筋混凝土造,0830819,225.22,4,1,3,有,有,無,7000,31,,0.0,0,此為嘉義縣政府包租代管計畫。,RPRNMLQKNHKGFDQ17CC,整棟(戶)出租,有,1140518~1150517,有,熱水器、瓦斯或天然氣,社會住宅代管
新港鄉,租賃房屋,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,,,1140513,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1100202,32.36,9,1,10,有,無,有,6300,195,,0.0,0,續租案件；,RPPNMLTKNHKGFCQ17CC,分租套房,無,1140701~1150630,無,冷氣、熱水器、洗衣機、冰箱,一般代管
太保市,租賃房屋,嘉義縣太保市中山路一段２２８巷１９弄３０號７樓７,0.0,,,,1140516,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0821006,48.449999999999996,1,0,1,有,有,有,6200,128,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。續租案件；,RPPNMLTKNHKGFDQ27CC,獨立套房,有,1140519~1150518,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中埔鄉,租賃房屋,嘉義縣中埔鄉頂山門２８號之３,0.0,,,,1140519,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0710227,150.8,0,0,0,無,無,無,23000,153,,0.0,0,甲方同意提拱乙方自公證日起至民國114年6月30日止之免收租金裝潢期乙方於免收租金裝潢期間使用租賃物如有發生任何事故或支出任何費用含水電均由乙方負責。,RPSNMLTKNHKGFDQ57CC,,無,1140701~1160630,無,,
民雄鄉,租賃房屋,嘉義縣民雄鄉豐收村７鄰大學路二段３５１０號五樓之七,0.0,,,,1140516,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851203,32.56,1,0,1,有,有,有,4200,129,,0.0,0,此為嘉義縣社會住宅包租代管計畫。,RPPNMLMLNHKGFCQ56CC,獨立套房,有,1140525~1150524,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之１３號,0.0,,,,1140517,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0940815,41.86,1,0,1,有,有,無,12000,287,,0.0,0,此為嘉義縣社會住宅包租代管計畫。,RPPNMLMLNHKGFDQ66CC,獨立套房,有,1140517~1150516,有,冷氣、熱水器、冰箱,社會住宅代管
朴子市,租賃房屋,嘉義縣朴子市?菜埔４２之３９號,0.0,,,,1140521,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0640401,81.0,3,1,2,有,無,有,14500,179,,0.0,0,此為嘉義縣政府包租代管計畫。,RPPNMLNLNHKGFBQ56CC,整棟(戶)出租,無,1140522~1150521,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉福樂村３６鄰埤角１之７２號,0.0,,,,1140522,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0871126,176.7,4,1,3,有,無,有,15000,85,,0.0,0,此為嘉義縣政府包租代管計畫。,RPPNMLNLNHKGFCQ66CC,整棟(戶)出租,無,1140526~1150525,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之７號１樓之２３,0.0,,,,1140521,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,5200,223,,0.0,0,此為嘉義縣政府包租代管計畫。管理費300元由出租人負擔。續租案件；,RPPNMLNLNHKGFDQ76CC,獨立套房,有,1140601~1150531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
太保市,租賃房屋,嘉義縣太保市太保里保鐵十二路１５６號４樓之８,0.0,,,,1140520,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,101.46,2,1,2,有,有,有,16000,158,,0.0,0,此為嘉義縣政府包租代管計畫。,RPQNMLNLNHKGFDQ86CC,整棟(戶)出租,有,1140523~1150522,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
