編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLNKNHKGFCQ56CC,1,193.08,住宅、樓梯間,鋼筋混凝土造,113年7月9日,三層,,
RPPNMLNKNHKGFBQ09CC,22,57.00,商業用,鋼筋混凝土造,92年8月21日,五層,,
RPQNMLQKNHKGFBQ86CC,31,163.48,住商用,鋼骨鋼筋混凝土造,83年10月30日,四層,,
RPPNMLNLNHKGFBQ56CC,50,81.00,住家用,鋼筋混凝土加強磚造,64年4月1日,二層,,
RPPNMLMLNHKGFCQ56CC,28,22.44,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLMJOHKGFCQ09CC,42,62.00,集合住宅,鋼筋混凝土造,72年3月12日,五層,,
RPPNMLTKNHKGFCQ17CC,4,32.36,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPPNMLMJOHKGFCQ09CC,42,7.98,共有部分,鋼筋混凝土造,72年3月12日,五層,,
RPPNMLMLNHKGFCQ56CC,28,10.12,共有部份,鋼筋混凝土造,85年12月3日,五層,,
RPRNMLQKNHKGFCQ07CC,28,25.14,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPQNMLMJOHKGFCQ56CC,28,22.44,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPRNMLQKNHKGFCQ07CC,28,11.53,共有部份,鋼筋混凝土造,85年12月3日,五層,,
RPQNMLMJOHKGFCQ56CC,28,10.12,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLNLNHKGFCQ66CC,26,176.70,住家用,鋼筋混凝土造,87年11月26日,三層,,
RPQNMLNJOHKGFCQ66CC,28,27.54,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLNJOHKGFBQ09CC,31,83.75,住家用,鋼筋混凝土造,83年9月10日,十二層,,
RPQNMLNJOHKGFCQ66CC,28,12.37,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLNJOHKGFBQ09CC,31,8.41,樓梯間,鋼筋混凝土造,83年9月10日,十二層,,
RPPNMLNJOHKGFBQ09CC,31,24.14,防空避難室﹒停車空間,鋼筋混凝土造,83年9月10日,十三層,,
RPPNMLOJOHKGFBQ56CC,39,135.44,住家用,鋼筋混凝土加強磚造,74年11月30日,二層,,
RPPNMLOJOHKGFCQ66CC,28,25.64,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLOJOHKGFCQ66CC,28,11.53,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPQNMLOJOHKGFCQ76CC,28,25.64,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
