鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
玉里鎮,土地,德武段907地號,5246.56,,特定農業區,農牧用地,1140801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,858,,0.0,0,,RPPNMLLKQHKGFCU96DA,0.0,0.0,0.0,無,
吉安鄉,建物,花蓮縣吉安鄉中山路三段４５７號,0.0,,,,1140805,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0961109,91.47,4,2,3,有,無,1500000,16399,,0.0,0,建物坐落地號：慶豐段2146-2地號；親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPKQHKGFAU77DA,80.88,0.0,10.59,無,
壽豐鄉,土地,潭北段917地號,34.86,都市：其他:綠(帶)地,,,1140808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,80321,,0.0,0,未登記建物；包含公共設施保留地用地；,RPPNMLRKQHKGFAU37DA,0.0,0.0,0.0,無,
花蓮市,土地,德安段628-15地號,55.83,,,,1140808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350400,24188,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSKQHKGFAU28DA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉北一街１巷６號,47.0,農,,,1140806,土地1建物1車位0,全,一層,透天厝,住家用,水泥木造,0650818,37.15,0,2,1,有,無,1000000,26918,,0.0,0,,RPSNMLMKQHKGFAU17DA,37.15,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉自強路５１巷１０號,218.0,住,,,1140807,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680514,220.84,3,2,3,有,無,10000000,45282,,0.0,0,,RPQNMLKLQHKGFAU86DA,220.84,0.0,0.0,無,
花蓮市,土地,主商段1245地號,79.0,住,,,1140805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7705000,97532,,0.0,0,,RPOOMLKLQHKGFAU76DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,新舞鶴段1800地號,212.85,,鄉村區,乙種建築用地,1140802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,730000,3430,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLNJQHKGFCU07DA,0.0,0.0,0.0,無,
壽豐鄉,房地(土地+建物)+車位,花蓮縣壽豐鄉志學新１９５之１號,46.57,住,,,1140806,土地1建物1車位1,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,138.96,4,2,2,有,有,3400000,24467,一樓平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLLQHKGFAU07DA,91.9,3.5,7.58,無,001
豐濱鄉,土地,豐義段411地號,560.98,都市：其他:住宅區,,,1140812,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,5704,,0.0,0,包含公共設施保留地用地；,RPPNMLKLQHKGFBU86DA,0.0,0.0,0.0,無,002
鳳林鎮,土地,北林段813-2地號,87.46,,特定農業區,甲種建築用地,1140801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,14864,,0.0,0,,RPPNMLTKQHKGFBU67DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５３號十樓之六,2.84,商,,,1140811,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,31.19,1,1,1,有,有,1800000,57711,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPLQHKGFAU47DA,17.97,0.0,3.08,有,
玉里鎮,土地,玉城段1505地號,373.14,住,,,1140805,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9800000,26264,,0.0,0,,RPRNMLLKQHKGFCU17DA,0.0,0.0,0.0,無,
玉里鎮,土地,永良段163地號,251.12,,特定農業區,甲種建築用地,1140820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,2389,,0.0,0,,RPPNMLQLQHKGFCU57DA,0.0,0.0,0.0,無,
萬榮鄉,土地,新白陽段390地號,105.35,,一般農業區,農牧用地,1140814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,285,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPLQHKGFBU47EA,0.0,0.0,0.0,無,
