編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLLQHKGFAU07DA,一樓平面,0,,一樓
RPPOMLSJRHKGFAU57DA,升降機械,0,6.65,地下一樓
RPSNMLRJQHKGFAU57DA,坡道平面,0,,地下一樓
RPPNMLPJRHKGFAU17DA,坡道平面,0,30.21,地下一樓
RPVNMLOLOHKGFAU57DA,一樓平面,0,13.51,一樓
RPVNMLOLOHKGFAU57DA,一樓平面,0,13.51,一樓
RPPNMLQLOHKGFAU17DA,一樓平面,800000,1.76,一樓
RPTNMLQLOHKGFAU57DA,一樓平面,1500000,15.00,一樓
RPXNMLNJPHKGFAU57DA,一樓平面,0,33.45,一樓
RPPOMLSJPHKGFAU37DA,一樓平面,0,33.45,一樓
RPTOMLKKPHKGFAU07DA,坡道平面,0,,地下一樓
RPPNMLSJPHKGFCU47DA,一樓平面,0,11.82,一樓
RPUNMLRJPHKGFAU67DA,坡道平面,0,30.44,地下一樓
RPPNMLKMQHKGFAU86DA,一樓平面,0,33.45,一樓
RPQNMLKMOHKGFAU76DA,坡道平面,0,24.01,地下一樓
RPQNMLMJPHKGFAU76DA,一樓平面,0,13.75,一樓
RPPNMLQJPHKGFCU27DA,一樓平面,0,11.82,一樓
RPVNMLKKPHKGFCU37DA,一樓平面,0,11.82,一樓
RPWOMLLLPHKGFAU57DA,一樓平面,1400000,30.23,一樓
RPOPMLLLPHKGFAU86DA,一樓平面,1500000,30.23,一樓
RPPPMLLLPHKGFAU96DA,一樓平面,1400000,30.23,一樓
RPWNMLRKOHKGFAU87DA,坡道平面,0,24.01,地下一樓
RPUNMLOJOHKGFAU27DA,一樓平面,1200000,22.85,一樓
RPRNMLNJPHKGFAU96DA,坡道平面,1500000,28.64,地下一樓
RPSNMLNJPHKGFAU07DA,坡道平面,1500000,28.64,地下一樓
RPWNMLOKQHKGFAU77DA,坡道平面,0,22.78,地下一樓
RPQOMLQKOHKGFAU27DA,升降平面,1000000,28.64,地下二樓
RPQOMLQKOHKGFAU27DA,升降平面,1000000,28.64,地下二樓
RPTNMLNJPHKGFAU17DA,坡道平面,1500000,28.64,地下一樓
RPUNMLNJPHKGFAU27DA,坡道平面,1500000,28.64,地下一樓
RPXNMLKLQHKGFAU57DA,坡道平面,1300000,28.64,地下一樓
RPROMLQKOHKGFAU37DA,一樓平面,1500000,28.64,一樓
RPQNMLMLOHKGFAU86DA,升降平面,1000000,28.64,地下二樓
RPPNMLKLQHKGFAU76DA,升降平面,1000000,28.64,地下二樓
RPROMLPLPHKGFAU47DA,升降機械,700000,5.15,一樓
RPUOMLPLPHKGFAU77DA,升降機械,700000,5.15,一樓
RPWOMLPLPHKGFAU97DA,升降機械,700000,5.15,一樓
RPTNMLLLPHKGFAU17DA,升降機械,600000,5.15,一樓
RPPOMLQJOHKGFAU07DA,升降平面,1000000,28.64,地下二樓
RPXNMLQJOHKGFAU77DA,升降平面,1000000,28.64,地下二樓
RPOOMLQJOHKGFAU96DA,升降平面,1000000,28.64,地下二樓
RPRNMLLLPHKGFAU96DA,升降機械,700000,5.15,一樓
RPQOMLLLPHKGFAU96DA,升降機械,700000,5.15,一樓
RPSOMLPLPHKGFAU57DA,升降機械,600000,5.15,一樓
RPQNMLMLQHKGFAU07DA,升降機械,600000,5.15,一樓
RPTNMLTJOHKGFAU67DA,坡道平面,1500000,28.64,地下一樓
RPSOMLQJOHKGFAU37DA,坡道平面,1500000,28.64,地下一樓
RPXOMLPLPHKGFAU08DA,升降機械,700000,5.15,一樓
RPQOMLQJOHKGFAU17DA,升降平面,1000000,28.64,地下二樓
RPSPMLLLPHKGFAU27DA,坡道平面,1500000,28.64,地下一樓
RPVNMLQJOHKGFAU57DA,坡道平面,1500000,28.63,地下一樓
RPSOMLLLPHKGFAU17DA,升降機械,800000,5.15,一樓
RPVNMLLLPHKGFAU37DA,升降機械,800000,5.15,一樓
RPPNMLMLOHKGFAU76DA,坡道平面,1500000,28.64,地下一樓
RPSNMLKLOHKGFAU86DA,坡道平面,1300000,26.47,一樓
RPXNMLKLOHKGFAU37DA,坡道平面,1300000,28.64,地下一樓
RPQOMLPLPHKGFAU37DA,升降機械,600000,5.15,一樓
RPXNMLOJQHKGFAU77DA,坡道平面,1200000,13.75,地下一樓
RPPOMLQKOHKGFAU17DA,升降平面,1000000,28.64,地下二樓
RPSNMLLLPHKGFAU07DA,一樓平面,1100000,16.50,一樓
RPXOMLLLPHKGFAU67DA,一樓平面,1100000,16.50,一樓
RPRNMLOKNHKGFAU96DA,坡道平面,477000,13.75,地下一樓
RPROMLLJQHKGFAU96DA,坡道平面,1600000,13.75,一樓
RPPOMLLMPHKGFAU96DA,坡道平面,1500000,13.75,地下一樓
RPVOMLQLNHKGFAU77DA,坡道平面,374000,13.75,地下一樓
RPOOMLLJQHKGFAU66DA,坡道平面,1400000,12.65,地下一樓
RPSOMLLMPHKGFAU27DA,坡道平面,1400000,12.65,地下一樓
RPUNMLPJOHKGFAU37DA,升降機械,800000,7.70,一樓
RPSNMLOKNHKGFAU07DA,坡道平面,374000,13.75,地下一樓
RPVNMLNJPHKGFAU37DA,坡道平面,1500000,31.23,地下一樓
RPQNMLKLOHKGFAU66DA,坡道平面,1200000,26.47,地下一樓
RPSOMLOJQHKGFAU37DA,坡道平面,1500000,13.75,地下一樓
RPWOMLLJQHKGFAU47DA,坡道平面,1500000,13.75,一樓
RPPNMLRJQHKGFAU27DA,坡道平面,1500000,28.64,地下一樓
RPTNMLPLOHKGFAU47DA,坡道平面,1500000,28.64,地下一樓
RPUNMLPJNHKGFAU27DA,坡道平面,477000,13.75,地下一樓
RPPOMLMJNHKGFAU56DA,坡道平面,374000,13.75,地下一樓
