編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMLNHKGFAU07CC,民生段,19.00,都市：商,,,,06870000
RPSNMLMLNHKGFAU07CC,民生段,199.00,都市：商,,,,06880000
RPQNMLQLNHKGFAU27CC,富國段,3.00,都市：商,,,,03090000
RPPNMLQKNHKGFAU17DC,東升段,124.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09370000
RPPNMLNJOHKGFAU86DC,太昌段,148.76,都市：農,,,,16370000
RPRNMLNJOHKGFAU07DC,樹人段,75.00,都市：住,,,,02960000
RPQNMLNJOHKGFAU96DC,民孝段,38.85,都市：住,,,,00390000
RPOOMLPJOHKGFAU96CC,裕民段,783.00,都市：商,,,,04590000
RPRNMLRKOHKGFAU57DC,太昌段,24.00,都市：其他:道路用地,,,,03900011
RPQNMLSKOHKGFAU57DC,慈安段,9.00,都市：商,,,,12220000
RPPNMLTKOHKGFAU57DC,德安段,68.00,都市：住,,,,16100000
RPPNMLSKOHKGFAU37CC,南埔段,600.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,25100000
RPPNMLSKOHKGFAU37CC,南埔段,502.50,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,25120000
RPPNMLMJPHKGFAU86DC,嘉北段,71.00,都市：住,,,,09490031
RPQNMLMJPHKGFAU96DC,林森段,95.00,都市：住,,,,27850000
RPRNMLLKPHKGFAU07DC,明義段,85.00,都市：其他:公園兼兒童遊樂場用地,,,,01290000
RPSNMLLKPHKGFAU17DC,國風段,96.00,都市：住,,,,00610000
RPXNMLPKPHKGFAU97CC,富國段,217.00,都市：商,,,,03550001
RPPNMLSJQHKGFCU67CC,玉城段,112.00,都市：住,,,,13350009
RPRNMLSJQHKGFAU77DC,仁和段,140.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06700006
RPQNMLRLQHKGFAU67CC,太昌段,213.00,都市：住,,,,19110000
RPQNMLLLQHKGFAU07CC,四維段,193.07,都市：農,,,,05590002
RPPNMLRLQHKGFAU57CC,仁恥段,89.00,都市：住,,,,03600000
