編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLOKQHKGFAV97DA,,84.77,住商用,鐵筋水泥磚,,一層,一層 騎樓,全筆移轉
RPQNMLLKQHKGFAV96DA,,206.06,住宅,鋼筋混凝土造,114年4月2日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLSJQHKGFAV67DA,30,8.86,電梯、門廊、水箱、樓梯、配電室、機械室公同共有使用,鋼筋混凝土造,84年3月27日,十層,,持分移轉
RPRNMLSJQHKGFAV67DA,30,38.85,集合住宅,鋼筋混凝土造,84年3月27日,十層,五層 陽台,全筆移轉
RPQNMLRLQHKGFAV67DA,30,12.08,避難室．樓梯間．走道（共同使用部份）,鋼筋混凝土結構造,84年10月4日,十二層,,持分移轉
RPQNMLRLQHKGFAV67DA,30,20.85,集合住宅,鋼筋混凝土結構造,84年10月4日,十二層,八層,全筆移轉
RPUNMLPLQHKGFAV87DA,1,166.97,Ｈ２住宅,鋼筋混凝土造,113年5月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLPLQHKGFAV47EA,30,33.64,住家用,鋼筋混凝土造,85年1月13日,四層,一層 二層 三層 四層 見其他登記事項,持分移轉
RPPNMLLLQHKGFAV96DA,32,2.20,避難室．機械室．共同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．共同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.67,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.67,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,102.22,集合住宅,鋼筋混凝土造,82年12月3日,四層,二層 陽台,全筆移轉
RPPNMLLLQHKGFAV96DA,32,3.49,避難室．機械室．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.24,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLLLQHKGFAV96DA,32,.25,樓梯間．屋頂突出物．公同使用,鋼筋混凝土造,82年12月3日,四層,,持分移轉
RPPNMLPKQHKGFBV37DA,38,30.56,住家用,加強磚造,76年8月4日,二層,一層 二層 屋頂突出物 騎樓,持分移轉
RPTNMLLLQHKGFAV37DA,11,180.59,農舍,鋼骨造,103年3月11日,一層,一層,全筆移轉
RPPNMLMKQHKGFAV96DA,22,152.42,住商用,鋼筋混凝土造,92年2月24日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLSJQHKGFDV87DA,31,31.54,套房,鋼筋混凝土造,83年9月30日,八層,七層 陽台,全筆移轉
RPQNMLLKQHKGFDV27DA,30,6.94,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPQNMLLKQHKGFDV27DA,30,30.87,套房,鋼筋混凝土造,84年7月14日,八層,四層 見其他登記事項,全筆移轉
RPQNMLTKQHKGFDV08DA,27,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,五層 陽台,全筆移轉
RPQNMLTKQHKGFDV08DA,27,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLTKQHKGFDV08DA,27,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLTKQHKGFDV08DA,27,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPPNMLRJQHKGFAV37DA,2,61.93,集合住宅,ＲＣ造,112年5月30日,十一層,七層 見其他登記事項,全筆移轉
RPPNMLRJQHKGFAV37DA,2,28.69,共有部分,ＲＣ造,112年5月30日,十一層,,持分移轉
RPPNMLRJQHKGFAV37DA,2,18.99,共有部分,ＲＣ造,112年5月30日,十一層,,持分移轉
RPRNMLPJRHKGFCV67DA,7,223.50,Ｃ２農產品加工室,鋼筋混凝土造,107年3月16日,一層,一層,全筆移轉
RPSNMLMJRHKGFAV27DA,31,156.78,住商用,鋼筋混凝土造,83年9月1日,四層,一層 二層 三層 四層 陽台 騎樓,持分移轉
RPPNMLNJRHKGFAV07DA,46,91.96,住家用,加強磚造,68年11月7日,二層,一層 二層 騎樓,全筆移轉
RPPNMLSJRHKGFAV57DA,,300.00,農業設施（集貨及包裝場所）,鋼骨造,114年4月9日,一層,一層,全筆移轉
RPQNMLOJRHKGFAV27DA,31,20.51,避難室，電梯．樓梯．地下室．通廊共同使用,鋼筋混凝土造,83年4月19日,十四層,,持分移轉
RPQNMLOJRHKGFAV27DA,31,58.04,集合住宅,鋼筋混凝土造,83年4月19日,十四層,四層 陽台,全筆移轉
RPPNMLRKPHKGFDV67DA,40,115.30,住家用,加強磚造,74年2月12日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTKPHKGFBV67DA,13,1359.87,停車空間、旅館、樓梯間,鋼骨ＲＣ造,101年8月30日,三層,一層 二層 三層 屋頂突出物 地下一層 見其他登記事項,全筆移轉
RPWNMLKKPHKGFAV37DA,1,170.14,Ｈ２住宅,鋼筋混凝土造,113年5月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLNJPHKGFAV86DA,45,93.16,住家用,加強磚造,69年5月11日,二層,一層 二層,全筆移轉
RPPNMLPLPHKGFCV47DA,31,167.25,住商用,鋼筋混凝土造,83年11月28日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPROMLSJPHKGFAV67DA,45,107.09,住家用,加強磚造,69年2月4日,二層,一層 二層,全筆移轉
RPVNMLKKPHKGFAV27DA,1,170.06,Ｈ２住宅,鋼筋混凝土造,113年5月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLTJPHKGFAV67DA,,4.97,樓梯間,鋼筋混凝土造,,四層,,持分移轉
RPRNMLTJPHKGFAV67DA,42,88.65,集合住宅,鋼筋混凝土造,72年10月12日,四層,二層 陽台,全筆移轉
RPQOMLSJPHKGFAV57DA,45,110.73,住家用,加強磚造,69年2月4日,二層,一層 二層,全筆移轉
RPPNMLLLPHKGFAV86DA,30,14.03,電梯、門廊、水箱、樓梯、配電室、機械室公同共有使用,鋼筋混凝土造,84年3月27日,十層,,持分移轉
RPPNMLLLPHKGFAV86DA,30,55.03,集合住宅,鋼筋混凝土造,84年3月27日,十層,五層,全筆移轉
RPUNMLMLPHKGFAV47DA,52,84.00,住家用,鐵筋水泥磚,62年1月23日,二層,一層 二層 騎樓,全筆移轉
RPSNMLRLOHKGFAV67DA,56,53.01,住家用,鐵筋水泥磚,58年8月30日,一層,一層,全筆移轉
RPSNMLRLOHKGFAV67DA,49,31.92,住家用,鋼筋混凝土加強磚造,65年3月10日,二層,二層,全筆移轉
RPPNMLPLPHKGFDV67EA,30,81.24,防空避難室暨停車空間,鋼筋混凝土造,84年7月14日,八層,地下一層,持分移轉
RPQNMLPKPHKGFDV57DA,31,31.54,套房,鋼筋混凝土造,83年9月30日,八層,七層 陽台,全筆移轉
RPQNMLPKPHKGFDV57DA,31,5.45,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPPNMLQKPHKGFDV57DA,27,36.32,商業用,鋼筋混凝土造,87年3月6日,十五層,七層 陽台,全筆移轉
RPPNMLQKPHKGFDV57DA,27,1.17,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLQKPHKGFDV57DA,27,7.50,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLQKPHKGFDV57DA,27,5.77,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPPNMLTJPHKGFDV77DA,32,35.56,出租套房,鋼筋混凝土造,82年11月8日,八層,二層 陽台,全筆移轉
RPPNMLKKPHKGFDV96DA,27,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,八層 陽台,全筆移轉
RPPNMLTJPHKGFDV77DA,32,13.01,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,,持分移轉
RPPNMLKKPHKGFDV96DA,27,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLKKPHKGFDV96DA,27,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLKKPHKGFDV96DA,27,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPQNMLKKPHKGFDV07DA,27,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,八層 陽台,全筆移轉
RPQNMLKKPHKGFDV07DA,27,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLKKPHKGFDV07DA,27,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLKKPHKGFDV07DA,27,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPQNMLQJPHKGFDV57DA,27,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,九層 陽台,全筆移轉
RPQNMLQJPHKGFDV57DA,27,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLQJPHKGFDV57DA,27,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLQJPHKGFDV57DA,27,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPQNMLOJPHKGFDV37DA,27,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,十層 陽台,全筆移轉
RPQNMLOJPHKGFDV37DA,27,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLOJPHKGFDV37DA,27,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPQNMLOJPHKGFDV37DA,27,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPRNMLRJQHKGFAV57DA,1,167.34,Ｈ２住宅,鋼筋混凝土造,113年5月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
