編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKPHKGFAV37CB,其他,700000,,一樓
RPQNMLRKPHKGFAV47CB,一樓平面,1000000,28.49,一樓
RPPNMLLLPHKGFAV86CB,坡道平面,1060000,33.67,地下二樓
RPQNMLSKQHKGFAV67CB,其他,0,,一樓
RPPNMLQJOHKGFAV07CB,一樓平面,1000000,28.49,一樓
RPRNMLOLOHKGFAV27CB,一樓平面,800000,13.75,一樓
RPRNMLKLOHKGFAV86CB,一樓平面,1400000,22.20,一樓
RPQNMLQJOHKGFAV17CB,一樓平面,1100000,18.72,一樓
RPPNMLOLOHKGFAV07CB,其他,800000,,一樓
RPPNMLQKOHKGFAV17CB,其他,0,,一樓
RPTNMLOLOHKGFAV47CB,一樓平面,750000,13.75,一樓
RPPNMLOKPHKGFAV07CB,其他,0,,一樓
RPQNMLOKPHKGFAV17CB,其他,0,,一樓
RPRNMLOKPHKGFAV27CB,其他,0,,一樓
RPQNMLOLOHKGFAV17CB,一樓平面,650000,13.75,一樓
RPSNMLOLOHKGFAV37CB,一樓平面,800000,13.75,一樓
RPPNMLKKPHKGFAV66CB,一樓平面,1200000,12.65,一樓
RPQNMLQKOHKGFAV27CB,其他,0,,一樓
RPTNMLSKQHKGFAV97CB,其他,1000000,25.06,地下一樓
RPPNMLKLQHKGFAV86CB,其他,800000,,一樓
RPPNMLKLNHKGFAV56CB,坡道平面,860000,33.67,地下三樓
