編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLJPHKGFAX07CC,17,20.18,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPRNMLKKOHKGFAX07CC,14,25.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLOKOHKGFAX27CC,17,20.18,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPPNMLLJPHKGFAX96CC,17,20.18,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPPNMLKKOHKGFAX86CC,17,20.00,住家用,鋼筋混凝土造,97年4月14日,二層,,
RPSNMLKKOHKGFAX17CC,14,15.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPRNMLLJPHKGFAX17CC,17,21.13,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPQNMLKKOHKGFAX96CC,17,16.00,住家用,鋼筋混凝土造,97年4月14日,二層,,
RPPOMLLJPHKGFAX07CC,24,25.11,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPXNMLLJPHKGFAX77CC,24,35.00,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPUOMLLJPHKGFAX57CC,15,46.20,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPQOMLLJPHKGFAX17CC,24,25.11,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPTOMLLJPHKGFAX47CC,15,32.70,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPVOMLLJPHKGFAX67CC,15,32.70,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPOOMLLJPHKGFAX96CC,24,25.11,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPQPMLLJPHKGFAX27CC,11,20.20,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPTNMLLJPHKGFAX37CC,17,29.00,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPPPMLLJPHKGFAX17CC,11,40.10,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPROMLLJPHKGFAX27CC,29,31.90,住家用,鋼筋混凝土造,85年1月18日,四層,,
RPOPMLLJPHKGFAX07CC,11,35.36,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPWOMLLJPHKGFAX77CC,15,25.10,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPWNMLLJPHKGFAX67CC,6,33.46,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPVNMLLJPHKGFAX57CC,6,26.54,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPSPMLLJPHKGFAX47CC,11,21.40,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPRPMLLJPHKGFAX37CC,11,20.20,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPXOMLLJPHKGFAX87CC,11,29.30,住家用,鋼筋混凝土造,103年10月30日,三層,,
RPSOMLLJPHKGFAX37CC,15,28.30,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPPNMLRKPHKGFAX67CC,14,13.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPQNMLRKPHKGFAX77CC,14,14.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPRNMLNLPHKGFAX57CC,41,92.80,集合住宅,鋼筋混凝土造,73年6月29日,五層,,
RPPNMLPLPHKGFAX57CC,10,27.00,住家用,鋼筋混凝土造,104年11月5日,四層,,
RPQNMLNLPHKGFAX47CC,15,25.10,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPUNMLLJPHKGFAX47CC,6,33.46,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPSNMLLJPHKGFAX27CC,17,29.00,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPSNMLNLPHKGFAX67CC,17,20.18,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPPNMLPKQHKGFAX57CC,14,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLSLQHKGFAX97CC,41,20.61,集合住宅,鋼筋混凝土造,73年6月29日,五層,,
RPQNMLSLQHKGFAX08CC,41,20.10,集合住宅,鋼筋混凝土造,73年6月29日,五層,,
RPPNMLNLPHKGFAX37CC,29,90.90,住家用,鋼筋混凝土造,85年2月2日,八層,,
RPRNMLSLQHKGFAX18CC,41,20.10,集合住宅,鋼筋混凝土造,73年6月29日,五層,,
RPQNMLLLPHKGFAX27CC,14,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLLMPHKGFAX27CC,14,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPQNMLLMPHKGFAX37CC,17,60.00,住家用,鋼筋混凝土造,97年4月14日,二層,,
RPPNMLMLQHKGFAX37CC,24,25.11,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPRNMLLMPHKGFAX47CC,33,12.00,住商用,鋼筋混凝土造,81年4月9日,四層,,
RPQNMLOJQHKGFAX47CC,10,23.00,住家用,鋼筋混凝土造,104年11月5日,四層,,
RPPNMLLLPHKGFAX17CC,14,12.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLOJQHKGFAX37CC,33,15.00,住商用,鋼筋混凝土造,81年4月9日,四層,,
RPQNMLNJPHKGFAX37DC,4,16.86,住家用,鋼筋混凝土造,110年12月23日,三層,,
RPPNMLSLPHKGFAX97DC,54,182.00,住家用,鋼筋加強,60年9月1日,二層,,
RPPNMLNJPHKGFAX27DC,24,68.13,住商用,鋼筋混凝土造,91年1月2日,四層,,
