編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMKJIKGFCA37DA,8,.08,一般事務所,鋼筋混凝土造,106年9月5日,十五層,一層,持分移轉
RPSNMLMKJIKGFCA37DA,8,36.54,本共有項目有：乙梯特別安全梯、電訊機房、走廊、門廳兼排煙室、１３人份升降機、１７人份供行動不便者使用緊急升降機、管委會使用空間、管委會辦公室、水錶室、進風、排煙、梯廳、甲梯、特別安全梯、樓梯間、水箱、機房、消防水箱、發電機房、發電排氣、發電進氣、排煙室、消防泵室、甲梯特別安全梯、甲梯戶外安全梯、控制室、增設公用停車位專用樓梯、丙梯一般安全梯、１０人份升降機供行動不便者使用、台電配電室、電氣室、過濾機房、電訊及資訊室、太陽能光電儲電池室、排風機房、管理員室、蓄水池（一）、蓄水池（二）、雨水處理機房、光能變電室、垃圾儲存空間、景觀噴灌設備機房、消防系統控制室、景觀水池機房、大廳、陽台等４６項。,鋼筋混凝土造,106年9月5日,十五層,,持分移轉
RPSNMLMKJIKGFCA37DA,8,.02,本共有項目有：甲梯戶外安全梯、排煙室、進風、排煙、走廊、門廳兼排煙室、１３人份升降機、１７人份供行動不便者使用緊急升降機、乙梯特別安全梯等９項。,鋼筋混凝土造,106年9月5日,十五層,,持分移轉
RPQNMLPJKIKGFBA47EA,20,87.58,住家用,鋼骨鋼筋混凝土造,94年7月29日,十四層,十層 陽臺,全筆移轉
RPQNMLPJKIKGFBA47EA,20,58.44,共有部分,鋼骨鋼筋混凝土造,94年7月29日,十四層,,持分移轉
RPQNMLPJKIKGFBA47EA,20,20.29,共有部分,鋼骨鋼筋混凝土造,94年7月29日,十四層,,持分移轉
RPPNMLPJJIKGFFA67EA,45,30.78,見使用執照,鋼筋混凝土造,69年11月17日,十二層,停車場 地下層,持分移轉
RPPNMLPJJIKGFFA67EA,45,5.39,共有部分,鋼筋混凝土造,69年11月17日,十二層,,持分移轉
RPRNMLPJJIKGFDA57DA,,117.58,集合住宅（Ｈ２）,鋼骨造,114年6月5日,二十二層,四層 陽臺 雨遮,全筆移轉
