編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLPJKIKGFEA18DA,富安段二小段,65.00,都市：其他:住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)及商業區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用應依建築線或俟地籍測量分割後，再確定)。,20,1,持分移轉,02400000
RPVNMLPJKIKGFEA18DA,富安段二小段,36.45,都市：其他:住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,20,1,持分移轉,02530000
RPSNMLMKJIKGFCA37DA,康寧段三小段,.53,都市：其他:第三種住宅區。,10000,2,持分移轉,09400000
RPQNMLPJKIKGFBA47EA,直興段二小段,15.12,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,100000,1749,持分移轉,06160000
RPPNMLTJKIKGFFA18EA,復興段三小段,4.62,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區)。,8,1,持分移轉,00070002
RPPNMLTJKIKGFFA18EA,復興段三小段,13.38,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區)。,8,1,持分移轉,00080000
RPPNMLPJJIKGFFA67EA,通化段六小段,1.18,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,20000,35,持分移轉,04560000
RPPNMLRJJIKGFFA87EA,學府段三小段,.77,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,5368,29,持分移轉,04010000
RPRNMLPJJIKGFDA57DA,永春段二小段,23.31,都市：其他:第三種住宅區。,100000,1140,持分移轉,02840000
RPPNMLQJJIKGFAA27EA,興安段一小段,.26,都市：其他:市場用地(公共設施用地)。62/10/24,10000,1,持分移轉,04870000
