鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
文山區,房地(土地+建物)+車位,臺北市文山區忠順里忠順街二段,15.25,住,,,1140811,土地9建物1車位1,二十二層,27,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,125.37,3,2,2,有,無,33490000,336709,坡道平面,34.52,2900000,,RPQNMLLKQHKGFAA57DB,國泰.悠然,A2-22F號,
大同區,房地(土地+建物),臺北市大同區伊寧街62號,6.37,住,,,1140812,土地4建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,31.74,0,0,1,有,無,10120000,318841,,0.0,0,,RPQNMLMKQHKGFBA67CB,伊寧橋寓,1棟A-7F號,
大同區,房地(土地+建物),臺北市大同區伊寧街62號,5.82,住,,,1140812,土地4建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,29.01,0,0,1,有,無,9270000,319545,,0.0,0,,RPRNMLMKQHKGFBA77CB,伊寧橋寓,1棟B-4F號,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段12號,6.23,商,,,1140811,土地6建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,85.24,2,1,1,有,無,33260000,428749,其他,13.03,2300000,,RPPNMLMKQHKGFCA67CB,南京阿曼,A-09F號,
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段143巷,24.6,住,,,1140812,土地9建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.87,3,2,2,有,無,65350000,488713,坡道平面,34.95,4300000,,RPPNMLOKQHKGFBA77CB,皇翔柏悅,A5棟10F號,1140929全部解約
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段143巷,24.61,住,,,1140811,土地9建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.92,3,2,2,有,無,65060000,486197,坡道平面,34.95,4300000,,RPUNMLOKQHKGFBA28CB,皇翔柏悅,A1棟10F號,
大同區,房地(土地+建物),臺北市大同區大龍街161號、163號、165號、167號,10.23,商,,,1140811,土地4建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,66.33,2,2,1,有,無,21280000,320820,,0.0,0,,RPVNMLOKQHKGFBA38CB,圓山耑宇,B號,
北投區,車位,臺北市北投區中心里中山路1之2號,0.0,商,,,1140814,土地1建物1車位1,地下五層,20,住宅大樓(11層含以上有電梯),停車空間,鋼筋混凝土造,,24.39,0,0,0,無,無,2000000,,其他,24.39,2000000,,RPXNMLPKQHKGFEA98CB,千百度,D-7F號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,27.83,住,,,1140817,土地2建物1車位1,九層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,196.3,3,2,2,有,無,54280000,298991,坡道平面,24.79,3000000,,RPPNMLSKQHKGFAA08CB,元利四季莊園,A棟09F-A05號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1140816,土地2建物1車位1,十八層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.39,3,2,2,有,無,46900000,308555,坡道平面,24.79,2900000,,RPQNMLSKQHKGFAA18CB,元利四季莊園,A棟18F-A06號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1140817,土地2建物1車位1,二十九層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.38,3,2,2,有,無,51590000,337261,坡道平面,24.79,3500000,,RPRNMLSKQHKGFAA28CB,元利四季莊園,B棟29F-B05號,
萬華區,房地(土地+建物),臺北市萬華區峨眉街與康定路交叉口,2.99,商,,,1140813,土地4建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,47.68,0,0,0,無,無,14320000,300336,,0.0,0,,RPPNMLSKQHKGFBA18CB,長虹MVP,B1-06F號,
萬華區,房地(土地+建物),臺北市萬華區峨眉街與康定路交叉口,2.87,商,,,1140814,土地4建物1車位0,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,45.9,1,1,1,有,無,14500000,315904,,0.0,0,,RPQNMLSKQHKGFBA28CB,長虹MVP,B11-09F號,
萬華區,房地(土地+建物),臺北市萬華區峨眉街與康定路交叉口,2.9,商,,,1140813,土地4建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,46.36,0,0,0,無,無,13580000,292925,,0.0,0,,RPRNMLSKQHKGFBA38CB,長虹MVP,B7-06F號,
大安區,房地(土地+建物)+車位,臺北市大安區全安里和平東路三段,7.59,其他,,,1140812,土地31建物1車位1,二十五層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,130.03,2,2,1,有,無,57720000,589864,坡道平面,38.28,3600000,,RPPNMLSKQHKGFFA58CB,德運安和,25F-A6號,
