編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLLKQHKGFCA28CC,石潭段四小段,44.32,都市：住,,,,00740000
RPRNMLPKQHKGFEA48CC,關渡段一小段,1190.27,都市：其他:公園用地(公共設施用地),,,,01450005
RPRNMLPKQHKGFEA48CC,關渡段一小段,870.65,都市：其他:公園用地(公共設施用地),,,,01450006
RPSNMLQKQHKGFFA78CC,復興段三小段,5.50,都市：其他:敦化南北路特定專用區(A區),,,,03100000
RPQNMLSKQHKGFDA58CC,犂和段三小段,6.17,都市：商,,,,00070000
RPXNMLSKQHKGFFA86CC,復興段一小段,.00,都市：商,,,,02450000
RPXNMLSKQHKGFFA86CC,復興段一小段,.00,都市：商,,,,02460000
RPXNMLSKQHKGFFA86CC,復興段一小段,.00,都市：商,,,,02540002
RPVPMLMLQHKGFDA78CC,經貿段,134.47,都市：住,,,,00680000
RPRNMLQLQHKGFDA58CC,三興段二小段,33.00,都市：住,,,,05900000
RPOPMLQLQHKGFCA38CC,東湖段三小段,32.77,都市：住,,,,00080000
RPXNMLSLQHKGFCA66CC,石潭段四小段,16.16,都市：商,,,,03120000
RPTNMLSLQHKGFEA09CC,天母段三小段,.00,都市：住,,,,01870000
RPPNMLKMQHKGFCA77CC,石潭段四小段,26.63,都市：商,,,,02610000
RPQNMLMJRHKGFAA67CC,永昌段六小段,16.00,都市：住,,,,00530000
RPQOMLLJRHKGFEA08CC,蘭雅段二小段,6.00,都市：商,,,,02830000
RPQOMLLJRHKGFEA08CC,蘭雅段二小段,53.50,都市：商,,,,02900014
RPSNMLMJRHKGFDA18CC,吳興段一小段,36.00,都市：商,,,,02480000
RPOOMLMJRHKGFDA87CC,南港段一小段,10.55,都市：住,,,,13200000
RPSOMLMJRHKGFDA28CC,延吉段一小段,85.00,都市：住,,,,02430000
RPQOMLNJRHKGFCA08CC,石潭段四小段,49.23,都市：住,,,,04400000
RPWNMLNJRHKGFEA78CC,三玉段二小段,.00,都市：住,,,,05310000
RPUNMLPJRHKGFDA68CC,三興段二小段,36.11,都市：住,,,,05410000
RPPNMLRJRHKGFEA48CC,行義段三小段,25.16,都市：住,,,,04000000
RPROMLSJRHKGFAA48CC,公訓段三小段,15.42,都市：住,,,,03600000
RPROMLSJRHKGFAA48CC,公訓段三小段,1.94,都市：住,,,,03780001
RPROMLSJRHKGFAA48CC,萬芳段三小段,.01,都市：住,,,,08380001
RPPOMLTJRHKGFAA38CC,木柵段四小段,25.79,都市：住,,,,03970000
RPXNMLTJRHKGFEA86CC,福林段一小段,25.11,都市：住,,,,04260000
RPWNMLTJRHKGFEA76CC,福林段一小段,61.75,都市：住,,,,04260000
RPOOMLMKRHKGFCA87CC,潭美段五小段,52.88,都市：其他:辦公服務區(一)(不得作住宅使用)。,,,,00440000
RPUNMLPKRHKGFCA68CC,西湖段一小段,.00,都市：商,,,,07990000
RPXOMLRKRHKGFCA66CC,榮星段四小段,40.24,都市：商,,,,05990000
RPQPMLRKRHKGFCA68CC,長春段二小段,79.58,都市：商,,,,09310000
RPUPMLRKRHKGFDA56CC,福德段三小段,30.00,都市：住,,,,07150000
RPPNMLSKRHKGFEA78DC,芝蘭段一小段,75.08,都市：住,,,,02340000
RPPNMLKLRHKGFBA67CC,大同段二小段,.00,都市：商,,,,02120000
RPQNMLKLRHKGFDA97CC,西松段二小段,.00,都市：住,,,,06250000
RPQNMLKLRHKGFDA97CC,西松段二小段,.00,都市：住,,,,06260000
RPQNMLKLRHKGFDA97CC,西松段二小段,.00,都市：住,,,,06270000
RPRNMLKLRHKGFEA18CC,福林段三小段,.00,都市：住,,,,06200000
RPQNMLKLRHKGFEA08CC,大業段五小段,1891.61,都市：住,,,,00010000
RPPOMLMLRHKGFEA28CC,溫泉段一小段,.00,都市：其他:特定觀光商業專用區,,,,02270000
