編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUOMLLKQHKGFCB38CC,44,29.70,住商用,鋼筋混凝土造,70年11月3日,四層,,
RPWOMLMKQHKGFCB68CC,34,80.51,住家用,鋼筋混凝土造,80年10月3日,十六層,,
RPWOMLMKQHKGFCB68CC,34,4.90,共同使用部份,鋼筋混凝土造,80年10月3日,十六層,,
RPQOMLMKQHKGFCB08CC,3,18.34,店鋪、住宅、機械室、樓梯間、水塔室,鋼筋混凝土造,111年5月25日,五層,,
RPPPMLLKQHKGFCB97CC,16,47.76,住家用,鋼筋混凝土造,99年2月1日,十一層,,
RPPPMLLKQHKGFCB97CC,16,17.59,本共有部份之項目有：人行道、門廳（Ａ）、外廊（Ａ）、外廊（Ｂ）、公共服務空間、電梯梯間Ａ、緊急昇降機、行動不便者昇降機、Ａ１梯、Ａ２梯、Ａ３梯、車道Ａ、陽台、門廊Ｂ、管理室（管委會使用空間）、廣場式頂蓋型開放空間、沿街步道式頂蓋型開放空間、垃圾處理場、梯廳Ｂ１、開放空間景觀水池、Ｂ１梯、Ｂ２梯、Ｂ３梯、車道Ｂ、緩衝空間、廊道Ａ、排煙室Ａ１電梯梯間、管道室、緊急昇降機、梯廳Ｂ、梯廳兼排煙室、排煙室Ｂ１、廊道Ｂ、電梯梯間排煙室Ａ１、梯間、Ａ１梯、Ａ２梯、Ｂ１梯、Ｂ２梯、機械室、水箱Ａ１、水箱Ａ２、水箱Ｂ１、水箱Ｂ２等四十四項。,鋼筋混凝土造,99年2月1日,十二層,,
RPPOMLMKQHKGFCB97CC,19,200.94,住宅、停車空間、樓梯間,鋼筋混凝土造,95年6月29日,四層,,
RPPPMLLKQHKGFCB97CC,16,6.59,本共有部份之項目有：電表室、台電配電室Ａ、防空避難室兼停車空間、發電機室、過濾機房、行動不便者昇降機、Ａ３梯、台電配電室Ｂ、Ｂ３梯、Ｂ４梯、停車空間、電信室、儲藏室、汙水機房、水箱Ａ、機械室、水箱Ｂ、消防機房等十八項。,鋼筋混凝土造,99年2月1日,十二層,,
RPWOMLNKQHKGFAB58CC,29,19.26,集合住宅,鋼筋混凝土造,85年10月16日,十二層,,
