編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLKKJIKGFDC37DA,44,69.86,住家用,鋼筋混凝土造,70年8月25日,五層,二層,全筆移轉
RPRNMLTKJIKGFDC38EA,27,93.94,住家用,鋼筋混凝土造,88年1月22日,七層,一層 陽台,全筆移轉
RPRNMLTKJIKGFDC38EA,27,13.31,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPRNMLTKJIKGFDC38EA,27,6.65,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPRNMLTKJIKGFDC38EA,27,2.39,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPRNMLTKJIKGFDC38EA,27,2.61,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPSNMLTKJIKGFDC48EA,45,95.06,住家用,鋼筋混凝土造,69年8月27日,四層,三層,全筆移轉
RPXNMLNJJIKGFDC18DA,51,62.10,住家用,加強磚造,64年4月30日,三層,三層,全筆移轉
RPWNMLNJJIKGFDC08DA,30,108.70,住商用,鋼筋混凝土造,84年8月1日,十二層,一層 二層 陽台 平台 騎樓,全筆移轉
RPWNMLNJJIKGFDC08DA,30,38.62,停車場,鋼筋混凝土造,84年8月1日,十二層,地下一層,持分移轉
RPWNMLNJJIKGFDC08DA,30,18.11,共用部份,鋼筋混凝土造,84年8月1日,十二層,,持分移轉
RPWNMLNJJIKGFDC08DA,30,1.88,共用部份,鋼筋混凝土造,84年8月1日,十二層,,持分移轉
RPOOMLRJJIKGFDC77DA,2,113.48,集合住宅,鋼筋混凝土造,112年9月26日,二十九層,六層 陽台 雨遮,全筆移轉
RPOOMLRJJIKGFDC77DA,2,83.64,本建物共有部分之項目有：梯廳．排煙室．緊急昇降機．排煙室兼梯廳．管委會使用空間．陽台．雨遮．中繼消防機房．樓梯間．機械室．電梯機械室．水箱．防空避難室兼停車空間．車道．安全梯．防災中心．排風機房．垃圾儲藏室．垃圾車專用車位．台電配電場所．停車空間．機房．生活水箱．進風機房．機車停車空間．緊急發電室．污水機房．消防水池．消防泵浦機房等共２９項。,鋼筋混凝土造,112年9月26日,二十九層,,持分移轉
RPPNMLLJKIKGFDC37EA,,77.00,住家用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPPNMLMJKIKGFDC47EA,46,71.59,住家用,鋼筋混凝土造,68年9月11日,四層,四層,全筆移轉
RPPNMLLJKIKGFDC27DA,44,97.86,住家用,鋼筋混凝土造,70年12月28日,五層,三層 陽台,全筆移轉
RPRNMLNJKIKGFDC67DA,56,51.21,住家用,加強磚造,58年12月17日,二層,二層,全筆移轉
RPSNMLNKJIKGFDC77DA,42,94.13,商業用,鋼筋混凝土造,72年12月21日,五層,一層 平台 騎樓,全筆移轉
RPSNMLMKJIKGFDC67DA,29,29.33,辦公室,鋼筋混凝土造,85年9月26日,七層,六層,全筆移轉
RPSNMLMKJIKGFDC67DA,29,6.07,共用部份,鋼筋混凝土造,85年9月26日,七層,,持分移轉
RPSNMLMKJIKGFDC67DA,29,2.30,共用部份,鋼筋混凝土造,85年9月26日,七層,,持分移轉
RPOOMLPLJIKGFDC77DA,8,118.41,集合住宅,鋼筋混凝土造,106年10月18日,十五層,七層 陽台 雨遮,全筆移轉
RPOOMLPLJIKGFDC77DA,8,59.03,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPUNMLKLJIKGFDC77DA,34,33.28,停車場及工作間,鋼筋混凝土造,80年12月11日,四層,地下一層,持分移轉
RPRNMLSKJIKGFDC18DA,26,105.66,住家用,鋼筋混凝土造,88年7月17日,六層,四層 陽台,全筆移轉
RPOOMLPLJIKGFDC77DA,8,23.08,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPOOMLPLJIKGFDC77DA,8,.74,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPRNMLSKJIKGFDC18DA,26,39.00,共用部份,鋼筋混凝土造,88年7月17日,六層,,持分移轉
RPSNMLTKJIKGFDC38DA,45,94.85,住家用,鋼筋混凝土造,70年2月17日,五層,四層 陽台,全筆移轉
RPRNMLKLJIKGFDC47DA,29,22.30,住家用,鋼筋混凝土造,86年1月17日,二十層,十八層 陽台,全筆移轉
RPSNMLOLJIKGFDC97DA,52,58.43,住家用,鋼筋混凝土加強磚造,62年12月24日,四層,二層,全筆移轉
RPXNMLRKJIKGFDC68DA,31,100.49,住家用,鋼筋混凝土造,84年1月11日,七層,七層 陽台 花台,全筆移轉
RPXNMLRKJIKGFDC68DA,31,15.43,共用部份,鋼筋混凝土造,84年1月11日,七層,,持分移轉
RPRNMLKLJIKGFDC47DA,29,5.80,共用部份,鋼筋混凝土造,86年1月17日,二十層,,持分移轉
