鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中山區,租賃房屋,基隆市中山區德安路１３之２號,0.0,,,,1140811,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0600106,56.54,2,1,1,有,無,有,10000,177,,0.0,0,,RPWNMLLKQHKGFDC68CC,整棟(戶)出租,無,1140811~1150810,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街３９０號四樓,0.0,,,,1140811,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,99.23,3,1,2,有,有,有,11000,111,,0.0,0,續租案件；,RPRNMLMKQHKGFDC28CC,整棟(戶)出租,無,1140817~1150816,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區麥金路２００之２號,0.0,,,,1140811,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,63.87,2,2,1,有,無,有,11000,172,,0.0,0,續租案件；,RPTNMLMKQHKGFDC48CC,整棟(戶)出租,無,1140816~1150815,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區深澳坑路１６８巷５４弄９號４樓,0.0,,,,1140811,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住宅（夾層）儲藏室,鋼筋混凝土造,0840610,68.82,3,2,2,有,有,無,12000,174,,0.0,0,管理費200元繳社區總幹事,RPTOMLMKQHKGFDC58CC,整棟(戶)出租,無,1140812~1150811,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街３７８號,0.0,,,,1140811,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,51.53,1,0,1,有,有,有,7000,136,,0.0,0,續租案件；,RPSNMLNKQHKGFDC48CC,獨立套房,無,1140824~1150823,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區寧靜街１４３之３號,0.0,,,,1140812,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710816,122.2,3,2,2,有,無,有,15000,123,,0.0,0,,RPUNMLNKQHKGFDC68CC,整棟(戶)出租,無,1140813~1150812,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
七堵區,租賃房屋,基隆市七堵區百七街７１巷２５之３號,0.0,,,,1140811,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690717,84.1,3,1,1,有,無,有,11000,131,,0.0,0,續租案件；,RPWNMLNKQHKGFDC88CC,整棟(戶)出租,無,1140819~1150818,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區樂利三街２４３之３號,0.0,,,,1140811,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691224,90.74,3,2,1,有,無,有,12000,132,,0.0,0,續租案件；,RPPOMLNKQHKGFDC28CC,整棟(戶)出租,無,1140825~1150824,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
仁愛區,租賃房屋,基隆市仁愛區南榮路４０１之５號,0.0,,,,1140811,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620220,65.25,2,1,1,有,無,有,7000,107,,0.0,0,續租案件；,RPROMLNKQHKGFDC48CC,整棟(戶)出租,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
