編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXOMLNKQHKGFDC09CC,台五線段,120.27,都市：住,,,,01050000
RPXOMLNKQHKGFDC09CC,台五線段,94.60,都市：工,,,,01050001
RPUNMLTLQHKGFDC76CC,麥金段,5.02,都市：住,,,,06130000
RPUNMLTLQHKGFDC76CC,麥金段,.15,都市：住,,,,06130001
RPUNMLNJRHKGFDC68CC,調和段,43.94,都市：住,,,,13210000
RPPNMLQKRHKGFDC58CC,麥金段,4.11,都市：住,,,,05350000
RPPNMLQKRHKGFDC58CC,麥金段,.16,都市：住,,,,05350001
RPPNMLQKRHKGFDC58CC,麥金段,.10,都市：住,,,,05350002
RPPNMLQKRHKGFDC58CC,麥金段,.09,都市：住,,,,05350003
RPPNMLQKRHKGFDC58CC,麥金段,.00,都市：住,,,,05350004
RPPNMLQKRHKGFDC58CC,麥金段,.00,都市：住,,,,05350005
RPPNMLQKRHKGFDC58CC,麥金段,.00,都市：住,,,,05350006
RPPNMLQKRHKGFDC58CC,麥金段,.00,都市：住,,,,05350007
RPQNMLMJIIKGFDC47DC,中正段二小段,34.67,都市：住,,,,00200002
RPTOMLNKIIKGFDC97CC,新崙段,202.40,都市：住,,,,01820000
RPPOMLNKIIKGFDC57CC,德安段,13108.47,都市：商,,,,10220000
RPQNMLOKIIKGFDC67CC,長潭段,29.60,都市：住,,,,09020000
RPOOMLRKIIKGFDC87CC,港灣段三小段,21.72,都市：住,,,,00040003
RPXNMLRKIIKGFDC68CC,港灣段三小段,20.12,都市：住,,,,00040003
