編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLOJKIKGFDD87EA,篤農段,44.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07490007
RPRNMLKKJIKGFDD57EA,橋南段,20.00,都市：其他:農業區,3,2,持分移轉,08620003
RPPNMLOJJIKGFDD67EA,東昇段,18.05,都市：其他:住宅區,28446,18000,持分移轉,00490000
RPPNMLOJJIKGFDD67EA,東昇段,34.94,都市：其他:住宅區,28446,18000,持分移轉,00500000
RPPNMLOJJIKGFDD67EA,東昇段,24.19,都市：其他:住宅區,1,1,全筆移轉,00570000
RPPNMLOJJIKGFDD67EA,東昇段,23.59,都市：其他:住宅區,2,1,持分移轉,00570001
RPPNMLOJJIKGFDD67EA,東昇段,8.52,都市：其他:住宅區,4734,852,持分移轉,00570002
RPPNMLOJJIKGFDD67EA,東昇段,170.59,都市：其他:住宅區,1,1,全筆移轉,00590000
RPPNMLOJJIKGFDD67EA,東昇段,9.91,都市：其他:住宅區,646,45,持分移轉,00590003
RPPNMLOJJIKGFDD67EA,東昇段,58.63,都市：其他:道路用地,646,90,持分移轉,00690000
RPPNMLKKJIKGFDD37EA,北門段,22.19,都市：其他:住宅區,1,1,全筆移轉,03250000
RPTNMLTJKIKGFHD98DA,北子店段二小段,2.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,67,1,持分移轉,07760004
RPTNMLTJKIKGFHD98DA,北子店段二小段,85.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07760008
RPTNMLTJKIKGFHD98DA,北子店段二小段,2.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,67,1,持分移轉,07760053
RPQNMLQJJIKGFGD18DA,仁愛段,19.92,都市：其他:住宅區,1,1,全筆移轉,01700001
RPPNMLOJKIKGFFD87DA,石仔瀨段,32.72,都市：其他:住宅區,576,4,持分移轉,04750000
RPPNMLLKJIKGFGD67DA,中山段,26.04,都市：其他:商業區,1,1,全筆移轉,03400000
RPRNMLOJKIKGFFD08DA,龜子港段,3000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08630000
RPUNMLRJJIKGFFD58DA,石城段,1.16,都市：其他:農業區,10000,416,持分移轉,00970000
RPUNMLRJJIKGFFD58DA,石城段,1.02,都市：其他:道路用地,10000,416,持分移轉,00970001
RPUNMLRJJIKGFFD58DA,石仔瀨北段,32.55,都市：其他:計畫道路,10000,416,持分移轉,10980000
RPUNMLRJJIKGFFD58DA,石仔瀨北段,58.08,都市：其他:乙種工業區,10000,416,持分移轉,11010000
RPUNMLRJJIKGFFD58DA,石仔瀨北段,30.85,都市：其他:農業區,10000,416,持分移轉,11070000
RPUNMLRJJIKGFFD58DA,石仔瀨北段,49.53,都市：其他:農業區,10000,416,持分移轉,11080000
RPUNMLRJJIKGFFD58DA,石仔瀨北段,105.39,都市：其他:農業區,10000,416,持分移轉,11090000
RPSNMLPJKIKGFGD38DA,區政段,2.81,都市：其他:商業區,100,5,持分移轉,05730000
RPSNMLKKJIKGFAD27DA,中正段,62.29,都市：其他:商業區,1,1,全筆移轉,05820000
RPPNMLKKJIKGFAD96DA,北安段,18.97,都市：其他:住宅區,10000,80,持分移轉,00560108
RPPNMLTJKIKGFFD38DA,信義段,1.08,都市：其他:人行步道用地,4,1,持分移轉,05290000
RPPNMLTJKIKGFFD38DA,信義段,27.09,都市：其他:住宅區,4,1,持分移轉,05320000
RPSOMLNJKIKGFKD68DA,永保段,11.45,都市：其他:住宅區,640,32,持分移轉,00170000
SPVNMLLJKIKGFED18DA,前大埔段,2344.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09470004
RPVNMLLJKIKGFED08DA,前大埔段,2928.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09420000
RPPNMLTJKIKGFED28DA,河東段,1059.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00340000
RPPNMLNJJIKGFED57DA,詔安段,213.75,非都市：一般農業區 ; 非都市編定：甲種建築用地,12,1,持分移轉,16780000
RPQNMLMJKIKGFED67DA,竹子門段,44.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,02240001
RPPRMLKLIIKGFID28EA,文衡段,22.80,都市：其他:商業區,5,1,持分移轉,04490001
RPSNMLKKJIKGFGD87DA,港南段,18.38,都市：其他:住宅區,12,4,持分移轉,05750000
RPRNMLOKJIKGFDD97EA,仁光段,35.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,01980000
RPRNMLOKJIKGFDD97EA,仁光段,13.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,02150000
RPPNMLMJJIKGFJD97DA,南庄段,77.03,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00670000
RPPNMLMJJIKGFJD97DA,南庄段,.19,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,00750000
RPSNMLLKJIKGFGD97DA,潭墘段,60.17,都市：其他:住宅區,1,1,全筆移轉,05310006
RPSNMLLKJIKGFGD97DA,潭墘段,23.03,都市：其他:住宅區,1,1,全筆移轉,05320006
RPSNMLNKJIKGFFD08DA,港子頭段,71.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,4,持分移轉,01200002
