鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新市區,租賃房屋,臺南市新市區中山路２０之１３號,0.0,,,,1140811,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1041110,18.0,16,0,16,有,無,有,6500,361,,0.0,0,租金總額含管理費；水費；網路費；續租案件；,RPUNMLLKQHKGFHD98CC,分租套房,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區中華路５７８巷２號七樓之２,0.0,,,,1140811,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800619,28.25,1,1,1,有,無,有,6300,223,,0.0,0,租金總額含網路費；,RPPNMLLKQHKGFKD78CC,獨立套房,無,1140811~1150810,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
北區,租賃房屋,臺南市北區和緯路四段１１７巷３２號,0.0,,,,1140812,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700910,18.4,8,1,8,有,無,有,7500,408,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPTOMLMKQHKGFAD38CC,分租套房,無,1140812~1150812,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
中西區,租賃房屋,臺南市中西區民生路二段１６６號８樓,0.0,,,,1140812,土地0建物0車位0,八層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0740423,42.0,10,0,10,有,無,有,9000,214,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPQPMLMKQHKGFAD18CC,分租套房,無,1140814~1150813,有,冷氣、熱水器、洗衣機、冰箱、網路,
東區,租賃房屋,臺南市東區中華東路二段７３巷４６號,0.0,,,,1140812,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0691229,120.13,3,2,3,有,無,有,18500,154,,0.0,0,台南市社會住宅包租代管 第4期計畫 公會版，租金已打8折；水、電費由承租人負擔。,RPQOMLMKQHKGFCD28CC,整棟(戶)出租,無,1140815~1160731,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
永康區,租賃房屋,臺南市永康區大橋一街１８９之１號,0.0,,,,1140811,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0831123,15.6,5,3,5,有,無,有,8500,545,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPVNMLMKQHKGFKD86CC,分租套房,無,1140811~1150812,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區中正南路２４２巷４弄４９號,0.0,,,,1140811,土地0建物0車位0,全,3,透天厝,工業用,鋼筋混凝土造,0840324,22.46,12,1,12,有,無,有,6000,267,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPPOMLMKQHKGFKD98CC,分租套房,無,1140811~1150811,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
永康區,租賃房屋,臺南市永康區成功路１７６號六之１４樓,0.0,,,,1140812,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800130,24.71,1,1,1,有,無,有,5500,223,,0.0,0,租金總額含網路費；,RPROMLMKQHKGFKD56CC,獨立套房,無,1140812~1150811,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區龍埔街８５號四樓之６,0.0,,,,1140812,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850415,116.13000000000001,2,2,2,有,有,有,15000,129,,0.0,0,台南市社會住宅包租代管公會版增辦第4期，租金市價8折租金總額含管理費；,RPTPMLMKQHKGFKD86CC,整棟(戶)出租,有,1140820~1170819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
東區,租賃房屋,臺南市東區林森路一段１３２號七樓之８,0.0,,,,1140811,土地0建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,116.57000000000001,3,1,2,有,有,有,12000,103,,0.0,0,台南市社會住宅包租代管第4期計畫。續租案件；,RPPNMLNKQHKGFCD18CC,整棟(戶)出租,有,1140816~1150815,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
