編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTKQHKGFBD88CC,安北段,152.00,都市：住,,,,06590001
RPTNMLTKQHKGFCD56CC,華南段,81.55,都市：住,,,,06010000
RPSNMLLLQHKGFAD18CC,老古石段,58.16,都市：商,,,,24430000
RPSNMLNLQHKGFAD38CC,金城段,103.00,都市：住,,,,00750026
RPPNMLPLQHKGFID09CC,民生段,263.00,都市：住,,,,04710000
RPPNMLQLQHKGFCD58CC,光明段,54.00,都市：住,,,,02120000
RPPNMLQLQHKGFCD58CC,光明段,4.00,都市：住,,,,02120001
RPQOMLRLQHKGFKD07CC,永康段,60.00,都市：住,,,,14990000
RPPNMLSLQHKGFHD66CC,光榮段,188.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03270000
RPPNMLLJRHKGFHD48CC,善西段,100.83,都市：住,,,,02420000
RPRNMLLJRHKGFHD68CC,善西段,101.58,都市：住,,,,02430000
RPPNMLMJRHKGFCD08CC,裕南段,75.78,都市：住,,,,09200000
RPOOMLOJRHKGFCD28CC,光明段,88.00,都市：住,,,,09400005
RPPNMLSJRHKGFBD58CC,溪東段,666.82,都市：住,,,,16680000
RPPNMLMKRHKGFAD97CC,新南段,143.00,都市：住,,,,00290015
RPRNMLQKRHKGFID76CC,保安段,1212.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00510001
RPQOMLRKRHKGFAD68CC,中正段,41.53,都市：商,,,,06640000
RPQOMLRKRHKGFAD68CC,中正段,22.12,都市：商,,,,06630000
RPQOMLRKRHKGFAD68CC,中正段,13.24,都市：商,,,,06620000
RPQOMLRKRHKGFAD68CC,中正段,32.64,都市：商,,,,06610000
RPWOMLRKRHKGFKD67CC,六甲頂段,3.08,都市：住,,,,10910000
RPSNMLTKRHKGFBD09CC,草湖段,2076.44,都市：住,,,,07380000
RPRNMLTKRHKGFBD98CC,草湖段,1104.14,都市：住,,,,07370000
RPQNMLNLRHKGFID09CC,武東段,17.79,都市：商,,,,02190000
RPRNMLNLRHKGFID56CC,武東段,24.33,都市：商,,,,02190000
RPPNMLQLRHKGFFD98CC,中興段,85.00,都市：住,,,,05580000
RPPNMLKMRHKGFGD58CC,區政段,122.05,都市：住,,,,07570000
RPQNMLKMRHKGFDD38CC,新民段,254.72,都市：住,,,,03530000
RPQNMLKMRHKGFDD38CC,新民段,52.14,都市：住,,,,03540000
RPQNMLKMRHKGFDD38CC,新民段,73.05,都市：住,,,,03550000
RPQNMLKMRHKGFDD38CC,新民段,74.30,都市：住,,,,03560000
RPQNMLKMRHKGFDD38CC,新民段,260.78,都市：住,,,,03570000
RPQNMLKMRHKGFDD38CC,新民段,241.76,都市：住,,,,04320000
RPPNMLLJIIKGFKD97CC,永仁段,71.10,都市：住,,,,00140000
RPQNMLNLRHKGFHD09DC,福壽段,102.26,都市：住,,,,07150000
RPQOMLMJIIKGFAD27CC,漁光段,24.75,都市：商,,,,08690000
RPQNMLNJIIKGFID08CC,下湖段,3479.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02270003
RPQNMLNJIIKGFID08CC,下湖段,1732.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02340098
RPQNMLNJIIKGFID08CC,下湖段,1796.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02340099
RPQNMLNJIIKGFID08CC,下湖段,1268.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02340096
RPQNMLNJIIKGFID08CC,下湖段,197.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02310001
RPQNMLNJIIKGFID08CC,下湖段,17.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02310004
RPQNMLNJIIKGFID08CC,下湖段,44.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02300005
RPRNMLNJIIKGFHD08CC,成功段,93.76,都市：住,,,,08710000
RPPNMLPJIIKGFCD57CC,新興段,90.00,都市：住,,,,02570007
RPPNMLRJIIKGFDD87CC,五軍營段,6923.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,08900000
RPTNMLRJIIKGFID78CC,太子段,46.32,都市：住,,,,04970000
RPTNMLRJIIKGFID78CC,太子段,31.82,都市：住,,,,04970001
RPTNMLRJIIKGFID78CC,太子段,97.88,都市：住,,,,04970002
RPSNMLRJIIKGFID68CC,武東段,28.01,都市：住,,,,01620000
RPQNMLKKIIKGFCD27CC,竹篙厝段,144.00,都市：住,,,,31510006
RPQNMLKKIIKGFCD27CC,竹篙厝段,122.00,都市：住,,,,31510007
RPUNMLNKIIKGFID58CC,歸仁北段,120.00,都市：商,,,,11300047
RPUNMLNKIIKGFID58CC,歸仁北段,6.00,都市：商,,,,11300053
RPPOMLNKIIKGFHD08CC,善新段,30.00,都市：其他:住宅生活服務區,,,,01430000
RPUNMLLLIIKGFGD28CC,興善段,91.13,都市：住,,,,09340006
RPUNMLLLIIKGFID48CC,崙頂段,2466.65,非都市：一般農業區 ; 非都市編定：農牧用地,,,,09940000
RPUNMLLLIIKGFID48CC,崙頂段,857.82,非都市：一般農業區 ; 非都市編定：農牧用地,,,,09950000
RPXNMLMLIIKGFKD09CC,鹽南段,120.35,都市：工,,,,04280000
RPXNMLMLIIKGFKD09CC,鹽南段,439.53,都市：工,,,,04970000
RPPNMLNLIIKGFID18CC,文賢段,66.50,都市：住,,,,07440000
RPRNMLNLIIKGFID38CC,和愛段,76.43,都市：住,,,,07390000
RPTNMLNLIIKGFID58CC,武東段,19.01,都市：商,,,,02190000
RPWNMLNLIIKGFID88CC,武東段,29.27,都市：住,,,,01060000
RPVNMLNLIIKGFID78CC,武東段,33.24,都市：住,,,,01620000
RPQNMLOLIIKGFAD57CC,玉宇段,66.00,都市：住,,,,02710000
RPUNMLNLIIKGFID68CC,武東段,15.62,都市：商,,,,02190000
RPPOMLNLIIKGFID28CC,武東段,34.18,都市：住,,,,01060001
RPOOMLNLIIKGFID18CC,武東段,17.92,都市：住,,,,01060000
RPXNMLNLIIKGFID98CC,武東段,29.27,都市：住,,,,01060000
RPPNMLTLIIKGFHD68CC,善文段,15.37,都市：其他:空白,,,,09770000
RPPNMLTLIIKGFHD68CC,善文段,68.60,都市：其他:空白,,,,09780000
RPSNMLKMIIKGFBD57CC,安慶段,117.94,都市：住,,,,08630000
RPUNMLLMIIKGFHD48CC,安定段,1294.00,都市：農,,,,21280000
RPWNMLOJJIKGFCD28CC,天后段,31.16,都市：住,,,,00130000
RPPNMLOJJIKGFID18CC,五甲段,4636.00,都市：工,,,,15990000
RPPNMLOJJIKGFID18CC,五甲段,2916.00,都市：工,,,,15990003
RPVNMLQJJIKGFID98CC,武東段,21.22,都市：住,,,,01620000
RPPNMLRJJIKGFBD77CC,州北段,1162.00,都市：農,,,,13750000
RPTNMLLKJIKGFAD57CC,新南段,82.00,都市：住,,,,00630024
RPXOMLLKJIKGFCD28CC,鹽埕段,132.00,都市：住,,,,25460000
RPQNMLNKJIKGFCD67CC,竹篙厝段,140.00,都市：住,,,,13970000
RPQNMLNKJIKGFCD67CC,竹篙厝段,140.00,都市：住,,,,13980000
RPPPMLSKJIKGFKD09CC,大灣段,287.00,都市：住,,,,46670008
RPPPMLSKJIKGFKD09CC,大灣段,58.00,都市：住,,,,46670007
RPPPMLSKJIKGFKD09CC,大灣段,5.00,都市：住,,,,48900025
RPPNMLTKJIKGFID78CC,二橋段,1323.31,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,01470000
RPXNMLTKJIKGFKD17CC,市政段,133.05,都市：住,,,,00210002
RPPNMLSLJIKGFGD58CC,大塭寮段,1081.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,23780000
RPUNMLMJKIKGFID58CC,武東段,17.92,都市：住,,,,01060000
RPVNMLMJKIKGFID68CC,武東段,18.76,都市：商,,,,02190000
