編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMLJIKGFBG77DA,45,98.78,住家用,鋼筋混凝土加強磚造,69年7月21日,二層,一層 二層,全筆移轉
RPSNMLTKJIKGFBG58DA,32,40.33,住家用,鋼筋混凝土造,82年10月19日,七層,六層 陽台,全筆移轉
RPPOMLKLJIKGFBG57DA,31,46.38,住家用,鋼筋混凝土造,84年1月27日,七層,二層 陽台,全筆移轉
RPSNMLTKJIKGFBG58DA,32,10.76,共有部分,鋼筋混凝土造,82年10月19日,七層,,持分移轉
RPPNMLLLJIKGFBG57DA,33,28.25,住家用,鋼筋混凝土造,81年11月10日,七層,五層 陽台,全筆移轉
RPPNMLLLJIKGFBG57DA,33,18.64,共有部分,鋼筋混凝土造,81年11月10日,七層,,持分移轉
RPPOMLKLJIKGFBG57DA,31,.72,共有部分,鋼筋混凝土造,84年1月27日,七層,,持分移轉
RPPOMLKLJIKGFBG57DA,31,9.05,共有部分,鋼筋混凝土造,84年1月27日,七層,,持分移轉
RPQNMLNKJIKGFBG77DA,31,78.86,住家用,鋼筋混凝土造,83年10月7日,七層,六層 陽台,全筆移轉
RPQNMLNKJIKGFBG77DA,31,9.28,共有部分,鋼筋混凝土造,83年10月7日,七層,,持分移轉
RPQNMLNKJIKGFBG77DA,31,9.86,共有部分,鋼筋混凝土造,83年10月7日,七層,,持分移轉
RPSNMLKLJIKGFBG77DA,17,38.02,辦公室,鋼筋混凝土造,97年12月31日,十三層,四層 見其他登記事項,全筆移轉
RPSNMLKLJIKGFBG77DA,17,26.70,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPSNMLKLJIKGFBG77DA,17,6.53,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPVNMLKKJIKGFBG97DA,31,190.20,住家用,鋼筋混凝土造,84年1月7日,三層,一層 二層 三層 陽台 平台 見其他登記事項,全筆移轉
RPOOMLPLJIKGFBG97DA,47,154.36,住家用,鋼筋混凝土加強磚造,68年1月17日,二層,一層 二層 騎樓,全筆移轉
RPPOMLPLJIKGFBG08DA,,61.16,住家用,木造,,一層,一層,全筆移轉
RPPOMLPLJIKGFBG08DA,,84.66,商業用,木造,,一層,一層 騎樓 廚房,全筆移轉
RPSNMLQLJIKGFAG28DA,32,146.95,住家用,鋼筋混凝土加強磚造,82年6月29日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPQNMLOLJIKGFBG08EA,2,34.81,集合住宅,鋼筋混凝土造,113年1月10日,十一層,八層 陽台,全筆移轉
RPQNMLOLJIKGFBG08EA,2,32.25,本共有部分之項目有：停車空間、梯廳、管委會空間、機房、屋頂水箱等５項,鋼筋混凝土造,113年1月10日,十一層,,持分移轉
RPSNMLRKJIKGFAG28DA,14,240.55,住家用,鋼筋混凝土造,100年9月9日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,全筆移轉
RPWNMLPLJIKGFBG68DA,12,171.96,住宅、樓梯間,鋼筋混凝土造,102年9月5日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQPMLPLJIKGFAG18DA,31,16.97,共同使用（受電室．梯間．防空避難室）,鋼筋混凝土造,84年3月7日,九層,,持分移轉
RPQPMLPLJIKGFAG18DA,31,50.41,鄉村住宅,鋼筋混凝土造,84年3月7日,九層,一層 平台,全筆移轉
RPOOMLRKJIKGFAG97DA,84,13.66,商業用,木造,30年10月7日,二層,一層 二層,全筆移轉
RPPNMLTKJIKGFAG18DA,1,107.16,店鋪,鋼筋混凝土（ＲＣ）,114年4月15日,四層,二層 陽台,全筆移轉
RPPNMLTKJIKGFAG18DA,1,56.25,本共有部分之項目有停車空間、台電配電場所、樓（電）梯間等３項,鋼筋混凝土（ＲＣ）,114年4月15日,四層,,持分移轉
RPPNMLTKJIKGFAG18DA,1,13.13,本共有部分之項目有無障礙樓梯間、無障礙電梯等２項。,鋼筋混凝土（ＲＣ）,114年4月15日,四層,,持分移轉
RPSQMLMLJIKGFAG18DA,31,25.70,共同使用（受電室．梯間．防空避難室）,鋼筋混凝土造,84年3月7日,九層,,持分移轉
RPSQMLMLJIKGFAG18DA,31,4.19,共同使用（走道）,鋼筋混凝土造,84年3月7日,九層,,持分移轉
