編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKQHKGFAG48CC,17,88.43,住家用,鋼筋混凝土造,97年6月2日,十三層,,
RPPNMLKLQHKGFAG08CC,29,57.85,住家用,鋼筋混凝土造,85年10月3日,十二層,,
RPQNMLOKQHKGFAG48CC,44,104.94,住家用,鋼筋混凝土加強磚造,70年12月2日,二層,,
RPPNMLPKQHKGFAG48CC,17,6.88,共有部分,鋼筋混凝土造,97年6月2日,十三層,,
RPPNMLKLQHKGFAG08CC,29,11.56,停車場、法定防空避難室、機車停車場、私設防空避難室﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPPNMLLLQHKGFAG18CC,29,76.32,住家用,鋼筋混凝土造,85年6月7日,十九層,,
RPPNMLKLQHKGFAG08CC,29,10.68,通道、梯間﹙共同使用部份,鋼筋混凝土造,85年10月3日,十二層,,
RPQNMLKLQHKGFAG18CC,32,71.35,住家用,鋼筋混凝土造,82年4月16日,五層,,
RPPNMLPKQHKGFAG48CC,17,14.11,梯間．通道,鋼筋混凝土造,97年6月2日,十三層,,
RPPNMLOKQHKGFAG38CC,37,75.21,住家用,鋼筋混凝土造,77年5月24日,五層,,
RPQNMLKLQHKGFAG18CC,32,4.56,地下層．屋頂突出物,鋼筋混凝土造,82年4月16日,五層,,
RPPNMLLLQHKGFAG18CC,29,4.29,共有部分,鋼筋混凝土造,85年6月7日,十九層,,
RPPNMLOKQHKGFAG38CC,37,1.13,共同使用部份,鋼筋混凝土造,77年5月24日,五層,,
RPPNMLLLQHKGFAG18CC,29,18.51,共有部分,鋼筋混凝土造,85年6月7日,十九層,,
RPPNMLOKQHKGFAG38CC,37,5.00,地下室、防空避難室,鋼筋混凝土造,77年5月24日,五層,,
RPSNMLPKQHKGFAG78CC,45,94.68,住家用,鐵筋加強磚造,70年1月20日,二層,,
RPROMLMKQHKGFAG48CC,20,14.68,住家用,鋼筋混凝土造,95年1月17日,六層,,
RPWNMLPKQHKGFBG66CC,27,104.90,住家用,鋼筋混凝土造,88年1月26日,六層,,
RPPNMLOKQHKGFBG48CC,16,38.00,集合住宅,鋼筋混凝土造,98年10月8日,十三層,,
RPWNMLPKQHKGFBG66CC,27,20.93,共有部分,鋼筋混凝土造,88年1月26日,六層,,
RPPNMLOKQHKGFBG48CC,16,17.06,本共有部分之項目有防空避難室兼停車空間、樓梯間、電梯間、水箱、機械室及停車空間等六項。,鋼筋混凝土造,98年10月8日,十三層,,
RPWNMLPKQHKGFBG66CC,27,13.53,共有部分,鋼筋混凝土造,88年1月26日,六層,,
RPPNMLOKQHKGFBG48CC,16,11.85,本共有部分之項目有樓梯間及電梯間等兩項。,鋼筋混凝土造,98年10月8日,十三層,,
RPSNMLPKQHKGFBG88CC,31,90.70,辦公室,鋼筋混凝土造,83年8月11日,十層,,
RPSNMLPKQHKGFBG88CC,31,15.00,共有部分,鋼筋混凝土造,83年8月11日,十層,,
RPSNMLPKQHKGFBG88CC,31,8.64,共有部分,鋼筋混凝土造,83年8月11日,十層,,
RPUNMLOKQHKGFBG98CC,28,43.44,住家用,鋼筋混凝土造,86年9月3日,八層,,
RPRNMLPKQHKGFBG78CC,20,17.39,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPUNMLOKQHKGFBG98CC,28,23.39,共有部分,鋼筋混凝土造,86年9月3日,八層,,
RPQNMLKLQHKGFBG28CC,43,59.16,住家用,鋼筋混凝土造,71年11月4日,四層,,
RPRNMLPKQHKGFBG78CC,20,13.05,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPQNMLKLQHKGFBG28CC,43,5.67,共有部分,鋼筋混凝土造,71年11月4日,四層,,
RPXNMLPKQHKGFBG76CC,32,93.33,住家用,鋼筋混凝土造,82年10月5日,六層,,
RPXNMLPKQHKGFBG76CC,32,35.86,共有部分,鋼筋混凝土造,82年10月5日,六層,,
RPQNMLTKQHKGFBG09CC,2,24.57,集合住宅,鋼筋混凝土造,113年1月10日,五層,,
RPRNMLTKQHKGFBG56CC,3,59.26,集合住宅,鋼筋混凝土造,111年3月10日,十四層,,
RPRNMLTKQHKGFBG56CC,3,28.01,本共有部分之項目有：停車空間、車道、安全梯、昇降設備、梯廳、消防機房、雨水機房、水箱、防空避難室兼停車空間、台電配電場所、受電箱區、發電機室、電信室、管委會使用空間、戶外安全梯、垃圾處理空間、機械式、屋頂平台等１８項。,鋼筋混凝土造,111年3月10日,十四層,,
RPQNMLOKQHKGFBG58CC,40,97.04,住家用,鋼筋混凝土造,74年5月24日,五層,,
RPQNMLOKQHKGFBG58CC,40,12.07,共有部分,鋼筋混凝土造,74年5月24日,五層,,
RPPNMLTKQHKGFBG98CC,43,33.00,住家用,鋼筋混凝土造,71年11月4日,四層,,
RPPNMLPKQHKGFBG58CC,4,61.21,集合住宅,鋼筋混凝土造,110年10月25日,十層,,
RPPNMLPKQHKGFBG58CC,4,5.37,本共有部分之項目有：防空避難室兼做停車空間等１項,鋼筋混凝土造,110年10月25日,十層,,
RPPNMLPKQHKGFBG58CC,4,4.86,本共有部分之項目有：管委會等１項,鋼筋混凝土造,110年10月25日,八層,,
RPPNMLPKQHKGFBG58CC,4,19.40,本共有部分之項目有：樓梯間、水箱、機械室等３項。,鋼筋混凝土造,110年10月25日,十層,,
RPPNMLMLQHKGFAG28CC,27,70.25,住家用,鋼筋混凝土造,87年5月28日,六層,,
RPPNMLMLQHKGFAG28CC,27,23.76,停車場、梯間﹙共同使用部份﹚,鋼筋混凝土造,87年5月28日,六層,,
RPVNMLMLQHKGFBG98CC,27,13.00,住商用,鋼筋混凝土造,87年9月21日,三層,,
RPSNMLMLQHKGFBG68CC,31,100.26,住家﹒國民住宅,鋼筋混凝土造,83年3月19日,五層,,
RPSNMLMLQHKGFBG68CC,31,7.69,共有部分,鋼筋混凝土造,83年3月19日,五層,,
RPRNMLMLQHKGFAG48CC,2,65.69,集合住宅,鋼筋混凝土（ＲＣ）,113年2月6日,四層,,
RPRNMLMLQHKGFAG48CC,2,17.44,本共有部分之項目有樓梯間、電梯間等２項。,鋼筋混凝土（ＲＣ）,113年2月6日,四層,,
RPRNMLMLQHKGFAG48CC,2,26.75,本共有部分之項目有停車空間、管理員室等２項。,鋼筋混凝土（ＲＣ）,113年2月6日,四層,,
RPUNMLMLQHKGFBG88CC,37,113.48,住家用,鋼筋混凝土造,78年1月5日,二層,,
RPQNMLLLQHKGFBG38CC,27,51.50,住家用,鋼筋混凝土造,87年10月23日,五層,,
RPPNMLQLQHKGFBG78CC,20,18.34,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPPNMLQLQHKGFBG78CC,20,12.10,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPPNMLQLQHKGFAG68CC,29,55.17,住家用,鋼筋混凝土造,85年10月3日,十二層,,
RPPNMLQLQHKGFAG68CC,29,11.01,停車場、法定防空避難室、機車停車場、私設防空避難室﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPRNMLMLQHKGFBG58CC,2,53.30,集合住宅,鋼筋混凝土造,112年9月15日,五層,,
RPPNMLQLQHKGFAG68CC,29,8.84,梯間﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPRNMLMLQHKGFBG58CC,2,19.07,本共有部分之項目有：停車空間、樓梯間等２項,鋼筋混凝土造,112年9月15日,五層,,
RPPNMLPLQHKGFAG58CC,28,29.31,辦公室,鋼筋混凝土造,86年12月11日,十層,,
RPPNMLPLQHKGFAG58CC,28,8.01,防空避難室、停車場、台電配電室、車道、共同使用部份,鋼筋混凝土造,86年12月11日,十層,,
RPPNMLPLQHKGFAG58CC,28,4.88,梯間、走道電梯、共同使用部份,鋼筋混凝土造,86年12月11日,十層,,
RPTNMLMLQHKGFBG78CC,32,102.45,住家用,鋼筋混凝土造,82年8月3日,十六層,,
RPTNMLMLQHKGFBG78CC,32,15.97,共有部分,鋼筋混凝土造,82年8月3日,十六層,,
RPTNMLMLQHKGFBG78CC,32,10.09,共有部分,鋼筋混凝土造,82年8月3日,十六層,,
RPPNMLRLQHKGFAG78CC,30,88.90,住家用,鋼筋混凝土造,85年2月13日,六層,,
RPPNMLRLQHKGFAG78CC,30,17.28,停車場,鋼筋混凝土造,85年2月13日,六層,,
RPPNMLRLQHKGFAG78CC,30,3.52,共同使用部分，屋頂突出物,鋼筋混凝土造,85年2月13日,六層,,
RPPNMLSLQHKGFAG88CC,28,24.10,鄉村住宅,鋼筋混凝土造,86年11月5日,十四層,,
RPRNMLQLQHKGFAG88CC,17,224.73,店舖．住宅,鋼筋混凝土造,97年12月23日,三層,,
RPPNMLSLQHKGFAG88CC,28,16.95,梯間．通道停車場．防空避難室．共同使用部份,鋼筋混凝土造,86年11月5日,十四層,,
RPPNMLTLQHKGFAG98CC,55,60.00,商業用,鋼筋混凝土加強磚造,59年6月12日,二層,,
RPUNMLRLQHKGFAG66CC,32,74.90,住家用,鋼筋混凝土造,82年11月5日,四層,,
RPUNMLRLQHKGFAG66CC,32,2.61,共有部分,鋼筋混凝土造,82年11月5日,,,
RPQNMLTLQHKGFAG09CC,30,93.64,住家用,鋼筋混凝土造,84年12月27日,五層,,
RPQNMLTLQHKGFAG09CC,30,17.52,梯間．通道．共同使用,鋼筋混凝土造,84年12月27日,五層,,
RPUNMLRLQHKGFBG76CC,8,58.19,住家用,鋼筋混凝土加強磚造,,二層,,
RPSNMLSLQHKGFAG56CC,30,122.86,鄉村住宅及自用儲藏室,鋼筋混凝土造,84年5月24日,四層,,
RPSNMLSLQHKGFAG56CC,30,31.99,共同使用部份（防空避難室．停車場．門廳．梯間．通道．守衛室）,鋼筋混凝土造,84年5月24日,十二層,,
RPSNMLSLQHKGFAG56CC,30,1.22,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,
RPSNMLSLQHKGFAG56CC,30,1.22,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,
RPXNMLRLQHKGFBG07CC,30,17.64,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPSNMLSLQHKGFBG66CC,30,46.22,住家用,鋼筋混凝土造,84年3月16日,十二層,,
RPWNMLRLQHKGFBG96CC,30,17.64,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPPOMLRLQHKGFBG98CC,30,17.64,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPSNMLSLQHKGFBG66CC,30,10.60,共有部分,鋼筋混凝土造,84年3月16日,十七層,,
RPROMLRLQHKGFBG56CC,4,60.67,集合住宅,鋼筋混凝土造,110年10月25日,八層,,
RPROMLRLQHKGFBG56CC,4,5.27,本共有部分之項目有：防空避難室兼做停車空間等１項,鋼筋混凝土造,110年10月25日,十層,,
RPROMLRLQHKGFBG56CC,4,4.77,本共有部分之項目有：管委會等１項,鋼筋混凝土造,110年10月25日,八層,,
RPUNMLSLQHKGFBG86CC,30,37.74,住家用,鋼筋混凝土造,84年12月12日,八層,,
RPOOMLRLQHKGFBG88CC,30,17.64,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPROMLRLQHKGFBG56CC,4,20.09,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,110年10月25日,八層,,
RPUNMLSLQHKGFBG86CC,30,12.39,共有部分,鋼筋混凝土造,84年12月12日,八層,,
RPPNMLTLQHKGFBG09CC,32,116.57,住家用,鋼筋混凝土造,82年8月11日,六層,,
RPPNMLTLQHKGFBG09CC,32,37.32,共有部分,鋼筋混凝土造,82年8月11日,六層,,
RPRNMLRLQHKGFBG09CC,5,27.44,一般零售場所、住宅類場所、機械室、樓梯間,鋼筋混凝土造,109年5月21日,四層,,
RPRNMLSLQHKGFBG56CC,30,23.52,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPTNMLRLQHKGFBG66CC,43,28.00,住家用,鋼筋混凝土造,71年11月4日,四層,,
RPVNMLRLQHKGFBG86CC,4,59.30,集合住宅,鋼筋混凝土造,110年3月19日,九層,,
RPVNMLRLQHKGFBG86CC,4,59.23,本共有部分項目：停車空間、台電配電室、機電空間、管委會空間、緊急發電室、機械室、水箱等７項,鋼筋混凝土造,110年3月19日,九層,,
RPSNMLTLQHKGFBG76CC,48,57.96,住商用,鋼筋混凝土加強磚造,67年1月30日,二層,,
RPQNMLTLQHKGFBG56CC,10,118.56,集合住宅,鋼筋混凝土造,105年1月30日,五層,,
RPQNMLTLQHKGFBG56CC,10,55.87,本共用部分之項目有：停車空間、警衛室、管委會空間,鋼筋混凝土造,105年1月30日,五層,,
RPQNMLTLQHKGFBG56CC,10,29.93,本共用部分之項目有：樓梯間、電梯間、水箱、機械室,鋼筋混凝土造,105年1月30日,五層,,
RPRNMLTLQHKGFBG66CC,20,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPRNMLTLQHKGFBG66CC,20,12.29,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPUNMLNJRHKGFAG78CC,34,66.50,住家用,鋼筋混凝土造,80年4月3日,五層,,
RPUNMLNJRHKGFAG78CC,34,18.86,屋頂突出物、樓梯間、水箱,鋼筋混凝土造,80年4月3日,,,
RPPNMLLMQHKGFBG38CC,38,16.00,住家用,鋼筋混凝土造,77年1月12日,四層,,
RPUNMLLJRHKGFAG58CC,42,94.12,住家用,鋼筋混凝土加強磚造,72年9月23日,二層,,
RPTNMLNJRHKGFAG68CC,4,46.05,集合住宅,鋼筋混凝土（ＲＣ）,110年11月19日,四層,,
RPTNMLNJRHKGFAG68CC,4,16.92,本共有部份項目有：樓梯間等１項。,鋼筋混凝土（ＲＣ）,110年11月19日,四層,,
RPSNMLNJRHKGFAG58CC,31,88.98,住家用,鋼筋混凝土造,83年4月19日,六層,,
RPSNMLNJRHKGFAG58CC,31,12.43,車庫、防空避難室、梯間、共同使用,鋼筋混凝土造,83年4月19日,六層,,
RPSNMLLJRHKGFBG48CC,28,43.22,住家用,鋼筋混凝土造,86年10月17日,八層,,
RPSNMLLJRHKGFBG48CC,28,22.02,共有部分,鋼筋混凝土造,86年10月17日,八層,,
RPTNMLLJRHKGFBG58CC,1,39.72,集合住宅,鋼筋混凝土造,113年5月16日,四層,,
RPTNMLLJRHKGFBG58CC,1,15.44,本共有部分之項目有：梯廳、無障礙電梯、安全梯、弱電機械室、機械室、樓梯間、停車空間及走廊等８項,鋼筋混凝土造,113年5月16日,四層,,
RPQNMLNJRHKGFBG48CC,10,73.06,店舖、辦公室、住宅、樓梯間,鋼筋混凝土造,104年12月25日,四層,,
RPROMLNJRHKGFAG58CC,32,185.65,住家用,鋼筋混凝土造,82年8月3日,三層,,
RPXNMLMJRHKGFBG09CC,26,28.02,住家用,鋼筋混凝土造,88年7月9日,八層,,
RPXNMLMJRHKGFBG09CC,26,12.96,共有部分,鋼筋混凝土造,88年7月9日,八層,,
RPXNMLMJRHKGFBG09CC,26,9.30,共有部分,鋼筋混凝土造,88年7月9日,八層,,
RPSNMLNJRHKGFBG68CC,1,76.85,集合住宅,鋼筋混凝土造,113年5月16日,四層,,
RPSNMLNJRHKGFBG68CC,1,43.51,本共有部分之項目有：梯廳、無障礙電梯、安全梯、弱電機械室、機械室、樓梯間、停車空間及走廊等８項,鋼筋混凝土造,113年5月16日,四層,,
RPPNMLSJRHKGFAG78CC,30,77.43,鄉村住宅,鋼筋混凝土造,84年3月7日,九層,,
RPQOMLMJRHKGFBG48CC,2,58.67,集合住宅,鋼筋混凝土造,112年10月23日,七層,,
RPRNMLNJRHKGFBG58CC,20,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPQOMLMJRHKGFBG48CC,2,4.82,本共有部分之項目有：停車空間、騎樓、管理室、電信室、機械室等５項,鋼筋混凝土造,112年10月23日,七層,,
RPRNMLNJRHKGFBG58CC,20,11.97,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPQOMLMJRHKGFBG48CC,2,16.29,本共有部分之項目有：梯廳、安全梯、管道間、電梯、梯間、通廊（２樓以上）、樓梯間等７項。,鋼筋混凝土造,112年10月23日,七層,,
RPPNMLSJRHKGFAG78CC,30,25.70,共同使用（受電室．梯間．防空避難室）,鋼筋混凝土造,84年3月7日,九層,,
RPWNMLNJRHKGFAG98CC,3,48.92,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPPNMLSJRHKGFAG78CC,30,4.19,共同使用（走道）,鋼筋混凝土造,84年3月7日,九層,,
RPXNMLNJRHKGFAG09CC,29,67.54,住家用,鋼筋混凝土造,85年11月9日,十三層,,
RPWNMLNJRHKGFAG98CC,3,11.18,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPVNMLNJRHKGFAG88CC,9,93.29,住家用,鋼筋混凝土造,105年12月19日,五層,,
RPXNMLNJRHKGFAG09CC,29,6.95,防空避難室、停車場、通道．共同使用部份,鋼筋混凝土造,85年11月9日,十三層,,
RPWNMLNJRHKGFAG98CC,3,7.35,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPVNMLNJRHKGFAG88CC,9,27.75,本共有部分之項目有電梯間、配電室、機房、水箱、管委會空間、樓梯間、消防空間等７項。,鋼筋混凝土造,105年12月19日,五層,,
RPXNMLNJRHKGFAG09CC,29,12.30,梯間﹙共同使用部份﹚,鋼筋混凝土造,85年11月9日,十三層,,
RPVNMLNJRHKGFAG88CC,9,12.82,本共有部分之項目有機械停車空間、停車空間等２項。,鋼筋混凝土造,105年12月19日,五層,,
RPOOMLNJRHKGFAG28CC,7,42.34,住家用,鋼筋混凝土（ＲＣ）,107年9月14日,三層,,
RPOOMLNJRHKGFAG28CC,7,7.17,本共有部分之項目有樓梯間一項。,鋼筋混凝土（ＲＣ）,107年9月14日,三層,,
RPQNMLSJRHKGFAG88CC,8,780.67,工場（廠）、機械室,鋼鐵造有牆,106年8月23日,三層,,
RPPOMLNJRHKGFAG38CC,36,112.43,住家用,鋼筋混凝土造,78年5月16日,五層,,
RPTNMLNJRHKGFBG78CC,11,26.63,集合住宅,鋼筋混凝土造,103年7月1日,六層,,
RPTNMLNJRHKGFBG78CC,11,4.75,本件共有部分之項目：為門廊等１項,鋼筋混凝土造,103年7月1日,六層,,
RPTNMLNJRHKGFBG78CC,11,12.83,本件共有部分之項目：為停車空間、電梯間、電梯機房、樓梯間、水箱等５項,鋼筋混凝土造,103年7月1日,六層,,
RPPNMLSJRHKGFBG88CC,16,40.52,辦公室,鋼筋混凝土造,98年12月3日,九層,,
RPPNMLSJRHKGFBG88CC,16,23.29,本共用部分之項目有停車空間、水箱、樓梯、昇降機間、緊急發電機室、消防泵浦室、台電配電室、設備室、電信室、雨遮、通道及電梯機械室等１２項。,鋼筋混凝土造,98年12月3日,九層,,
