編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLPKQHKGFBG66CC,一樓平面,0,,一樓
RPRNMLMLQHKGFAG48CC,一樓平面,0,,一樓
RPPNMLRLQHKGFAG78CC,一樓平面,0,,一樓
RPVNMLRLQHKGFBG86CC,坡道平面,0,34.63,地下一樓
RPQNMLTLQHKGFBG56CC,坡道平面,0,.42,地下一樓
RPTNMLLJRHKGFBG58CC,一樓平面,0,,一樓
RPSNMLNJRHKGFBG68CC,一樓平面,0,,一樓
RPVNMLNJRHKGFAG88CC,塔式車位,0,,
RPRNMLSJRHKGFBG09CC,升降機械,0,11.80,地下三樓
RPRNMLTJRHKGFBG56CC,坡道平面,0,24.86,地下一樓
RPRNMLKKRHKGFBG38CC,坡道平面,0,32.62,地下一樓
RPPNMLKKRHKGFAG08CC,一樓平面,0,,一樓
RPUNMLLKRHKGFBG78CC,一樓平面,0,,一樓
RPUNMLLKRHKGFBG78CC,一樓平面,0,,一樓
RPQNMLMLRHKGFBG58CC,一樓平面,0,36.11,一樓
RPSNMLPKRHKGFBG98CC,坡道平面,0,,地下一樓
RPOOMLKMRHKGFBG38CC,坡道平面,0,,地下一樓
RPTNMLLJIIKGFBG77CC,升降機械,0,,地下一樓
RPQPMLNJIIKGFAG77CC,坡道平面,0,,地下一樓
RPWOMLNJIIKGFAG28CC,升降機械,0,,地下二樓
RPTOMLNJIIKGFAG97CC,一樓平面,0,,一樓
RPXNMLNJIIKGFBG38CC,一樓平面,0,,一樓
RPQNMLTJIIKGFAG18CC,坡道平面,0,,地下一樓
RPPNMLTJIIKGFBG18CC,一樓平面,0,,一樓
RPSNMLTJIIKGFBG48CC,坡道機械,0,,地下一樓
RPPPMLNJIIKGFBG77CC,坡道平面,0,,地下二樓
RPROMLTJIIKGFBG48CC,一樓平面,0,,一樓
RPROMLTJIIKGFBG48CC,一樓平面,0,,一樓
RPPNMLKLIIKGFBG47CC,坡道平面,0,,地下一樓
RPSNMLKLIIKGFBG77CC,坡道平面,0,,一樓
RPSNMLKLIIKGFBG77CC,坡道平面,0,,一樓
RPQNMLKLIIKGFBG57CC,坡道平面,2200,,地下一樓
RPPNMLLLIIKGFBG57CC,一樓平面,0,,一樓
RPUNMLMLIIKGFAG08CC,一樓平面,0,,一樓
RPWPMLNLIIKGFAG58CC,一樓平面,0,,一樓
RPPNMLRLIIKGFBG18CC,一樓平面,0,,一樓
RPRNMLSLIIKGFBG48CC,坡道機械,0,6.26,地下一樓
RPPQMLNLIIKGFAG97CC,一樓平面,0,,一樓
RPQNMLQJJIKGFAG97CC,坡道平面,0,,地下二樓
RPPNMLNJJIKGFAG57CC,一樓平面,0,24.44,一樓
RPPNMLKMIIKGFAG47CC,一樓平面,0,,一樓
RPPNMLOJJIKGFAG67CC,坡道平面,0,35.67,地下二樓
RPXNMLTJJIKGFBG09CC,一樓平面,0,,一樓
RPTNMLPJJIKGFBG28CC,一樓平面,0,,一樓
RPROMLMKJIKGFBG97CC,坡道平面,0,,地下一樓
RPRNMLMKJIKGFBG87CC,坡道平面,0,,地下一樓
RPTNMLMKJIKGFAG97CC,一樓平面,0,,一樓
RPSOMLMKJIKGFBG08CC,坡道平面,0,,地下一樓
RPPNMLNKJIKGFBG77CC,坡道機械,0,,地下一樓
RPRNMLNKJIKGFBG97CC,坡道平面,0,,地下一樓
RPRNMLSKJIKGFBG48CC,坡道機械,0,6.62,地下一樓
RPPNMLTKJIKGFAG28CC,坡道平面,0,31.44,地下三樓
RPVNMLMJKIKGFBG28CC,坡道平面,0,,地下一樓
RPTNMLMJKIKGFBG08CC,坡道平面,0,,地下一樓
