編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKQHKGFBH88CB,雙嶺段,25.07,都市：住,100000,342,持分移轉,13640000
RPPNMLRKQHKGFGH66CB,吉安段,27.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,500000,5704,持分移轉,06460000
RPSNMLSKQHKGFBH56CB,豐興段,8.62,都市：住,100000,441,持分移轉,02350000
RPSNMLSKQHKGFBH56CB,豐興段,1.23,都市：住,100000,441,持分移轉,02370000
RPSNMLSKQHKGFBH56CB,豐興段,3.60,都市：住,100000,441,持分移轉,02380000
RPSNMLSKQHKGFBH56CB,豐興段,2.62,都市：住,100000,441,持分移轉,02390000
RPSNMLSKQHKGFBH56CB,豐興段,10.63,都市：住,100000,441,持分移轉,02400000
RPSNMLSKQHKGFBH56CB,豐興段,3.08,都市：住,100000,441,持分移轉,02460000
RPSNMLSKQHKGFBH56CB,豐興段,2.16,都市：住,100000,441,持分移轉,02470000
RPPNMLRKQHKGFBH78CB,雙嶺段,25.07,都市：住,100000,342,持分移轉,13640000
RPRNMLSKQHKGFBH09CB,富溪段,6.27,都市：住,100000,2815,持分移轉,00490000
RPRNMLSKQHKGFBH09CB,富溪段,17.85,都市：住,100000,2815,持分移轉,00500000
RPQNMLSKQHKGFBH98CB,草新段,24.88,都市：住,100000,5960,持分移轉,04470000
RPPNMLQKQHKGFDH88CB,頭重溪段,24.16,都市：住,100000,354,持分移轉,02020000
RPTNMLSKQHKGFBH66CB,豐興段,7.56,都市：住,100000,387,持分移轉,02350000
RPTNMLSKQHKGFBH66CB,豐興段,1.08,都市：住,100000,387,持分移轉,02370000
RPTNMLSKQHKGFBH66CB,豐興段,3.16,都市：住,100000,387,持分移轉,02380000
RPTNMLSKQHKGFBH66CB,豐興段,2.30,都市：住,100000,387,持分移轉,02390000
RPTNMLSKQHKGFBH66CB,豐興段,9.33,都市：住,100000,387,持分移轉,02400000
RPTNMLSKQHKGFBH66CB,豐興段,2.70,都市：住,100000,387,持分移轉,02460000
RPTNMLSKQHKGFBH66CB,豐興段,1.89,都市：住,100000,387,持分移轉,02470000
RPWNMLNKQHKGFBH09CB,富溪段,23.35,都市：住,100000,4864,持分移轉,01050000
RPQNMLSKQHKGFDH56CB,草湳坡段埔心小段,18.37,都市：住,100000,623,持分移轉,00540001
RPQNMLSKQHKGFDH56CB,草湳坡段埔心小段,7.20,都市：住,100000,623,持分移轉,00540019
RPPNMLQKQHKGFBH68CB,豐興段,5.54,都市：住,100000,486,持分移轉,00190000
RPQNMLSKQHKGFDH56CB,草湳坡段埔心小段,2.03,都市：住,100000,623,持分移轉,00540012
RPPNMLNKQHKGFBH38CB,工業區段二小段,14.08,非都市：工業區 ; 非都市編定：丁種建築用地,10000,563,持分移轉,06250000
RPPNMLQKQHKGFBH68CB,豐興段,15.98,都市：住,100000,486,持分移轉,00230000
RPTNMLSKQHKGFDH86CB,高雙段,2.47,非都市：一般農業區 ; 非都市編定：農牧用地,118,1,持分移轉,03500007
RPTNMLSKQHKGFDH86CB,高雙段,3.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,69,持分移轉,03510000
RPTNMLSKQHKGFDH86CB,高雙段,15.91,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,69,持分移轉,03520000
RPQNMLRKQHKGFAH78CB,國強段,19.64,都市：住,100000,266,持分移轉,04180000
RPSNMLSKQHKGFDH76CB,高雙段,2.47,非都市：一般農業區 ; 非都市編定：農牧用地,118,1,持分移轉,03500007
RPSNMLSKQHKGFDH76CB,高雙段,3.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,69,持分移轉,03510000
RPSNMLSKQHKGFDH76CB,高雙段,15.91,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,69,持分移轉,03520000
RPRNMLSKQHKGFAH98CB,長安段,12.87,都市：住,10000,115,持分移轉,02470000
RPPNMLRKQHKGFAH68CB,中路三段,17.45,都市：住,100000,915,持分移轉,01950000
RPTNMLSKQHKGFAH56CB,建國段,21.83,都市：住,100000,710,持分移轉,07520000
RPQNMLTKQHKGFBH09CB,豐興段,24.07,都市：住,100000,1670,持分移轉,01230000
RPRNMLTKQHKGFBH56CB,豐興段,17.44,都市：住,100000,1210,持分移轉,01230000
RPQNMLKLQHKGFBH28CB,中壢埔頂段,12.86,都市：住,1000000,1854,持分移轉,11670000
RPRNMLNKQHKGFEH88CB,港口段,5.36,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05260000
RPRNMLNKQHKGFEH88CB,港口段,5.18,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05270000
RPRNMLNKQHKGFEH88CB,港口段,5.20,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05280000
RPRNMLNKQHKGFEH88CB,港口段,5.17,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05290000
RPRNMLNKQHKGFEH88CB,港口段,5.16,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05310000
RPRNMLNKQHKGFEH88CB,港口段,3.87,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1845,持分移轉,05330000
RPRNMLKLQHKGFAH28CB,水汴頭段,17.92,都市：商,100000,619,持分移轉,00360000
RPSNMLKLQHKGFBH48CB,青昇段,28.29,都市：住,100000,894,持分移轉,03900000
RPPNMLKLQHKGFBH18CB,中壢埔頂段,21.02,都市：住,1000000,3031,持分移轉,11670000
RPPNMLKLQHKGFEH48CB,青峰段,19.83,都市：住,100000,604,持分移轉,04360000
RPRNMLKLQHKGFBH38CB,中壢埔頂段,12.83,都市：住,1000000,1850,持分移轉,11670000
