編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMLQHKGFAI48CC,坡道平面,0,,地下二樓
RPRNMLNLQHKGFAI78CC,坡道平面,0,,地下一樓
RPSNMLPLQHKGFAI09CC,坡道機械,0,95.96,地下一樓
RPSNMLPLQHKGFAI09CC,坡道機械,0,83.28,地下一樓
RPROMLQLQHKGFAI56CC,坡道平面,0,,地下三樓
RPSOMLQLQHKGFAI66CC,坡道平面,0,,地下三樓
RPUNMLMJRHKGFAI88CC,坡道平面,0,,地下三樓
RPQOMLMJRHKGFAI58CC,坡道機械,0,,地下一樓
RPSNMLTKRHKGFAI86CC,坡道平面,0,,地下一樓
RPSNMLTKRHKGFAI86CC,坡道平面,0,,地下一樓
RPQOMLNLRHKGFAI88CC,坡道平面,0,,地下三樓
RPSNMLOLRHKGFAI09CC,一樓平面,0,,一樓
RPPNMLLJIIKGFAI47CC,坡道平面,0,,地下三樓
RPRNMLQKIIKGFAI28CC,一樓平面,0,,一樓
RPRNMLRKIIKGFAI38CC,坡道平面,0,,地下三樓
RPSNMLPKIIKGFAI28CC,坡道平面,0,26.72,地下二樓
RPOOMLSLIIKGFAI38CC,一樓平面,0,,一樓
RPPNMLTLIIKGFAI48CC,其他,0,4.59,一樓
RPSNMLKMIIKGFAI97CC,坡道平面,0,,地下三樓
RPROMLQJJIKGFAI38CC,坡道平面,0,29.28,地下二樓
RPUNMLPJJIKGFAI48CC,坡道平面,0,24.70,地下一樓
RPXNMLRJJIKGFAI98CC,坡道機械,0,,地下一樓
RPQNMLLKJIKGFAI77CC,一樓平面,0,,一樓
RPPNMLLKJIKGFAI67CC,坡道機械,0,,地下一樓
RPPNMLOKJIKGFAI97CC,坡道平面,0,29.28,地下三樓
