鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市源林街,33.24,住,,,1140811,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.91,3,2,2,有,無,10810000,107125,一樓平面,15.24,0,,RPQNMLNKQHKGFBK78CB,日和豐穗Ⅱ,I棟5號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文聖里橫車路352巷126號附近,33.13,住,,,1140812,土地1建物1車位2,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,183.1,3,2,2,有,無,12650000,79189,一樓平面,52.4,2300000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOKQHKGFBK78CB,瀧淳天玥,B-5F號,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉銅鑼村東田洋34鄰4之10號附近,15.21,,特定農業區,甲種建築用地,1140816,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.95,1,1,1,有,無,4860000,86863,,0.0,0,,RPPNMLQKQHKGFEK66CB,CITY ONE,C棟6號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮中山路11巷,28.38,商,,,1140814,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.74,3,2,2,有,無,11620000,89611,坡道平面,28.46,1200000,,RPPNMLPLQHKGFDK56CB,府雅築6 囍市,7F-C號,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉弘揚路10號右側第二塊地,20.25,住,,,1140816,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,65.99,2,2,1,有,無,6500000,98500,,0.0,0,,RPPNMLPLQHKGFEK66CB,弘景大同綻,3F-D號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路186號,15.72,住,,,1140821,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.9,2,2,2,有,無,13220000,124814,坡道平面,67.41,2300000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRLQHKGFFK96CB,亞昕中央大道,A05棟5F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路186號,15.72,住,,,1140821,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,2,有,無,12720000,129958,坡道平面,34.27,1350000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRLQHKGFFK07CB,亞昕中央大道,A05棟6F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路186號,13.18,住,,,1140821,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.65,2,2,1,有,無,10490000,126601,坡道平面,34.27,1200000,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRLQHKGFFK17CB,亞昕中央大道,A08棟3F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路186號,13.18,住,,,1140821,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.52,2,2,1,有,無,10540000,126601,坡道平面,33.14,1250000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRLQHKGFFK27CB,亞昕中央大道,A09棟3F號,
