編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLQHKGFDK56CB,龍南段,28.38,都市：商,10000,447,持分移轉,17440000
RPPNMLKMQHKGFDK78CB,光復段,16.62,都市：商,1000000,2835,持分移轉,14320000
RPQNMLLMQHKGFDK98CB,大同段,47.99,都市：住,10000,195,持分移轉,13220000
RPPNMLRLQHKGFFK96CB,中央段,15.72,都市：住,100000,669,持分移轉,10630000
RPSNMLSLQHKGFDK17CB,龍椅段,24.35,都市：住,10000,163,持分移轉,05320000
RPRNMLRLQHKGFFK17CB,中央段,13.18,都市：住,100000,561,持分移轉,10630000
RPPNMLTLQHKGFCK96DB,房北段,102.53,都市：住,1,1,全筆移轉,00590001
RPQNMLSLQHKGFCK96DB,苑坑段,36.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,371,持分移轉,08140000
RPPNMLSLQHKGFCK86DB,文山段,20.12,都市：住,100000,5709,持分移轉,02460000
RPRNMLSLQHKGFDK07CB,龍北段,27.38,都市：住,10000,269,持分移轉,05730000
RPQNMLRLQHKGFFK07CB,中央段,15.72,都市：住,100000,669,持分移轉,10630000
RPSNMLRLQHKGFFK27CB,中央段,13.18,都市：住,100000,561,持分移轉,10630000
RPPNMLLJRHKGFDK68CB,廣源段,2.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,633,持分移轉,07070000
RPPNMLLJRHKGFDK68CB,廣源段,23.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,697,持分移轉,07140000
RPPNMLLJRHKGFDK68CB,廣源段,13.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,697,持分移轉,07150000
RPPNMLLJRHKGFDK68CB,廣源段,7.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,697,持分移轉,07160004
RPPNMLLJRHKGFDK68CB,廣源段,2.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,697,持分移轉,07130000
RPPNMLLJRHKGFDK68CB,廣源段,.50,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,700,持分移轉,07020000
RPPNMLLJRHKGFDK68CB,廣源段,1.62,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,246,持分移轉,07030000
RPPNMLLJRHKGFDK68CB,廣源段,.72,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,694,持分移轉,07040000
RPPNMLNJRHKGFDK88CB,光復段,15.82,都市：商,1000000,2698,持分移轉,14320000
RPUNMLNJRHKGFDK76CB,龍椅段,30.44,都市：住,100000,698,持分移轉,02060000
RPQNMLNJRHKGFDK98CB,龍椅段,24.29,都市：住,100000,557,持分移轉,02060000
RPQOMLNJRHKGFDK09CB,龍椅段,42.17,都市：住,100000,967,持分移轉,02060000
RPTNMLNJRHKGFDK66CB,龍椅段,29.53,都市：住,100000,677,持分移轉,02060000
RPOOMLNJRHKGFDK88CB,龍椅段,42.17,都市：住,100000,967,持分移轉,02060000
RPPOMLNJRHKGFDK98CB,龍椅段,42.17,都市：住,100000,967,持分移轉,02060000
RPPNMLMJRHKGFFK98CB,中央段,21.38,都市：住,100000,910,持分移轉,10630000
RPSNMLNJRHKGFDK56CB,龍椅段,30.14,都市：住,100000,691,持分移轉,02060000
RPPNMLPJRHKGFDK09CB,龍富段,33.58,都市：住,10000,583,持分移轉,05420000
RPTOMLNJRHKGFDK76CB,龍椅段,44.83,都市：住,100000,1028,持分移轉,02060000
RPUNMLSJRHKGFDK27CB,大同段,123.49,都市：住,10000,674,持分移轉,07510000
RPRNMLSJRHKGFDK96CB,龍椅段,47.24,都市：住,10000,845,持分移轉,02920001
RPTNMLSJRHKGFDK17CB,龍椅段,47.85,都市：住,10000,856,持分移轉,02920001
RPPNMLSJRHKGFCK76DB,苑東段,35.73,都市：住,10000,239,持分移轉,02490000
RPQNMLQJRHKGFDK66CB,龍椅段,24.35,都市：住,10000,163,持分移轉,05320000
