編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLLQHKGFFK09CC,坡道平面,0,22.04,地下二樓
RPTNMLLLQHKGFFK86CC,坡道平面,0,28.29,地下三樓
RPQNMLSLQHKGFFK27CC,坡道平面,0,24.56,地下二樓
RPQNMLNJRHKGFBK88CC,坡道機械,0,5.74,地下二樓
RPWNMLNJRHKGFBK86CC,升降機械,0,,地下一樓
RPPNMLKKRHKGFFK98CC,坡道平面,0,15.33,一樓
RPPNMLSJRHKGFFK07CC,坡道平面,0,31.59,地下三樓
RPQNMLMKRHKGFDK09CC,一樓平面,2200,22.19,一樓
RPPNMLMKRHKGFDK98CC,坡道平面,0,,地下二樓
RPPNMLLLRHKGFDK98CC,坡道平面,0,,地下三樓
RPRNMLNLRHKGFFK96CC,坡道平面,2700,23.44,地下四樓
RPPNMLNLRHKGFFK76CC,坡道平面,2400,27.16,地下一樓
RPRNMLLJIIKGFFK38CC,一樓平面,1500,,一樓
RPPNMLOKIIKGFFK58CC,坡道平面,2000,22.50,地下一樓
RPPNMLOKIIKGFDK38CC,一樓平面,2500,,一樓
RPPNMLNKIIKGFDK28CC,坡道平面,0,29.26,地下二樓
RPPNMLLKIIKGFDK08CC,一樓平面,0,,一樓
RPPNMLRKIIKGFDK68CC,坡道平面,0,28.05,地下二樓
RPRNMLRKIIKGFDK88CC,坡道平面,0,29.26,地下三樓
RPPNMLKLIIKGFFK28CC,坡道平面,0,24.55,地下一樓
RPQNMLKLIIKGFFK38CC,坡道平面,0,28.29,地下三樓
RPPNMLNLIIKGFFK58CC,坡道平面,3000,,地下一樓
RPUNMLNLIIKGFFK09CC,坡道平面,2500,31.59,地下三樓
RPQNMLRLIIKGFFK09CC,坡道平面,0,28.29,地下三樓
RPPNMLSLIIKGFFK09CC,坡道平面,0,28.49,地下二樓
RPPNMLMJJIKGFDK18CC,坡道平面,0,,地下一樓
RPQNMLKKJIKGFFK38CC,坡道平面,0,29.42,地下三樓
RPPNMLTJJIKGFFK09CC,坡道平面,0,23.45,地下三樓
RPPNMLQKJIKGFDK68CC,坡道平面,0,21.00,地下一樓
RPQNMLRLJIKGFDK98CC,坡道平面,0,35.97,地下一樓
RPPNMLPLJIKGFFK88CC,坡道平面,0,33.91,地下一樓
RPQNMLLJKIKGFDK28CC,升降機械,1500,,地下一樓
RPPNMLTKKIKGFFK66CC,坡道平面,2000,,地下二樓
