鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹山鎮,土地,東興段501地號,15.26,住,,,1141202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,19659,,0.0,0,,RPPNMLNJKIKGFDM48DA,0.0,0.0,0.0,無,
埔里鎮,土地,北環段60地號,146.89,,,,1141104,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,27231,,0.0,0,公共設施用地親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLKKJIKGFCM08DA,0.0,0.0,0.0,無,
竹山鎮,土地,菩提段1208地號,1.0,住,,,1141103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,76000,0,,0.0,0,,RPPNMLLKJIKGFDM28DA,0.0,0.0,0.0,無,
竹山鎮,土地,延和段218-6地號,94.53,工,,,1141103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,5289,,0.0,0,,RPRNMLMKJIKGFDM58DA,0.0,0.0,0.0,無,
集集鎮,土地,集集段雞籠山小段277地號,3240.0,,山坡地保育區,農牧用地,1141104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,463,,0.0,0,,RPPNMLKKJIKGFEM28DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市虎山路８２巷１２號,75.77,住,,,1141107,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700702,134.51,4,2,3,有,無,5850000,43491,,0.0,0,頂樓加蓋；其他增建；,RPTQMLKKJIKGFAM58DA,134.51,0.0,0.0,無,0001
南投市,土地,光復段906-30地號,41.98,,鄉村區,乙種建築用地,1141104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,888848,21173,,0.0,0,,RPQNMLLKJIKGFAM08DA,0.0,0.0,0.0,無,0002
竹山鎮,土地,大坪段856地號,1584.16,,山坡地保育區,農牧用地,1141104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,32,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；急買急賣；,RPPNMLKKJIKGFDM28EA,0.0,0.0,0.0,無,
水里鄉,土地,南湖段94地號,1034.0,,特定農業區,農牧用地,1141107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,1838,,0.0,0,,RPPNMLNKJIKGFEM58DA,0.0,0.0,0.0,無,
