編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLRLQHKGFBM07CB,坡道平面,1500000,25.84,地下一樓
RPPNMLSJRHKGFCM86CB,一樓平面,1150000,17.68,一樓
RPTNMLRLQHKGFBM17CB,坡道平面,1500000,25.84,地下一樓
RPRNMLLJRHKGFCM98CB,坡道平面,1500000,32.27,地下一樓
RPPNMLMKRHKGFBM88CB,坡道平面,1730000,26.31,地下二樓
RPQNMLLJRHKGFCM88CB,一樓平面,1500000,32.27,一樓
RPPNMLSJRHKGFBM76CB,坡道平面,1100000,34.46,地下二樓
RPSNMLLJRHKGFCM09CB,坡道平面,1500000,32.27,地下一樓
RPSNMLPLQHKGFBM96DB,坡道平面,1500000,25.84,地下一樓
RPSNMLPLQHKGFBM96DB,坡道平面,1500000,25.84,地下一樓
RPPNMLLLQHKGFCM88CB,坡道平面,1600000,26.00,地下二樓
RPQNMLMJRHKGFBM88CB,坡道平面,1600000,25.84,地下一樓
RPWNMLRLQHKGFBM47CB,坡道平面,1500000,25.84,地下二樓
RPUNMLRLQHKGFBM27CB,坡道平面,1500000,25.84,地下二樓
RPPNMLKLQHKGFAM68DB,一樓平面,1200000,23.59,一樓
RPRNMLMJRHKGFBM98CB,坡道平面,1650000,25.84,地下一樓
RPPNMLNJRHKGFAM78CB,一樓平面,1300000,23.74,一樓
RPPNMLKMRHKGFCM98CB,其他,650000,18.56,一樓
RPPNMLTLRHKGFAM96CB,坡道平面,1150000,38.36,地下二樓
RPPNMLSJIIKGFBM58CB,坡道平面,1500000,25.84,地下二樓
RPQNMLKMRHKGFCM09CB,其他,450000,18.56,一樓
RPPNMLNJIIKGFBM08CB,坡道平面,1250000,36.45,一樓
RPQNMLNKIIKGFBM28CB,坡道機械,850000,24.36,地下三樓
RPPNMLLLIIKGFBM08CB,坡道平面,1250000,36.45,地下一樓
RPPNMLNKIIKGFBM18CB,坡道平面,1600000,25.84,地下一樓
RPPNMLTJIIKGFAM58CB,一樓平面,0,,一樓
RPRNMLTJIIKGFAM78CB,一樓平面,0,,一樓
RPPNMLNKIIKGFDM38CB,坡道平面,1600000,33.06,地下一樓
RPPNMLOKIIKGFBM28CB,坡道平面,1750000,26.31,地下一樓
RPQNMLLLIIKGFCM28CB,一樓平面,1100000,18.95,一樓
RPPNMLMLIIKGFCM28CB,其他,1500000,,一樓
RPPNMLRLIIKGFCM78CB,一樓平面,1150000,21.19,一樓
RPPNMLSLIIKGFCM88CB,坡道平面,1500000,25.96,地下一樓
RPPNMLQJJIKGFBM48CB,坡道平面,1500000,25.84,地下二樓
RPPNMLKKJIKGFCM08CB,一樓平面,1100000,13.74,一樓
RPPNMLTLIIKGFBM88CB,坡道平面,1200000,33.54,地下三樓
RPRNMLTLIIKGFAM98CB,一樓平面,0,,一樓
RPRNMLKMIIKGFDM48CB,坡道平面,920000,29.55,地下一樓
RPTNMLTLIIKGFAM56CB,一樓平面,0,,一樓
RPTNMLTLIIKGFAM56CB,一樓平面,0,,一樓
RPQNMLTLIIKGFAM88CB,一樓平面,0,,一樓
RPSNMLTLIIKGFAM09CB,一樓平面,0,,一樓
RPQNMLMKJIKGFDM48CB,坡道平面,1500000,33.06,地下二樓
RPPNMLNJJIKGFAM08CB,坡道平面,1250000,38.36,地下二樓
RPQNMLSKJIKGFBM88CB,一樓平面,400000,,一樓
RPPNMLKLJIKGFAM97CB,一樓平面,0,,一樓
RPPNMLNKJIKGFBM38DB,坡道平面,1000000,37.00,地下二樓
RPPNMLMLJIKGFAM18CB,一樓平面,0,,一樓
RPQNMLOKJIKGFAM38CB,一樓平面,0,,一樓
RPPNMLLLIIKGFCM18CB,一樓平面,1100000,18.95,一樓
RPPNMLMKJIKGFCM38DB,坡道平面,1250000,24.79,地下一樓
RPQNMLMKJIKGFCM48DB,坡道平面,1200000,24.79,地下一樓
