編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKQHKGFAM98CC,8,116.49,住家用,鋼骨造,106年6月12日,一層,,
RPPNMLRLQHKGFBM86CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLLQHKGFAM78CC,19,273.56,住家用,鋼筋混凝土造,95年12月26日,四層,,
RPPNMLRLQHKGFBM86CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLRLQHKGFBM96CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLRLQHKGFBM96CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLMLQHKGFBM66CC,10,23.73,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLMLQHKGFBM09CC,10,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLMLQHKGFBM66CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLMLQHKGFBM09CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLSKQHKGFBM17CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLSKQHKGFBM17CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLRLQHKGFBM07CC,10,51.52,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLRLQHKGFBM07CC,10,29.76,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLMLQHKGFBM56CC,10,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLMLQHKGFBM56CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLKLQHKGFBM98CC,7,121.27,集合住宅,鋼筋混凝土造,107年11月27日,九層,,
RPPNMLQLQHKGFCM86CC,30,80.84,集合住宅,鋼筋混凝土造,84年7月17日,七層,,
RPPNMLQLQHKGFCM86CC,30,33.85,停車場、樓梯間、機房,鋼筋混凝土造,84年7月17日,七層,,
RPPNMLRLQHKGFAM76CC,44,93.23,住家用,鋼筋混凝土加強磚造,70年11月13日,四層,,
RPPNMLRLQHKGFAM76CC,44,7.26,避難室,鋼筋混凝土加強磚造,70年11月12日,地下層,,
RPPNMLMLQHKGFBM98CC,2,54.13,集合住宅,鋼筋混凝土造,112年6月28日,十二層,,
RPTNMLMLQHKGFBM76CC,10,24.09,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLMLQHKGFBM98CC,2,39.23,本共有部分之項目有法定防空避難室兼停車空間、梯廳、一般安全梯、一般昇降機、台電配電室、電信室、發電機室、水箱、消防機械室、機械室、污雨水機房、電錶室、車道、管委會使用空間、戶外安全梯、水錶室、水箱室及樓梯間等１８項,鋼筋混凝土造,112年6月28日,十二層,,
RPTNMLMLQHKGFBM76CC,10,13.76,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPUNMLMLQHKGFBM86CC,49,95.36,住商用,鋼筋混凝土加強磚造,65年8月2日,二層,,
RPSNMLMLQHKGFCM76CC,28,144.46,住商用,鋼筋混凝土造,86年7月7日,三層,,
RPRNMLSKQHKGFDM27CC,32,191.00,住家用,鋼筋混凝土造,82年5月6日,二層,,
RPSNMLTKQHKGFBM27CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLTKQHKGFBM27CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLKLQHKGFBM78CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLKLQHKGFBM78CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLKLQHKGFBM88CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLKLQHKGFBM88CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLRLQHKGFCM07CC,31,103.19,集合住宅,鋼筋混凝土造,83年7月8日,十二層,,
RPQNMLRLQHKGFCM07CC,31,12.39,避難室兼停車場、樓梯、門廳、騎樓、梯間、機械房、水箱、平台、瞭望台,鋼筋混凝土造,83年7月8日,十二層,,
RPSOMLRLQHKGFBM27CC,31,24.77,住家用,鋼筋混凝土造,83年7月21日,十三層,,
RPSOMLRLQHKGFBM27CC,31,14.15,停車場、防空避難室、梯間、走道、水箱、機房,鋼筋混凝土造,83年7月21日,十三層,,
